,depth,d18O
0,32.58,-36.3418
1,32.6,-36.5735
2,32.62,-36.9274
3,32.64,-37.0577
4,32.66,-37.5405
5,32.68,-37.4475
6,32.7,-37.5621
7,32.72,-37.7249
8,32.74,-37.6565
9,32.76,-37.8602
10,32.78,-37.6593
11,32.8,-37.5639
12,32.82,-37.4073
13,32.84,-37.1833
14,32.86,-37.187
15,32.88,-37.3063
16,32.9,-36.8644
17,32.92,-36.6986
18,32.94,-36.7771
19,32.96,-37.6378
20,32.98,-37.6345
21,33.0,-36.7555
22,33.02,-37.03
23,33.04,-37.0855
24,33.06,-37.1409
25,33.08,-37.1391
26,33.1,-37.2329
27,33.12,-37.1705
28,33.14,-37.4758
29,33.16,-37.2533
30,33.18,-37.244
31,33.2,-37.3618
32,33.22,-37.1084
33,33.24,-36.8877
34,33.26,-36.9454
35,33.28,-36.8312
36,33.3,-36.6417
37,33.32,-36.5398
38,33.34,-36.4511
39,33.36,-36.3895
40,33.38,-36.1732
41,33.4,-36.0615
42,33.42,-36.1218
43,33.44,-35.9336
44,33.46,-35.6921
45,33.48,-35.7395
46,33.5,-35.4859
47,33.52,-35.6871
48,33.54,-35.3518
49,33.56,-35.4426
50,33.58,-35.3156
51,33.6,-35.3226
52,33.62,-35.2542
53,33.64,-35.2014
54,33.66,-35.1323
55,33.68,-34.9385
56,33.7,-34.9161
57,33.72,-34.7671
58,33.74,-34.5588
59,33.76,-34.5663
60,33.78,-34.3204
61,33.8,-34.2758
62,33.82,-34.2754
63,33.84,-34.3669
64,33.86,-34.281
65,33.88,-34.3065
66,33.9,-34.2921
67,33.92,-34.3704
68,33.94,-34.47
69,33.96,-34.4847
70,33.98,-34.2207
71,34.0,-34.2256
72,34.02,-34.3845
73,34.04,-34.2141
74,34.06,-34.2603
75,34.08,-34.2183
76,34.1,-34.1543
77,34.12,-33.9819
78,34.14,-33.9218
79,34.16,-34.0394
80,34.18,-34.1856
81,34.2,-34.0292
82,34.22,-34.0947
83,34.24,-34.1339
84,34.26,-34.4295
85,34.28,-34.4592
86,34.3,-34.6102
87,34.32,-34.5819
88,34.34,-34.6673
89,34.36,-34.6824
90,34.38,-34.7144
91,34.4,-34.7349
92,34.42,-34.6935
93,34.44,-34.5642
94,34.46,-34.574
95,34.48,-34.5607
96,34.5,-34.5024
97,34.52,-34.3958
98,34.54,-34.4353
99,34.56,-34.3498
100,34.58,-34.5919
101,34.6,-34.6636
102,34.62,-34.6826
103,34.64,-34.7893
104,34.66,-35.0831
105,34.68,-35.3984
106,34.7,-35.55
107,34.72,-35.7244
108,34.74,-35.8184
109,34.76,-36.0438
110,34.78,-36.2101
111,34.8,-36.1461
112,34.82,-36.281
113,34.84,-36.3883
114,34.86,-36.3344
115,34.88,-36.1137
116,34.9,-36.2121
117,34.92,-36.0557
118,34.94,-35.9666
119,34.96,-35.7625
120,34.98,-35.8584
121,35.0,-34.9724
122,35.02,-34.8411
123,35.04,-34.5552
124,35.06,-34.4778
125,35.08,-34.3108
126,35.1,-34.2556
127,35.12,-34.7348
128,35.14,-34.1216
129,35.16,-34.126
130,35.18,-34.1241
131,35.2,-34.4025
132,35.22,-34.476
133,35.24,-34.6444
134,35.26,-34.8789
135,35.28,-35.0972
136,35.3,-35.3234
137,35.32,-35.6397
138,35.34,-35.9074
139,35.36,-36.2011
140,35.38,-36.4065
141,35.4,-36.7366
142,35.42,-36.7985
143,35.44,-36.922
144,35.46,-37.2361
145,35.48,-37.1745
146,35.5,-37.1184
147,35.52,-37.101
148,35.54,-37.2654
149,35.56,-37.1799
150,35.58,-37.0661
151,35.6,-36.9054
152,35.62,-36.8178
153,35.64,-36.5348
154,35.66,-36.3319
155,35.68,-36.1505
156,35.7,-35.8355
157,35.72,-35.5781
158,35.74,-35.3947
159,35.76,-35.1008
160,35.78,-34.9483
161,35.8,-35.4583
162,35.82,-35.9682
163,35.84,-34.2752
164,35.86,-33.9565
165,35.88,-33.8241
166,35.9,-33.6817
167,35.92,-33.4925
168,35.94,-33.321
169,35.96,-33.1495
170,35.98,-33.1401
171,36.0,-32.9703
172,36.02,-33.1893
173,36.04,-33.2802
174,36.06,-33.2834
175,36.08,-33.5699
176,36.1,-33.8233
177,36.12,-33.97
178,36.14,-34.2637
179,36.16,-34.3186
180,36.18,-34.7362
181,36.2,-34.8025
182,36.22,-35.1676
183,36.24,-35.3175
184,36.26,-35.2377
185,36.28,-35.5126
186,36.3,-35.6843
187,36.32,-35.7578
188,36.34,-35.8313
189,36.36,-35.8864
190,36.38,-35.9852
191,36.4,-35.9857
192,36.42,-35.9814
193,36.44,-36.1319
194,36.46,-35.9957
195,36.48,-35.868
196,36.5,-36.1291
197,36.52,-35.9805
198,36.54,-36.1861
199,36.56,-36.1797
200,36.58,-36.1862
201,36.6,-36.1169
202,36.62,-36.1588
203,36.64,-36.0184
204,36.66,-35.9324
205,36.68,-35.7805
206,36.7,-35.7184
207,36.72,-35.5081
208,36.74,-35.3951
209,36.76,-35.2771
210,36.78,-35.2465
211,36.8,-35.1508
212,36.82,-34.9072
213,36.84,-34.9678
214,36.86,-35.0874
215,36.88,-35.1219
216,36.9,-35.0713
217,36.92,-35.278
218,36.94,-35.505
219,36.96,-35.6594
220,36.98,-35.8072
221,37.0,-36.2212
222,37.02,-36.4927
223,37.04,-36.5838
224,37.06,-36.7828
225,37.08,-36.6757
226,37.1,-36.7628
227,37.12,-36.6439
