depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	conductivity	pH
22.425	3.4213	33.9796		0	139.471	76.4944							3.2	5.4
22.45	2.87893	23.056	12.1898	0	112.824	155.189	153.668	6.03677	15.8872	4.21098	2.06376	7.75072	3.75	5.03
22.475	1.31189	15.0789	-15.2318	0.0012843	44.515	140.052	135.808	16.8393	8.41172	4.22651	3.90298	8.99136	3.64	4.53
22.5	1.54781	17.7767	-24.2627	0	34.2746	91.7827	85.8972	23.3552	9.10326	6.38942	5.29191	7.12602	3.86	4.6
22.525	1.60329	14.6494	-12.9574	0	44.948	79.571	75.7061	15.3371	8.22145	5.67718	5.40973	4.53125	3.79	5.12
22.55	2	21	9.45262	0	99	140	138.383	6.41521	8.07458	4.24272	2.42185	4.80058	3.71	5.14
22.575	3.00644	23.1219	7.6154	0	72.768	127.571	125.4	8.61472	9.10537	4.06847	1.70947	28.902	3.67	5.17
22.6	3.64932	29.3493	12.3215	0	76	137	134.616	9.45989	10.3525	3.68838	2.85907	11.5408	3.71	5.12
22.625	4	24	12.3295	0	71	153	151.366	6.48359	6.71271	3.43967	2.41616	11.7092	3.39	5.19
22.65	0.840057	13.6692	5.46615	0	71.9475	169.143	167.995	4.55725	16.4978	4.07626	1.94787	10.3701	5.63	5.15
22.675	2.96328	23.2511	19.3829	1.4734	64.43	185.882	185.34	2.14898	8.72755	3.29218	2.13976	3.07932	3.91	5.04
22.7	2.8907	32.6727	20.5393	0	52.4404	210.406	208.707	6.74075	11.6179	35.1818	3.14881	4.70904	4.19	5.06
22.725	1.99017	11.0914	-22.5724	0	33.5739	74.8784	70.1655	18.7021	12.1601	6.2961	3.20468	10.8537	3.72	5.12
22.75	2.16786	10.1342	-15.8594	0	49.4171	55.8905	52.2514	14.4409	9.6987	6.01345	3.20342	25.467	3.21	5.2
22.77	3.76456	16.2881	1.66155	0	83.6834	113.277	111.229	8.12586	3.6877	3.10301	4.30565	7.1753	3.38	5.17
22.79	3.75947	21.1295	2.94446	0	85.0166	105.203	102.657	10.1028	3.67946	2.2756	3.32292	5.25223	3.31	5.14
42.7	1.11314	5.58436	-6.33429	4.41406	24.0202	14.5206	12.852	6.62147	3.40181	3.32439	3.02613	5.16788	3.18	5.18
42.72	5.59468	8.69627	-8.36336	0	60.9567	38.8521	36.4638	9.47757	10.9953	5.45151	2.62684		2.44	5.24
42.74	3.40068	5.34966	-1.11862	0.869614	42.619	25.5399	24.6343	3.59349	11.718	3.25804	2.52524	10.2537	2.45	5.28
42.76	5.52629	10.0517	4.79953	0	85.9063	74.1511	73.4158	2.91787	10.4549	2.76417	3.02065	8.48994	2.39	5.31
42.78	4.41486	44.1582	30.9783	0	50.821	200.541	198.696	7.32216	18.6285	4.2158	2.5959	15.8296	3.82	5.12
42.8	3.73795	87.2712	0	0	33.9743	371.03	0			2133.86		1.95958	4.79	5.06
42.82	4.95236	64.5338	-1091.72	1	59	250	88.125	642.361	16.741	5.49144	1.82873	1.8162	4.21	5.04
42.84	0	7	7	0	880	182	182	0		60.7273	3.00628	7.21152	3.87	5.09
42.86	0	10.3939	-1244.26	0	84.8775	219.405	43.7534	697.03	20.3594	11.6222	1.49451	7.55747	3.76	5.1
42.88	0.531107	5.88962	-999.765	0.903048	88.6361	241.585	100.793	558.697	11.6695	4.01174	2.49795	6.51489	3.99	5.06
42.9	1.92858	14.9244	0.890826	0.977471	50.2884	209.198	207.233	7.79643	4.57896	3.14504	7.15041	62.7311	4.45	5.03
42.92	2.94429	18.5234	12.0459	3.23607	67.9157	310.147	309.24	3.59861	7.82621	2.65242	7.81637	36.5413	4.82	4.98
42.94	3.34471	24.688	8.22993	5.411	78.4003	352.272	349.968	9.14337	4.10955	2.53637	11.0612	72.4147	4.24	5.08
42.96	1.5541	14.9822	-9.40384	3.70863	47.5929	100.037	96.623	13.5478	5.80692	2.5984	10.5092	47.5441	3.25	5.19
42.98	1.86645	28.6391	-9.41398	0	45.3453	62.0845	56.7571	21.1406	7.96736	4.85585	11.2808	40.7853	2.8	5.27
43	4	265	-25.4948	1	73	203	162.331	161.386	4.81853	57.6115	26.1049	84.9055	4.4	5.23
49.12	2.14374	8.25826	-3.38416	0	45.5764	14.2262	12.5963	6.46801	7.08513	4.93105	6.90401	30.3514	2.71	5.24
49.14	3.74523	15.1229	-0.058138	3.39339	81.0525	56.3457	54.2204	8.43391	11.3265	4.38566	12.1152	55.1063	2.5	5.31
49.16	3	15	2.70337	0	89	61	59.2785	6.83146	4.01309	1.72135	12.4089	57.0798	2.66	5.3
49.18	1	6	-0.029244	0	30.1071	11.6035	10.7594	3.34958	4.88598	1.74245	7.11385	21.1856	2.61	5.27
49.2	3.15488	16.8253	9.363	0	70.6288	58.6603	57.6156	4.14572	4.84061	1.50727	9.52578	15.8438	2.82	5.22
49.22	2.91657	15.7743	-17.1394	0	71.3365	113.29	108.682	18.2854	4.67257	5.06689	10.3191	45.2467	3.57	5.33
49.24	1.31691	7.71913	-15.6179	0	46.5089	74.329	71.0618	12.965	5.61173	6.34316	7.89397	54.8363	3.37	5.17
49.26	2	17	-8.28136	0	90	300	296.461	14.0452	7.44053	4.63209	7.33443	63.5628	4.65	5.02
49.28	2	13	6.79585	0	63	653	652.131	3.44675	5.8028	2.15996	3.96795	43.1891	7.26	4.8
49.3	1	23	16.8256	1	42	890	889.136	3.43023	6.77261	1.86912	4.36057	13.2716	10.08	4.66
49.32	1	30	23.6101	0	44	1086	1085.11	3.54997	8.51457	2.34833	4.33704	45.1022	11.79	4.56
49.34	2	22	12.8166	0	40	1111	1109.71	5.10187	3.41944	2.46358	9.30503	56.1622	10.98	4.64
49.36	1	36	29.4961	0	65	788	787.089	3.6133	2.68189	2.04471	2.36988	7.59519	7.91	4.76
49.38	1.14267	15.4124	-9.8461	0	31.1814	164.579	161.043	14.0325	3.82605	1.98184	11.5302	21.6541	4.94	4.99
49.4	3	37	4.42936	2	69	218	213.44	18.0948	4.92413	2.00452	15.5863	14.5777	4.05	5.07
49.425	0.31323	27.3304	7.00876	0	58.6251	170.186	167.341	11.2898	3.48699	3.90187	14.2517	13.7982	3.53	5.11
49.452	1.43766	12.4266	1.871	0.716387	72.7391	68.0259	66.5481	5.86422	5.8635	4.83453	0.195709	0		
49.474	4.05894	10.3523	6.23593	0.264825	79.9577	48.7962	48.2199	2.28687	5.73113	1.93989	3.81352	2.36296		
49.496	110	24	2.4		91	50	46.976	12	4	2	2	55		
49.518	10	21	3		65	37	34.48	10	3	4	2	31		
49.54	7	23	2.35994		42	35	32.1104	11.4667	3.55261	2.02217	1.93053	8.31519		
49.562	9	22	-3.2		49	28	24.472	14	3	2	4	51		
49.582	2.82761	17.8153	1.31929		61.4147	21.1956	18.8862	9.16445	9.15454	3.21492	2.65555	3.71346		
49.602	1.97655	11.752	0.345364		62.4119	17.6206	16.0237	6.33702	2.83216	2.7591	1.71749	0		
49.622	2.63013	32.1917	3.3917		69.4164	24.4779	20.4459	16	3	4	2	11		
70.02	3.22605	9.42691	-1.19979	0.548181	88.9734	31.3806	29.8929	5.90372	4.7039	3.86496	0.873343	0		
70.04	3.5408	6.68397	2.79547	0.3907	97.4314	29.3734	28.829	2.16028	3.92806	2.09875	1.14331	0		
70.06	3.48123	17.9953	10.7408		111.944	87.8919	86.8763	4.0303	11.8465	1.99314	3.43299	6.56154		
70.08	3.15351	16.5053	3.65843		104.16	80.9484	79.1498	7.13715	4	2	2.87268	28.531		
70.1	2.99775	13.0623	-2.79136		103.206	92.274	90.0545	8.80759	2	3	2.59827	29.3843		
70.12	3.40462	14.9198	-4.8802	0.360113	66.6337	58.3674	55.5954	11	2	2	2.94143	21.3783		
70.14	4.06391	17.0939	4.85043		79.2397	37.2823	35.5682	6.80193	5.73382	1.74852	2.00441	0		
70.165	3.7246	10.3778	4.61118	0.481916	85.4607	70.7191	69.9118	3.20368	7.19299	1.83502	2.04472	0		
70.19	3.78989	18.4262	10.509	0.340986	84.7426	47.1365	46.0281	4.39844	7.29167	2.95091	1.05231	0		
70.22	9.39583	24.9064	24.9064	0	155.193	83.7843	83.7843	0		9.97299	2.94047	8.14075		
70.238	5	13	-188.026	0	116	52	23.8564	111.681	13.301	8.82716	9.4354	19.5462		
70.256	4.53802	27.2031	-338.314	0	117.424	156.871	105.699	203.065	11.4065	9.60925	8.18999	56.2645		
70.274	4.27626	27.6629	5.94608	0	98.9895	185.825	182.785	12.0649	2.32583	2.19967	6.18017	56.8436		
70.292	3.843	27.1439	6.87338	0	91.976	182.958	180.12	11.2614	8.82982	2.51657	5.66129	30.8393		
70.31	4	43	-5.33774	0	85	214	207.233	26.8543	5.82202	3.70876	9.50395	20.5867		
70.328	4	69	24.576	0	77	235	228.781	24.68	2.46911	6.34622	9.13947	25.0894		
70.346	3.63291	63.8461	44.4362	0	68.0684	193.555	190.838	10.7833	4.54976	3.07203	11.4062	23.3511		
70.364	4.51485	34.0294	18.3969	0	101.652	98.2915	96.103	8.6847	9.13741	10.6365	8.84872	24.142		
70.382	4.33888	14.2018	-8.5007	0	135.182	58.3508	55.1724	12.6125	9.28139	4.15413	5.79887	23.7161		
70.4	4.79734	18.5411	1.0971	0	147.021	84.0315	81.5893	9.69111	16.0834	4.31172	7.01184	27.6083		
70.418	4.67422	37.1076	3.41142	0	140.998	85.4329	80.7154	18.7201	15.634	2.75559	10.9674	35.2733		
70.436	4.89584	25.0144	-2.72108	0	111.695	24.1073	20.2243	15.4086	7.54657	2.03948	9.98539	20.9803		
70.454	5.22939	25.7876	-11.0258	0	110.003	29.7348	24.5809	20.4519	5.49083	2.38008	10.3847	14.3317		
70.472	5.06114	10.2746	-38.7507	0	109.099	57.2493	50.3858	27.2363	6.88614	16.6687	3.58408	5.33998		
70.487	3.34983	4.75566	0	0	52.8339	35.8971	0							
70.502	39.0838	0.0971178	0	0	2.05048	0	0							
70.522	3	24	-0.59754	0	103	62	58.5563	13.6653	9.02073	5.72512	5.71166	34.6562		
70.54	7.30708	36.6016	-3.58988	0	77.0026	28.6054	22.9786	22.3286	4.09821	3.63035	9.88841	25.4996		
70.558	9.43041	65.1884	-118.469	0	82.0379	60.7947	35.0826	102.032	3.77106	46.5444	4.18112	44.9983		
70.576			-436.415					242.453	8.90193	225.445	32.302	151.526		
70.594	6	56	50.8594	0	63	35	34.2803	2.85589	0.390971	2.43169		0.0128829		
70.612	4	15	3.78665	0	80	20	18.4301	6.22964	2.46438	2.97477	5.51946	42.673		
70.63	5.51513	7.92629	-0.696268	0	75.7114	18.8483	17.6411	4.79031	4.83745	3.9697	4.83888	29.3534		
70.648	5.27186	8.52065	0.984824	0	72.0289	26.1209	25.0659	4.18657	6.99183	3.5349	3.4575	15.0869		
70.666	10	28	-16.3347	0	84	131	124.793	24.6304	3.20873	6.49463	3.88013	21.6401		
70.684	4.60875	21.2302	8.75202	0	73.4555	77.5449	75.798	6.93232	7.13982	2.32269	5.23402	38.9818		
70.702	4	17	0	0	87	65	0							
70.72	4.95083	15.0171	-0.409332	0	73.3621	28.2491	26.0894	8.57024	5.91202	2.71929	3.49882	16.0566		
70.738	4.36347	23.4344	-7.70002	2.26886	48.3518	21.7029	17.3441	17.2969	5.91519	7.79436	6.63117	16.5093		
70.756	3.51182	20.0946	-15.8411	2.51432	35.7117	18.5044	13.4734	19.9643	4.80927	3.22986	5.95887	12.3185		
81.178	4.4252	57.7091	-29.0536	0	67.2433	76.7917	64.6449	48.2015	8.5342	16.8872	11.0776	22.8102		
81.196	5.33606	21.9392	8.13837	0	65.3547	36.7905	34.8584	7.66713	5.58567	2.11857	6.49617	13.2294		
81.214	5.4709	6.10129	-0.032138	0	75.2253	39.3039	38.4452	3.40746	8.02769	1.49411	3.3288	7.18115		
81.232	2.90867	8.33414	-18.6228	2.68351	47.2889	37.8791	34.1051	14.9761	8.58676	3.20669	4.2836	27.5996		
81.25	5.00089	9.64283	1.78162	4.3453	139.306	134.025	132.924	4.36734	44.1674	2.67962	2.22519	56.1788		
81.268	4.58733	9.52295	5.67117	2.29955	83.5529	88.2646	87.7254	2.13988	10.9968	2.33668	1.67772	26.6258		
81.286	4	26	12.894	0	67	263	261.165	7.28113	4.83261	1.43901	5.00783	38.5121		
81.304	4	63	3.49848	0	46	430	421.67	33.0564	3.66477	4.16811	9.31085	47.0064		
81.322	5	30	6.84606	1	59	198	194.758	12.8633	3.76773	2.95949	7.4177	21.0537		
81.34	5	15	1.22687	0	118	153	151.072	7.65174	37.3295	4.44167	4.5153	11.2691		
81.358	7	23	-458.1	0	165	75	7.64594	267.278	21.848	289.077	0.961285	5.50999		
81.376	5	10	-34.7408	0	93	38	31.7363	24.856	7.10802	1.90719	2.06563	25.1231		
81.394	6.21268	14.3556	7.52838	0	89.9822	53.1342	52.1784	3.7929	7.4018	2.87557	2.19932	13.785		
81.412	5.0783	14.3454	10.496	5.90683	83.6808	106.974	106.435	2.13857	6.56594		2.79945	11.436		
81.43	4	23	16.4425	0	83	169	168.082	3.64307	5.58033	1.49676	4.83378	18.7821		
81.448	2.45781	41.1134	0	0	45.6915	187.683	0							
81.466	2.73981	71.0428	45.4679	1.75151	56.1613	127.19	123.61	14.2083	7.26708	3.0813	4.47516	29.9325		
81.484	2.86676	34.9361	10.0612	3.61249	88.1336	73.2258	69.7433	13.8194	6.4946	3.07688	6.1358	18.9194		
81.502	2.43799	11.7838	-0.46835	1.64112	96.3117	44.3796	42.6643	6.80675	6.06781	2.09938	5.3356	17.7357		
81.52	5.59622	35.8543	12.7355	1.92603	92.9598	34.3118	31.0752	12.8438	2.75554	5.80808	6.63676	16.2815		
81.54	2	13	-5.22518	0	85	35	32.4485	10.1251	3.61643	3.07961	6.02513	21.5581		
81.56	2	18	-3.1158	0	81	23	20.0438	11.731	17.9557	6.21515	5.29705	17.7384		

