depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F
18.5	2.98279	74.1683	4.37762		72.6024	77.5166	67.7459	38.7726	7.10881	3.3963	6.05727	12.9265	
18.525	2.64079	70.0992	10.966		49.0397	145.837	137.558	32.8518	5.32932	3.60694	9.36823	23.7584	0.719442
18.55	2.33378	49.0708	7.23142		47.2126	130.047	124.189	23.2441	2.824	2.78965	6.0177	12.0961	1.70801
18.575	2.4211	20.9754	-1.6272		53.0256	105.601	102.437	12.557	2.70243	1.57994	3.55149	7.74667	
18.6	2.63169	8.03916	1.95739		63.1803	63.6042	62.7528	3.37876	3.18505	1.37866	1.95221	4.96914	
18.625			-22.68		1.08295	2.08643	-1.08877	12.6	7.37776	3.79332	1.75722	5.66276	0.0657037
18.65	2.39063	9.38828	-3.46484		87.9772	27.4339	25.6345	7.14062	3.08997	2.03477	1.82674	11.2535	0.709263
18.675	2.3037	6.37606	0.88156		110.397	30.3871	29.6179	3.0525	4.66011	2.02023	1.48634	7.49074	
18.7	1.95072	12.8866	6.56619		109.804	65.5904	64.7055	3.51134	3.65382	2.04122	2.03581	8.82552	
18.725	1.62198	13.9442	7.20097		73.5858	58.522	57.5779	3.74624	7.05745	1.73275	1.89501	13.3803	1.48507
18.75	1.91402	8.94538	1.37555		106.995	78.9765	77.9167	4.20546	5.95405	1.52358	2.27961	10.486	0.817896
18.775	2.058	22.1455	3.47581	0.518676	88.4583	130.203	127.589	10.372	2.70881	1.66053	3.70013	22.4782	0.769873
18.8	1.81769	24.9584	5.04563	0.692956	73.502	196.479	193.691	11.0626	3.18608	1.56176	3.92225	27.4925	
18.825	1.61615	24.5202	7.79149	0.465778	41.5316	250.415	248.073	9.29373	3.51853	1.59848	2.60322	17.8026	0.649746
18.85	2.15291	48.3231	-4.60716	0.387858	44.7322	204.162	196.752	29.4057	0	10.2186	3.35986	21.6155	1.19073
18.875	1.62467	18.1951	-6.12722		41.712	89.2279	85.8228	13.5124	3.96629	5.26581	1.42985	6.68824	0.79666
18.9	2.42627	5.94016	-1.0833		34.6629	39.6499	38.6666	3.90192	5.36432	1.50922	2.12403	3.006	1.14894
18.925	2.94161	4.97858	0.987422		33.1252	17.9028	17.344	2.21731	3.16595	1.58201	2.35329	3.27016	0.348925
18.95	3.31249	67.205	-23.8517		65.2482	42.7792	30.0313	50.587	4.35123	13.3096	3.62617	41.1283	2.81379
19	2.12676	12.4793	2.08693		91.2447	46.1736	44.7187	5.77354	3.90293	1.19278	2.28058	8.45481	
19.025	2.01752	15.5028	10.4181		103.728	134.978	134.266	2.82481	14.5573	1.91583	2.24389	3.71528	
19.05	1.91472	10.5854	8.07042		101.728	212.512	212.16	1.39721	11.2583	1.71177	1.98052	3.18492	
19.075	1.69281	10.2611	-1.69848		78.0546	336.956	335.282	6.64421	4.2103	1.44547	2.72397	8.24253	
