depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F	pH
19	2.77063	33.8778	4.43917	0.591053	105.234	96.1485	92.0202	16.3821	12.0316	6.612	4.94851	9.25033	4.34592	2.76016
19.025	2.68101	11.3943	7.13027	0	104.419	74.0278	73.4298	2.37286	8.83819	2.70476	4.51753	3.06405	1.89299	2.43445
19.05	2.82328	28.1934	12.9095	0.521467	94.5503	152.51	150.367	8.50524	17.3741	3.38515	5.52539	8.82413	1.30487	2.84866
19.075	2.53686	51.621	22.497	0.708227	71.0901	233.481	229.397	16.207	6.8505	2.99018	7.51286	13.9245	2.07808	3.36657
19.1	2.90391	70.6654	4.52825	0.859965	44.0017	246.175	236.9	36.8042	13.264	3.58811	9.19233	6.99914	8.9246	3.5169
19.125	3.5382	28.9003	8.78953	0.804152	53.714	117.585	114.765	11.1913	5.77714	2.01115	5.88827	3.55573	2.20217	3.05876
19.15	3.86194	7.11302	0.273045	0.812088	70.6637	61.4291	60.4699	3.80633	5.96169	3.29584	3.99126	7.83925	0.951684	1.48823
19.175	4.13365	3.41489	1.40658	0.635521	105.632	41.0911	40.8095	1.11759	6.73278	1.25307	5.70917	2.67119	2.89508	1.60662
19.195	3.25857	4.97394	2.00025	0	130.232	55.3384	54.9214	1.65481	3.66729	1.6906	6.63401	2.14697	1.31887	1.71284
19.215	4.89918	27.3897	4.21361	0	186.383	124.611	121.361	12.8971	35.8994	6.13159	5.71164	3.99633	4.49739	2.86744
19.235	2	107.726	14.645	0	106.517	423.475	410.422	51.798	8.9231	5.45603	10.9129	11.5918	2	6.3
19.285	1.22795	100.961	33.5083	0	97	585	575.541	37.5363	16.3425	2.27328	12.4285	4.64224	1.16553	
19.31	1	48	34.4744	0	103	696	694.103	7.52679	14.9095	3.57873	5.91601	2.7751	2	
19.335	1	91	82.1899	0	76	407	405.765	4.90269	7.1304	2.87059	6.80242	1.96171	0	
19.36	3.35101	132.116	111.268	0	65.295	160.259	157.335	11.6016	13.7244	4.73105	12.4752	8.65064	1.73019	
19.385	3.01774	29.5239	4.3659	0	58.6457	138.997	135.469	14	5	2	9		1.32501	
19.41	1.99518	15.5019	11.9079	0.526908	79.293	47.228	46.724	2	2	2	2	0	2.19755	
19.435	3.87004	3.67549	-5.30951	1.1785	66.6981	21.0192	19.7592	5	8	4	5	6	0.974955	
19.46	2.87889	6.4353	1.0443	0.792509	79.784	24.1412	23.3852	3	6	3	5	5	0.995493	
19.485	2.77463	6.46622	-19.4172	0.513133	96.443	25.294	21.6643	14.4037	17.0585	8.08653	4.10289	5.88439	0.68004	
19.51	2.8746	45.4022	24.4021	0.593329	71.7901	97.0401	94.0952	11.6862	16.0043	3.47518	7.15413	12.0598	1.27425	
19.535	2.53236	126.773	25.914	0.98967	30.2196	351.226	337.082	56.1263	12.8289	5.24512	17.2282	81.1742	2.22061	
