depth	Ca	NH4	CH2O	H2O2	density	accumulation
0			0	0		
0.002			0	0	0.371	
0.004			0	0	0.332	
0.006			0	0	0.33	
0.008			0	0	0.323	
0.01			0	0	0.345	
0.012			0	0	0.334	
0.014			0	0	0.347	
0.016	20.93	8.54	0	0	0.355	20.93
0.018	21.54	8.21	0	0	0.378	21.54
0.02	21.52	7.89	0	0	0.394	21.52
0.022	21.65	7.56	0	0	0.393	21.65
0.024	21.51	7.21	0	0	0.372	21.51
0.026	20.9	6.84	0	0	0.386	20.9
0.028	20.24	6.44	0	0	0.394	20.24
0.03	19.68	6.03	0	0	0.388	19.68
0.032	19.26	5.63	5.88	0	0.412	19.26
0.034	18.69	5.24	14.34	0	0.443	18.69
0.036	17.87	4.88	14.48	0	0.418	17.87
0.038	17.98	4.56	14.65	0	0.449	17.98
0.04	17.98	4.25	14.81	0	0.441	17.98
0.042	16.7	3.98	14.83	0	0.459	16.7
0.044	15.77	3.74	14.87	0	0.464	15.77
0.046	15.6	3.54	14.9	0	0.461	15.6
0.048	15.18	3.37	14.93	0	0.472	15.18
0.05	14.53	3.21	14.9	0	0.467	14.53
0.052	14.3	3.12	14.93	0	0.476	14.3
0.054	14.33	3.02	14.93	0	0.463	14.33
0.056	14.4	2.96	14.98	0	0.482	14.4
0.058	13.99	2.95	14.93	0	0.493	13.99
0.06	14.12	2.92	14.91	0	0.48	14.12
0.062	13.76	2.91	14.81	0	0.502	13.76
0.064	13.24	2.92	14.71	0	0.505	13.24
0.066	13.05	2.91	14.75	0	0.507	13.05
0.068	13.3	2.89	14.73	0	0.504	13.3
0.07	13.07	2.87	14.58	0	0.494	13.07
0.072	12.78	2.84	14.48	0	0.497	12.78
0.074	12.06	2.81	14.34	0	0.507	12.06
0.076	12.13	2.77	14.2	0	0.51	12.13
0.078	12.41	2.73	14.18	0	0.52	12.41
0.08	12.52	2.68	14.12	0	0.531	12.52
0.082	11.14	2.64	14.06	0	0.538	11.14
0.084	10.22	2.62	13.91	0	0.534	10.22
0.086	9.53	2.6	13.81	0	0.537	9.53
0.088	9.57	2.59	13.73	0	0.529	9.57
0.09	9.82	2.58	13.54	0	0.527	9.82
0.092	9.95	2.58	13.37	0	0.522	9.95
0.094	10.19	2.59	13.31	0	0.527	10.19
0.096	10.1	2.59	13.35	0	0.539	10.1
0.098	10.32	2.59	13.23	0	0.54	10.32
0.1	10.4	2.6	13.15	0	0.551	10.4
0.102	10.32	2.61	13.09	0	0.543	10.32
0.104	11.1	2.61	13.01	0	0.547	11.1
0.106	12.11	2.62	12.98	0	0.551	12.11
0.108	11.77	2.61	13.04	0	0.563	11.77
0.11	10.55	2.61	12.97	0	0.559	10.55
0.112	9.99	2.59	12.92	0	0.568	9.99
0.114	9.59	2.58	12.86	0	0.555	9.59
0.116	9.64	2.59	12.8	0	0.57	9.64
0.118	9.69	2.57	12.75	0	0.574	9.69
0.12	9.59	2.55	12.71	0	0.573	9.59
0.122	9.47	2.54	12.7	0	0.58	9.47
0.124	9.63	2.52	12.67	137.62	0.577	9.63
0.126	9.55	2.52	12.62	234.57	0.58	9.55
0.128	9.56	2.52	12.59	238.94	0.584	9.56
0.13	9.52	2.49	12.58	243.08	0.581	9.52
0.132	9.76	2.5	12.59	247.25	0.583	9.76
0.134	9.41	2.5	12.49	251.59	0.589	9.41
0.136	9.25	2.49	12.51	255.56	0.587	9.25
0.138	9.58	2.49	12.48	259.5	0.58	9.58
0.14	9.54	2.5	12.6	264.11	0.589	9.54
0.142	9.26	2.49	12.58	268.36	0.592	9.26
0.144	9.37	2.51	12.49	272.58	0.593	9.37
0.146	9.33	2.53	12.51	276.78	0.598	9.33
0.148	9.17	2.55	12.54	281.95	0.603	9.17
0.15	8.91	2.58	12.62	286.91	0.601	8.91
0.152	8.8	2.62	12.58	240.89	0.605	8.8
0.154	8.83	2.67	12.65	0	0.603	8.83
0.156	8.87	2.7	12.64	0	0.609	8.87
0.158	8.42	2.75	12.62	0	0.61	8.42
0.16	8.29	2.8	12.59	0	0.605	8.29
0.162	8.17	2.83	12.64	0	0.612	8.17
0.164	8.04	2.86	12.61	0	0.61	8.04
0.166	8.27	2.9	12.69	0	0.615	8.27
0.168	8.18	2.93	12.71	0	0.614	8.18
0.17	7.52	2.95	12.79	0	0.609	7.52
0.172	7.5	2.98	12.76	0	0.613	7.5
0.174	7.82	2.98	12.83	0	0.626	7.82
0.176	7.98	3	12.88	0	0.615	7.98
0.178	8.18	3.02	12.89	0	0.615	8.18
0.18	8.12	3.06	12.98	0	0.622	8.12
0.182	8.2	3.12	12.99	0	0.617	8.2
0.184	8.47	3.18	13.05	0	0.622	8.47
0.186	8.65	3.28	13.05	0	0.619	8.65
0.188	8.56	3.38	13.1	0	0.63	8.56
0.19	8.72	3.48	13.18	0	0.63	8.72
0.192	8.95	3.59	13.16	0	0.634	8.95
0.194	9.2	3.66	13.19	0	0.642	9.2
0.196	9.18	3.73	13.25	0	0.636	9.18
0.198	9.07	3.75	13.31	0	0.635	9.07
0.2	9.19	3.79	13.3	0	0.637	9.19
0.202	9.27	3.79	13.4	0	0.643	9.27
0.204	9.57	3.79	13.41	0	0.639	9.57
0.206	9.87	3.78	13.45	0	0.643	9.87
0.208	9.79	3.78	13.57	0	0.644	9.79
0.21	10.03	3.75	13.62	0	0.64	10.03
0.212	9.8	3.76	13.65	0	0.648	9.8
0.214	9.67	3.79	13.74	0	0.643	9.67
0.216	10.12	3.81	13.84	0	0.646	10.12
0.218	10.32	3.86	13.9	0	0.652	10.32
0.22	10.29	3.92	13.95	0	0.652	10.29
0.222	10.35	3.99	14.05	0	0.655	10.35
0.224	9.6	4.1	14.09	0	0.659	9.6
0.226	9.87	4.23	14.13	0	0.657	9.87
0.228	10.08	4.35	14.17	0	0.659	10.08
0.23	10.36	4.48	14.22	0	0.663	10.36
0.232	10.58	4.63	14.21	215.56	0.668	10.58
0.234	10.87	4.74	14.15	320.71	0.656	10.87
0.236	10.87	4.86	14.22	323.61	0.664	10.87
0.238	10.68	4.94	14.28	326.06	0.663	10.68
0.24	10.5	5.04	14.28	328.29	0.666	10.5
0.242	10.17	5.11	14.22	330.55	0.669	10.17
0.244	10.31	5.17	14.3	331.91	0.671	10.31
0.246	10.15	5.21	14.31	334.12	0.665	10.15
0.248	10.02	5.23	14.23	335.8	0.669	10.02
0.25	9.87	5.24	14.22	336.14	0.675	9.87
0.252	10	5.25	14.13	335.67	0.674	10
0.254	9.84	5.22	14.11	335.06	0.672	9.84
0.256	9.44	5.23	14.02	332.87	0.674	9.44
0.258	9.17	5.23	14.07	327.86	0.681	9.17
0.26	9.13	5.22	14.07	325.27	0.678	9.13
0.262	9.15	5.22	13.97	324.22	0.68	9.15
0.264	9.29	5.23	13.83	318.59	0.688	9.29
0.266	9.28	5.24	13.75	318.45	0.677	9.28
0.268	8.76	5.22	13.7	334.96	0.688	8.76
0.27	8.82	5.23	13.74	346.15	0.681	8.82
0.272	9.15	5.25	13.73	350.11	0.675	9.15
0.274	9.54	5.27	13.78	351.94	0.695	9.54
