depth	cond
17.003	280
17.007	336
17.01	352
17.013	348
17.017	348
17.02	350
17.023	334
17.027	326
17.03	318
17.033	316
17.037	316
17.04	312
17.043	306
17.047	300
17.05	294
17.053	290
17.057	290
17.06	288
17.063	280
17.067	276
17.07	274
17.073	274
17.077	278
17.08	284
17.083	282
17.087	282
17.09	288
17.093	288
17.097	290
17.1	290
17.103	296
17.107	302
17.11	304
17.113	306
17.117	320
17.12	308
17.123	298
17.127	304
17.13	304
17.133	294
17.137	302
17.14	296
17.143	290
17.147	300
17.15	294
17.153	298
17.157	310
17.16	308
17.163	294
17.167	298
17.17	290
17.173	294
17.177	300
17.18	302
17.183	300
17.187	300
17.19	302
17.193	304
17.197	308
17.2	308
17.203	308
17.207	314
17.21	318
17.213	320
17.217	320
17.22	324
17.223	326
17.227	326
17.23	312
17.233	310
17.237	298
17.24	296
17.243	292
17.247	290
17.25	292
17.253	294
17.257	300
17.26	306
17.263	306
17.267	320
17.27	332
17.273	338
17.277	340
17.28	348
17.283	348
17.287	340
17.29	340
17.293	342
17.297	340
17.3	344
17.303	348
17.307	348
17.31	352
17.313	350
17.317	338
17.32	318
17.323	282
17.327	266
17.33	256
17.333	258
17.337	284
17.34	296
17.343	296
17.347	302
17.35	306
17.353	308
17.357	310
17.36	312
17.363	306
17.367	298
17.37	292
17.373	284
17.377	286
17.38	294
17.383	300
17.387	306
17.39	306
17.393	306
17.397	308
17.4	312
17.403	314
17.407	320
17.41	324
17.413	322
17.417	320
17.42	320
17.423	326
17.427	334
17.43	340
17.433	342
17.437	346
17.44	348
17.443	346
17.447	352
17.45	352
17.453	352
17.457	354
17.46	354
17.463	354
17.467	348
17.47	342
17.473	340
17.477	344
17.48	344
17.483	342
17.487	344
17.49	346
17.493	346
17.497	344
17.5	348
17.503	324
17.507	318
17.51	320
17.513	320
17.517	322
17.52	320
17.523	324
17.527	324
17.53	322
17.533	320
17.537	322
17.54	316
17.543	316
17.547	306
17.55	302
17.553	298
17.557	296
17.56	296
17.563	292
17.567	292
17.57	292
17.573	290
17.577	290
17.58	288
17.583	284
17.587	284
17.59	280
17.593	282
17.597	282
17.6	280
17.603	278
17.607	278
17.61	274
17.613	280
17.617	276
17.62	276
17.623	276
17.627	274
17.63	270
17.633	272
17.637	274
17.64	272
17.643	278
17.647	272
17.65	272
17.653	266
17.657	266
17.66	266
17.663	276
17.667	284
17.67	284
17.673	288
17.677	290
17.68	290
17.683	286
17.687	288
17.69	284
17.693	284
17.697	282
17.7	282
17.703	278
17.707	274
17.71	278
17.713	276
17.717	280
17.72	278
17.723	278
17.727	280
17.73	278
17.733	280
17.737	280
17.74	278
17.743	274
17.747	272
17.75	270
17.753	268
17.757	272
17.76	272
17.763	272
17.767	272
17.77	268
17.773	272
17.777	272
17.78	272
17.783	266
17.787	266
17.79	260
17.793	260
17.797	258
17.8	260
17.803	258
17.807	258
17.81	262
17.813	264
17.817	264
17.82	270
17.823	266
17.827	270
17.83	270
17.833	270
17.837	268
17.84	266
17.843	272
17.847	278
17.85	284
17.853	284
17.857	282
17.86	286
17.863	292
17.867	296
17.87	296
17.873	296
17.877	298
17.88	298
17.883	296
17.887	302
17.89	306
17.893	314
17.897	312
17.9	314
17.903	342
17.907	348
17.91	354
17.913	354
17.917	344
17.92	342
17.923	320
17.927	300
17.93	300
17.933	298
17.937	276
17.94	278
17.943	258
17.947	260
17.95	260
17.953	262
17.957	268
17.96	270
17.963	282
17.967	282
17.97	280
17.973	282
17.977	282
17.98	280
17.983	278
17.987	274
17.99	258
17.993	252
17.997	248
18	244
18.003	134
18.007	198
18.01	254
18.013	256
18.017	258
18.02	266
18.023	264
18.027	270
18.03	270
18.033	268
18.037	274
