iceDepth	density	weDepth	d18O
0.4	307.692307692308	0.11	-36.9
0.79	297.297297297297	0.23	-39
1.16	315.78947368421	0.34	-39.1
1.54	305.555555555555	0.46	-35.8
1.9	342.857142857143	0.57	-38.6
2.25	314.285714285714	0.69	-37.8
2.6	342.857142857143	0.8	-38.6
2.95	333.333333333334	0.92	-37.5
3.28	363.636363636363	1.03	-40.6
3.61	333.333333333333	1.15	-38.4
3.94	375	1.26	-38.1
4.26	343.75	1.38	-37.3
4.58	387.096774193549	1.49	-38.4
4.89	354.838709677418	1.61	-35.7
5.2	400.000000000001	1.72	-36.6
5.5	366.666666666667	1.84	-36.5
5.8	400	1.95	-36.5
6.1	379.310344827587	2.07	-37.3
6.39	413.793103448275	2.18	-37.9
6.68	379.310344827587	2.3	-37.7
6.97	428.571428571427	2.41	-36.7
7.25	392.857142857144	2.53	-35.5
7.53	428.571428571428	2.64	-37.5
7.81	407.407407407408	2.76	-36.9
8.08	428.57142857143	2.87	-35.7
8.36	407.407407407405	2.99	-36.9
8.63	461.538461538462	3.1	-36.9
8.89	407.407407407408	3.22	-37.1
9.16	461.538461538462	3.33	-38.9
9.42	423.076923076923	3.45	-38.3
9.68	461.538461538462	3.56	-35.7
9.94	423.076923076923	3.68	-38.5
10.2	480.000000000001	3.79	-37.9
10.45	439.999999999998	3.91	-36.3
10.7	480.000000000001	4.02	-36.4
10.95	440.000000000001	4.14	-34.7
11.2	480.000000000001	4.25	-34.8
11.45	458.333333333334	4.37	-34.7
11.69	479.999999999997	4.48	-34.7
11.94	458.333333333334	4.6	-34.8
12.18	458.333333333334	4.71	-34.8
12.42	500	4.82	-34.8
12.66	478.260869565214	4.94	-34.9
12.89	500	5.05	-35.8
13.13	478.260869565222	5.17	-37.6
13.36	500	5.28	-36.7
13.6	478.260869565214	5.4	-35.5
13.83	521.739130434782	5.51	-35.5
14.06	478.260869565222	5.63	-36.8
14.29	545.454545454544	5.74	-37.9
14.51	478.260869565214	5.86	-36.9
14.74	521.739130434782	5.97	-37.1
14.97	500.000000000004	6.09	-38
15.19	545.454545454544	6.2	-37.4
15.41	499.999999999996	6.32	-35.5
15.63	545.454545454549	6.43	-35.5
15.85	500	6.55	-37.3
16.07	545.454545454549	6.66	-36.8
16.29	499.999999999992	6.78	-36.7
16.51	545.454545454549	6.89	-35.8
16.73	523.809523809523	7.01	-34.7
16.94	545.454545454549	7.12	-35.9
17.16	523.809523809519	7.24	-35.4
17.37	571.428571428579	7.35	-35.4
17.58	523.809523809523	7.47	-36.4
17.79	571.42857142857	7.58	-35
18	523.809523809519	7.7	-35.1
18.21	571.42857142857	7.81	-37.7
18.42	523.809523809528	7.93	-37.8
18.63	571.428571428574	8.04	-36.9
18.84	549.999999999999	8.16	-37.6
19.04	571.428571428574	8.27	-37.8
19.25	549.999999999999	8.39	-37
19.45	571.428571428565	8.5	-37.1
19.66	550.000000000008	8.62	-37.5
19.86	599.999999999998	8.73	-37.7
20.06	523.809523809527	8.85	-37.5
20.27	599.999999999998	8.96	-36.7
20.47	549.999999999989	9.08	-38
20.67	600.000000000007	9.19	-36.3
20.87	549.999999999999	9.31	-37.3
21.07	578.947368421046	9.42	-39.5
21.26	600.000000000007	9.53	-36.5
21.46	578.947368421057	9.65	-36.4
21.65	599.999999999996	9.76	-37.6
21.85	578.947368421057	9.88	-38
22.04	549.999999999999	9.99	-36.7
22.24	631.578947368422	10.1	-37.4
22.43	578.947368421046	10.22	-38.5
22.62	599.999999999998	10.33	-39.4
22.82	578.947368421055	10.45	-39.2
23.01	631.578947368424	10.56	-36.5
23.2	578.947368421046	10.68	-35.9
23.39	578.947368421066	10.79	-35.9
23.58	631.578947368413	10.9	-36.5
23.77	578.947368421055	11.02	-36.7
23.96	631.578947368424	11.13	-36.4
24.15	611.111111111109	11.25	-37.8
24.33	631.578947368422	11.36	-38.4
24.52	578.947368421046	11.48	-36.8
24.71	611.111111111109	11.59	-36.3
24.89	631.578947368434	11.7	-35.6
25.08	611.111111111097	11.82	-35.5
25.26	631.578947368434	11.93	-36.5
25.45	611.111111111109	12.05	-37
25.63	631.578947368413	12.16	-36.2
25.82	611.111111111119	12.28	-34.5
26	611.111111111109	12.39	-34.9
26.18	631.578947368413	12.5	-36.7
26.37	611.111111111119	12.62	-36.5
26.55	666.666666666663	12.73	-36
26.73	611.111111111119	12.85	-35.7
26.91	611.111111111109	12.96	-35.9
27.09	666.666666666663	13.07	-33.9
27.27	611.111111111119	13.19	-34.1
27.45	666.666666666663	13.3	-36.5
27.63	611.111111111109	13.42	-37.8
27.81	666.666666666673	13.53	-34.8
27.99	647.058823529402	13.65	-35.5
28.16	611.111111111109	13.76	-37.4
28.34	666.666666666673	13.87	-37
28.52	611.111111111109	13.99	-37.4
28.7	705.882352941175	14.1	-36.7
28.87	611.111111111109	14.22	-36
29.05	666.666666666663	14.33	-36.2
29.23	647.058823529426	14.45	-36.5
29.4	611.111111111109	14.56	-36.2
29.58	705.882352941165	14.67	-36.2
29.75	647.058823529412	14.79	-35.9
29.92	666.666666666663	14.9	-35.3
30.1	647.058823529426	15.02	-36.5
30.27	666.666666666663	15.13	-37.7
30.45	647.058823529402	15.25	-37.9
30.62	647.058823529426	15.36	-37.5
30.79	705.882352941165	15.47	-35.8
30.96	611.111111111109	15.59	-35.7
31.14	705.88235294119	15.7	-37.3
31.31	647.058823529402	15.82	-38.5
31.48	705.88235294119	15.93	-37.4
31.65	647.058823529402	16.05	-36.7
31.82	647.058823529416	16.16	-37
31.99	705.88235294119	16.27	-36.4
32.16	647.058823529402	16.39	-37.9
32.33	705.882352941175	16.5	-38.4
32.5	647.058823529402	16.62	-37.4
32.67	647.058823529402	16.73	-36.5
32.84	705.882352941205	16.84	-36.7
33.01	687.499999999981	16.96	-36.9
33.17	705.882352941175	17.07	-37.1
33.34	647.058823529429	17.19	-37.2
33.51	705.882352941175	17.3	-37.8
33.68	687.499999999981	17.42	-36.7
33.84	647.058823529429	17.53	-36
34.01	705.882352941175	17.64	-36.1
34.18	687.499999999981	17.76	-36.9
34.34	705.882352941184	17.87	-37.6
34.51	647.058823529423	17.99	-39.1
34.68	749.999999999967	18.1	-40.1
34.84	647.058823529429	18.22	-38.6
35.01	687.500000000003	18.33	-37.9
35.17	705.882352941154	18.44	-37.8
35.34	687.500000000033	18.56	-37.6
35.5	750	18.67	-37.8
35.66	647.058823529402	18.79	-39.7
35.83	749.999999999989	18.9	-39.1
35.99	647.058823529429	19.02	-36.3
36.16	687.499999999981	19.13	-36
36.32	750.000000000022	19.24	-36.9
36.48	687.499999999981	19.36	-37.6
36.64	705.882352941175	19.47	-38.3
36.81	687.500000000011	19.59	-38.6
36.97	749.999999999989	19.7	-37
37.13	687.500000000011	19.82	-37.1
37.29	687.499999999981	19.93	-38
37.45	705.882352941205	20.04	-38.4
37.62	687.499999999981	20.16	-38.3
37.78	750.000000000022	20.27	-37.9
37.94	705.882352941175	20.39	-36.9
38.11	705.882352941154	20.51	-36.4
38.28	750.000000000022	20.63	-37.1
38.44	705.882352941175	20.75	-37.4
38.61	647.058823529402	20.87	-35.9
38.78	750.000000000022	20.98	-36
38.94	705.882352941154	21.1	-37.4
39.11	749.999999999989	21.22	-37.1
39.27	705.882352941205	21.34	-37.3
39.44	705.882352941154	21.46	-38
39.61	749.999999999989	21.58	-36
39.77	750.000000000022	21.7	-35.8
39.93	705.882352941175	21.82	-36
40.1	687.500000000011	21.94	-36.3
40.26	705.882352941175	22.05	-38.2
40.43	749.999999999967	22.17	-37.9
40.59	750.000000000022	22.29	-36.9
40.75	705.882352941175	22.41	-37.5
40.92	750	22.53	-38.2
41.08	749.999999999989	22.65	-37.1
41.24	705.882352941205	22.77	-36.5
41.41	687.499999999981	22.89	-37
41.57	750.000000000022	23	-37.5
41.73	749.999999999967	23.12	-38.5
41.89	705.882352941175	23.24	-37.7
42.06	750.000000000022	23.36	-37.8
42.22	749.999999999989	23.48	-38.5
42.38	750	23.6	-38.1
42.54	749.999999999989	23.72	-38.1
42.7	750.000000000022	23.84	-37.2
42.86	647.058823529402	23.96	-37.3
43.03	750.000000000022	24.07	-37.4
43.19	799.999999999953	24.19	-38
43.34	687.500000000033	24.31	-37.7
43.5	799.99999999999	24.42	-37
43.65	687.499999999981	24.54	-36.6
43.81	800.000000000014	24.65	-36.8
43.96	750.000000000022	24.77	-38.2
44.12	733.333333333302	24.89	-38
44.27	750.000000000022	25	-36
44.43	733.333333333337	25.12	-35.1
44.58	749.999999999989	25.23	-35.1
44.74	733.333333333337	25.35	-34.6
44.89	750	25.46	-34.5
45.05	733.333333333325	25.58	-36.3
45.2	750	25.69	-36.8
45.36	800.000000000014	25.81	-36.2
45.51	733.333333333337	25.93	-36.3
45.66	749.999999999989	26.04	-36.9
45.82	733.333333333337	26.16	-37.5
45.97	800.000000000014	26.27	-37.9
46.12	687.499999999981	26.39	-37.3
46.28	800.000000000014	26.5	-36.5
46.43	733.333333333337	26.62	-36.6
46.58	749.999999999989	26.73	-37.5
46.74	733.333333333337	26.85	-37.3
46.89	799.99999999999	26.96	-37.6
47.04	800.000000000014	27.08	-38.4
47.19	733.333333333302	27.2	-37.1
47.34	750.000000000022	27.31	-36
47.5	733.333333333337	27.43	-35.8
47.65	800.000000000014	27.54	-37.7
47.8	733.333333333302	27.66	-38.6
47.95	800.000000000014	27.77	-37.9
48.1	733.333333333337	27.89	-36.8
48.25	750.000000000022	28	-36.8
48.41	733.333333333302	28.12	-37.3
48.56	800.000000000014	28.23	-37
48.71	799.99999999999	28.35	-36.8
48.86	733.333333333337	28.47	-37.1
49.01	800.000000000014	28.58	-37.7
49.16	733.333333333302	28.7	-37.7
49.31	800.000000000014	28.81	-37.1
49.46	733.333333333337	28.93	-37
49.61	800.000000000014	29.04	-37.9
49.76	733.333333333337	29.16	-37.9
49.91	799.999999999976	29.27	-37.7
50.06	733.333333333337	29.39	-38
50.21	800.000000000014	29.5	-38.5
50.36	799.99999999999	29.62	-38.2
50.51	733.33333333336	29.74	-37.4
50.66	799.999999999953	29.85	-37.3
50.81	733.333333333337	29.97	-37.6
50.96	857.142857142861	30.08	-37.4
51.1	733.333333333337	30.2	-37.6
51.25	800.000000000014	30.31	-38.4
51.4	733.333333333337	30.43	-38.1
51.55	799.999999999976	30.54	-37.2
51.7	733.333333333337	30.66	-37.3
51.85	800.000000000014	30.77	-37.4
52	857.142857142861	30.89	-37.3
52.14	733.333333333337	31.01	-38.2
52.29	799.99999999999	31.12	-38.5
52.44	733.333333333325	31.24	-38.4
52.59	799.99999999999	31.35	-38.1
52.74	785.714285714279	31.47	-38.8
52.88	800.000000000014	31.58	-39.3
53.03	733.333333333337	31.7	-38.6
53.18	857.142857142861	31.81	-38.4
53.32	799.99999999999	31.93	-38.5
53.47	733.333333333337	32.05	-38.1
53.62	800	32.16	-37.4
53.77	785.714285714318	32.28	-36.5
53.91	799.999999999953	32.39	-37
54.06	733.333333333337	32.51	-36.7
54.21	857.142857142886	32.62	-36.5
54.35	733.333333333337	32.74	-35.7
54.5	799.99999999999	32.85	-36.1
54.65	785.714285714279	32.97	-36.9
54.79	800.000000000038	33.08	-36.9
54.94	857.142857142835	33.2	-36.9
55.08	733.333333333337	33.32	-37.4
55.23	799.999999999953	33.43	-36.7
55.38	785.714285714279	33.55	-35.4
55.52	800.000000000038	33.66	-35.7
55.67	785.714285714279	33.78	-35.7
55.81	799.99999999999	33.89	-36.3
55.96	785.714285714279	34.01	-37
56.1	800.000000000038	34.12	-37.9
56.25	785.714285714279	34.24	-39.2
56.39	799.99999999999	34.35	-38.9
56.54	785.714285714279	34.47	-38.9
56.68	857.142857142886	34.58	-38.1
56.82	733.333333333337	34.7	-38
56.97	785.714285714279	34.81	-37.7
57.11	785.714285714279	34.92	-37.8
57.25	857.142857142835	35.03	-38.4
57.39	785.714285714279	35.15	-37.9
57.53	785.714285714279	35.26	-36.7
57.67	857.142857142886	35.37	-36
57.81	785.714285714279	35.49	-36.5
57.95	733.333333333337	35.6	-37.7
58.1	857.142857142835	35.71	-37.8
58.24	785.714285714279	35.83	-37.2
58.38	785.714285714279	35.94	-37.6
58.52	785.714285714318	36.05	-38.1
58.66	857.142857142886	36.16	-38.1
58.8	785.714285714279	36.28	-38.8
58.94	785.714285714279	36.39	-39.2
59.08	857.142857142835	36.5	-38.8
59.22	785.714285714279	36.62	-38.3
59.36	785.714285714329	36.73	-38.4
59.5	785.714285714279	36.84	-38.8
59.64	857.142857142835	36.95	-38.9
59.78	785.714285714279	37.07	-39.1
59.92	785.714285714279	37.18	-38.8
60.06	857.142857142835	37.29	-38.1
60.2	785.714285714329	37.41	-37.5
60.34	785.714285714318	37.52	-37.8
60.48	785.714285714279	37.63	-38.6
60.62	857.142857142835	37.74	-39.2
60.76	785.714285714279	37.86	-37.2
60.9	785.714285714279	37.97	-35.4
61.04	857.142857142886	38.08	-35.4
61.18	785.714285714279	38.2	-36.3
61.32	785.714285714279	38.31	-37.2
61.46	857.142857142835	38.42	-37.5
61.6	846.153846153871	38.54	-37.4
61.73	785.714285714279	38.65	-36.5
61.87	785.714285714279	38.76	-36.1
62.01	857.142857142886	38.87	-36.5
62.15	785.714285714279	38.99	-37.5
62.29	785.714285714279	39.1	-37.9
62.43	857.142857142835	39.21	-37.8
62.57	785.714285714279	39.33	-38.2
62.71	846.153846153825	39.44	-39
62.84	785.714285714318	39.55	-39.1
62.98	857.142857142886	39.66	-38.6
63.12	785.714285714279	39.78	-37.9
63.26	785.714285714279	39.89	-38.3
63.4	857.142857142835	40	-37.8
63.54	846.153846153825	40.12	-37.2
63.67	785.714285714329	40.23	-37.8
63.81	857.142857142835	40.34	-37.5
63.95	785.714285714279	40.46	-36.9
64.09	785.714285714279	40.57	-37
64.23	846.153846153871	40.68	-37.7
64.36	857.142857142835	40.79	-39
64.5	785.714285714329	40.91	-39.8
64.64	785.714285714279	41.02	-38.8
64.78	923.076923076936	41.13	-37.6
64.91	785.714285714279	41.25	-37.7
65.05	785.714285714279	41.36	-38
65.19	785.714285714279	41.47	-38.2
65.33	923.07692307699	41.58	-38.2
65.46	785.714285714279	41.7	-38.1
65.6	785.714285714279	41.81	-36.3
65.74	857.142857142835	41.92	-35.7
