depth	ECM
0.215	
0.225	
0.235	
0.245	24.023
0.255	24.219
0.265	23.145
0.275	21.973
0.285	21.143
0.295	19.629
0.305	26.416
0.315	27.246
0.325	28.76
0.335	27.344
0.345	18.652
0.355	15.43
0.365	19.141
0.375	16.309
0.385	14.648
0.395	12.891
0.405	19.531
0.415	23.633
0.425	18.359
0.435	17.48
0.445	16.211
0.455	15.137
0.465	13.77
0.475	15.039
0.485	8.789
0.495	11.523
0.505	15.039
0.515	14.1796
0.525	13.3202
0.535	12.4608
0.545	11.6014
0.555	10.742
0.565	15.625
0.575	13.77
0.585	13.428
0.595	9.961
0.605	8.105
0.615	11.182
0.625	12.012
0.635	11.035
0.645	16.113
0.655	8.203
0.665	4.395
0.675	2.344
0.685	4.395
0.695	4.785
0.705	5.957
0.715	8.984
0.725	11.621
0.735	10.84
0.745	7.52
0.755	9.668
0.765	8.51233
0.775	7.35667
0.785	6.201
0.795	12.402
0.805	19.922
0.815	15.723
0.825	14.941
0.835	18.555
0.845	20.215
0.855	11.23
0.865	15.967
0.875	15.918
0.885	15.137
0.895	11.23
0.905	10.254
0.915	7.324
0.925	6.934
0.935	8.691
0.945	8.008
0.955	4.297
0.965	10.645
0.975	9.863
0.985	4.98
0.995	8.105
1.005	4.98
1.015	5.908
1.025	4.102
1.035	6.934
1.045	5.566
1.055	3.223
1.065	2.441
1.075	5.176
1.085	0.098
1.095	0.488
1.105	1.465
1.115	1.465
1.125	1.855
1.135	1.465
1.145	2.96233
1.155	4.45967
1.165	5.957
1.175	7.45433
1.181	8.95167
1.225	10.449
1.235	11.9463
1.245	13.4437
1.255	14.941
1.265	18.75
1.275	16.064
1.285	12.012
1.295	12.402
1.305	10.107
1.315	4.199
1.325	4.297
1.335	5.664
1.345	4.297
1.355	4.785
1.365	9.375
1.375	12.598
1.385	3.662
1.395	4.785
1.405	2.93
1.415	4.59
1.425	6.25
1.435	7.715
1.445	10.352
1.455	4.492
1.465	8.594
1.475	11.426
1.485	8.447
1.495	12.5
1.505	11.719
1.515	8.301
1.525	5.42
1.535	2.539
1.545	3.906
1.555	10.4
1.565	5.664
1.575	5.273
1.585	2.441
1.595	0.293
1.605	0.977
1.615	2.832
1.625	1.855
1.635	0.391
1.645	4.102
1.655	7.471
1.665	12.891
1.675	9.424
1.685	9.473
1.695	3.027
1.705	4.297
1.715	11.084
1.725	15.527
1.735	4.395
1.745	12.842
1.755	3.516
1.765	6.055
1.775	8.398
1.785	3.711
1.795	8.789
1.805	9.082
1.815	2.197
1.825	0.195
1.835	0.415
1.845	0.635
1.855	0.293
1.865	1.074
1.875	3.418
1.885	5.322
1.895	10.547
1.905	9.082
1.915	7.031
1.925	6.006
1.935	6.445
1.945	7.617
1.955	3.613
1.965	3.467
1.975	1.367
1.985	1.33467
1.995	1.30233
2.005	1.27
2.015	1.221
