depth	d18O
18	-35.3929
18.0345	-35.7573
18.0689	-35.7961
18.1034	-35.8762
18.1379	-35.7884
18.1723	-35.6893
18.2068	-35.6488
18.2413	-35.6473
18.2757	-35.7652
18.3102	-36.0491
18.3446	-36.2066
18.3791	-36.444
18.4136	-36.9378
18.448	-37.4504
18.4825	-37.8694
18.517	-38.3866
18.5514	-39.1838
18.5859	-39.5158
18.6204	-39.6063
18.6548	-39.8465
18.6893	-39.7721
18.7237	-39.3171
18.7582	-38.7112
18.7927	-38.1426
18.8271	-37.4158
18.8616	-37.1482
18.8961	-36.9342
18.9305	-36.8295
18.965	-36.7284
19	-35.7966
19.037	-36.0429
19.0741	-35.9503
19.1111	-35.6958
19.1481	-35.261
19.1852	-35.1157
19.2222	-34.9354
19.2593	-35.1339
19.2963	-35.4444
19.3333	-35.8547
19.3704	-36.1569
19.4074	-36.2431
19.4444	-36.3115
19.4815	-36.1399
19.5185	-35.8681
19.5556	-35.3096
19.5926	-34.9014
19.6296	-34.3164
19.6667	-33.5995
19.7037	-33.045
19.7407	-32.8334
19.7778	-32.6683
19.8148	-32.9298
19.8519	-33.2765
19.8889	-33.8214
19.9259	-34.435
19.963	-34.7143
20	-36.6154
20.0312	-36.8812
20.0625	-37.211
20.0938	-37.5898
20.125	-37.703
20.1562	-37.5619
20.1875	-37.789
20.2188	-37.6344
20.25	-37.3743
20.2812	-37.3212
20.3125	-36.988
20.3438	-36.8751
20.375	-36.6428
20.4062	-36.3402
20.4375	-36.1972
20.4688	-36.1234
20.5	-36.2069
20.5312	-35.9047
20.5625	-36.3599
20.5938	-36.882
20.625	-37.1624
20.6562	-37.3253
20.6875	-37.1322
20.7188	-37.4028
20.75	-37.231
20.7812	-36.9818
20.8125	-36.8673
20.8438	-36.6942
20.875	-36.5179
20.9062	-36.4016
20.9375	-36.4003
20.9688	-36.3724
21	-34.9329
21.0312	-34.8612
21.0625	-34.3122
21.0938	-34.1056
21.125	-33.7512
21.1562	-33.6098
21.1875	-33.6265
21.2188	-33.8105
21.25	-33.9111
21.2812	-33.598
21.3125	-34.5727
21.3438	-33.9929
21.375	-35.1391
21.4062	-35.4944
21.4375	-35.473
21.4688	-36.1615
21.5	-36.0678
21.5312	-35.9384
21.5625	-35.8045
21.5938	-35.212
21.625	-35.5981
21.6562	-35.3345
21.6875	-35.2871
21.7188	-35.1604
21.75	-34.8936
21.7812	-35.0309
21.8125	-34.8556
21.8438	-34.9261
21.875	-35.1182
21.9062	-35.4099
21.9375	-35.039
21.9688	-35.8938
22	-35.1647
22.0322	-35.5225
22.0644	-35.4978
22.0966	-35.6842
22.1288	-35.4922
22.161	-35.3097
22.1932	-35.0529
22.2254	-34.0512
22.2576	-34.4873
22.2898	-34.2374
22.322	-34.1414
22.3542	-34.229
22.3864	-34.3273
22.4186	-34.4973
22.4508	-34.6163
22.483	-34.3915
22.5152	-34.4523
22.5474	-33.8201
22.5796	-33.9753
22.6118	-33.9179
22.644	-33.9531
22.6762	-34.1264
22.7084	-34.2828
22.7406	-34.6085
22.7728	-34.9619
22.805	-35.0132
22.8372	-35.3062
22.8694	-35.4187
22.9016	-35.5071
22.9338	-35.7234
22.966	-35.5412
23	-38.6323
23.0323	-38.3258
23.0645	-38.0314
23.0968	-37.6327
23.129	-37.3492
23.1613	-37.073
23.1935	-36.7446
23.2258	-36.4152
23.2581	-35.7797
23.2903	-35.4096
23.3226	-34.4832
23.3548	-34.181
23.3871	-33.5489
23.4194	-33.0943
23.4516	-32.8385
23.4839	-32.5968
23.5161	-33.0328
23.5484	-33.2134
23.5806	-33.4805
23.6129	-33.5732
23.6452	-33.5116
23.6774	-32.6138
23.7097	-33.1115
23.7419	-33.0334
23.7742	-32.7953
23.8065	-32.8062
23.8387	-32.9564
23.871	-33.4277
23.9032	-33.9787
23.9355	-34.4486
23.9677	
24	
24.0312	-37.2211
24.0625	-37.3697
24.0938	-37.6109
24.125	
24.1562	-37.9228
24.1875	-38.0146
24.2188	-38.1883
24.25	-38.1307
24.2812	
24.3125	
24.3438	
24.375	-38.1916
24.4062	-38.0885
24.4375	-37.7904
24.4688	-37.5996
24.5	-37.3701
24.5312	-37.1597
24.5625	-37.1127
24.5938	-36.9748
24.625	-36.8857
24.6562	
24.6875	-37.003
24.7188	-37.1781
24.75	-37.8677
24.7812	-38.3976
24.8125	-38.8759
24.8438	-39.1776
24.875	-39.363
24.9062	-39.3791
24.9375	-39.3204
24.9688	-39.2387
25	
25.0312	
25.0625	
25.0938	-36.5469
25.125	-36.6003
25.1562	-36.8734
25.1875	
25.2188	-36.7225
25.25	-36.9075
25.2812	-36.9966
25.3125	-36.8879
25.3438	-36.946
25.375	-36.9931
25.4062	-36.7823
25.4375	-36.5563
25.4688	-36.7182
25.5	
25.5312	-36.6878
25.5625	
25.5938	
25.625	-36.3602
25.6562	-36.2777
25.6875	-36.0513
25.7188	-35.7123
25.75	-35.5055
25.7812	
25.8125	-35.4679
25.8438	-35.5508
25.875	-35.5532
25.9062	-35.6907
25.9375	
25.9688	
26	
26.0303	-33.1289
26.0606	
26.0909	-33.402
26.1212	-34.1317
26.1515	
26.1818	
26.2121	-35.0198
26.2424	-35.4157
26.2727	-35.3814
26.303	
26.3333	-35.5547
26.3636	-35.4182
26.3939	-35.4449
26.4242	-35.3144
26.4545	-35.3311
26.4848	-35.3154
26.5152	
26.5455	-35.0855
26.5758	-35.7359
26.6061	
26.6364	
26.6667	-36.2599
26.697	
26.7273	-36.8124
26.7576	
26.7879	-36.7853
26.8182	-36.9708
26.8485	-36.8151
26.8788	-36.5782
26.9091	
26.9394	-35.9684
26.9697	
27	-35.5372
27.0303	
27.0606	
27.0909	
27.1212	
27.1515	
27.1818	-35.0142
27.2121	-34.6758
27.2424	
27.2727	-34.1709
27.303	
27.3333	
27.3636	
27.3939	
27.4242	
27.4545	-33.7269
27.4848	-32.8879
27.5152	
27.5455	-33.9742
27.5758	
27.6061	
27.6364	
27.6667	-34.9333
27.697	-35.3367
27.7273	-35.3633
27.7576	-35.4279
27.7879	-35.2809
27.8182	-35.1463
27.8485	-34.8726
27.8788	-34.5404
27.9091	-33.9752
27.9394	-33.7573
27.9697	-33.412
28	-33.8975
28.0294	
28.0588	
28.0882	-34.5811
28.1176	-34.3865
28.1471	-33.919
28.1765	-34.5514
28.2059	
28.2353	-34.7678
28.2647	-34.2277
28.2941	
28.3235	-35.1317
28.3529	-35.2527
28.3824	-35.0175
28.4118	-34.8636
28.4412	
28.4706	
28.5	-34.478
28.5294	
28.5588	
28.5882	
28.6176	-33.9658
28.6471	-33.9357
28.6765	-33.8728
28.7059	
28.7353	-34.334
28.7647	-35.0121
28.7941	
28.8235	-35.7131
28.8529	
28.8824	
28.9118	
28.9412	
28.9706	
29	
29.0303	-38.0661
29.0606	
29.0909	
29.1212	-38.1985
29.1515	-37.9917
29.1818	-37.7701
29.2121	-37.3297
29.2424	-37.0275
29.2727	-36.9942
29.303	-36.7411
29.3333	-36.7685
29.3636	-36.9566
29.3939	-36.9593
29.4242	-37.2294
29.4545	-37.2091
29.4848	-37.0785
29.5152	-36.9879
29.5455	-36.8039
29.5758	-36.6703
29.6061	-36.474
29.6364	-35.807
29.6667	-35.815
29.697	-35.2935
29.7273	-35.0249
29.7576	
29.7879	-34.1314
29.8182	-34.2099
29.8485	-34.0327
29.8788	-34.0108
29.9091	
29.9394	-34.0093
29.9697	-34.1121
30	
30.0286	
30.0571	
30.0857	
30.1143	
30.1429	
30.1714	
30.2	
30.2286	
30.2571	
30.2857	
30.3143	
30.3429	-36.3228
30.3714	-35.6707
30.4	
30.4286	-35.615
30.4571	
30.4857	
30.5143	
30.5429	-34.7045
30.5714	-34.5944
30.6	
30.6286	-34.7257
30.6571	
30.6857	-34.9195
30.7143	
30.7429	-35.1002
30.7714	-35.3863
30.8	-35.1666
30.8286	-35.8514
30.8571	
30.8857	-36.2803
30.9143	-36.5243
30.9429	-37.0588
30.9714	
31	-34.1502
31.0286	-34.0915
31.0571	
31.0857	
31.1143	
31.1429	
31.1714	-35.5402
31.2	-35.9139
31.2286	
31.2571	
31.2857	
31.3143	-36.2554
31.3429	-36.2074
31.3714	
31.4	-36.1617
31.4286	-36.0359
31.4571	
31.4857	-36.1408
31.5143	-36.1949
31.5429	-35.816
31.5714	
31.6	
31.6286	
31.6571	
31.6857	
31.7143	
31.7429	-32.1721
31.7714	-31.9057
31.8	
31.8286	-31.4733
31.8571	-31.5557
31.8857	-31.6895
31.9143	
31.9429	-32.034
31.9714	
32	-36.9007
32.0303	
32.0606	-36.3805
32.0909	
