depth	cond
0.003	52.777
0.007	52.852
0.01	52.844
0.013	53.138
0.017	53.129
0.02	53.323
0.023	53.331
0.027	53.291
0.03	53.292
0.033	53.313
0.037	53.29
0.04	53.237
0.043	53.142
0.047	53.013
0.05	52.998
0.053	52.961
0.057	52.918
0.06	53.088
0.063	53.101
0.067	53.157
0.07	53.204
0.073	53.218
0.077	53.237
0.08	53.221
0.083	53.234
0.087	53.238
0.09	53.22
0.093	53.225
0.097	53.224
0.1	53.215
0.103	53.219
0.107	53.216
0.11	53.228
0.113	53.231
0.117	53.214
0.12	53.14
0.123	53.103
0.127	53.069
0.13	52.958
0.133	52.891
0.137	52.861
0.14	52.864
0.143	52.871
0.147	52.921
0.15	52.951
0.153	52.966
0.157	52.941
0.16	52.945
0.163	52.975
0.167	52.965
0.17	52.947
0.173	52.971
0.177	52.976
0.18	52.939
0.183	52.975
0.187	52.985
0.19	52.901
0.193	52.906
0.197	52.966
0.2	53.003
0.203	53.051
0.207	53.057
0.21	52.998
0.213	52.953
0.217	52.826
0.22	52.789
0.223	52.778
0.227	52.766
0.23	52.703
0.233	52.583
0.237	52.904
0.24	52.564
0.243	52.483
0.247	52.067
0.25	51.481
0.253	51.043
0.257	50.858
0.26	51.239
0.263	51.545
0.267	51.712
0.27	52.265
0.273	52.392
0.277	52.433
0.28	52.463
0.283	52.482
0.287	52.476
0.29	52.434
0.293	52.431
0.297	52.451
0.3	52.438
0.303	52.45
0.307	52.515
0.31	52.73
0.313	52.811
0.317	52.912
0.32	52.926
0.323	53.098
0.327	53.162
0.33	53.175
0.333	53.135
0.337	53.029
0.34	52.965
0.343	52.507
0.347	52.41
0.35	52.127
0.353	51.298
0.357	51.055
0.36	51.151
0.363	51.128
0.367	51.086
0.37	51.133
0.373	51.161
0.377	51.222
0.38	51.18
0.383	51.125
0.387	51.155
0.39	51.148
0.393	51.073
0.397	51.006
0.4	50.58
0.403	50.475
0.407	50.504
0.41	50.369
0.413	49.991
0.417	49.011
0.42	48.34
0.423	34.287
0.427	-6.935
0.43	-0.617
0.433	2.628
0.437	-2.51
0.44	-4.63
0.443	-3.785
0.447	-4.378
0.45	-3.773
0.453	-3.802
0.457	-3.418
0.46	-3.642
0.463	-4.759
0.467	-4.607
0.47	-3.402
0.473	-4.326
0.477	-3.998
0.48	-3.175
0.483	-3.022
0.487	-2.009
0.49	-3.594
0.493	-4.498
0.497	-4.15
0.5	-4.288
0.503	294.272
0.507	295.26
0.51	292.44
0.513	286.7
0.517	283.817
0.52	285.404
0.523	286.036
0.527	284.643
0.53	285.971
0.533	275.309
0.537	269.126
0.54	267.059
0.543	259.162
0.547	251.332
0.55	245.02
0.553	234.285
0.557	221.695
0.56	215.758
0.563	212.053
0.567	210.094
0.57	210.089
0.573	208.266
0.577	204.083
0.58	200.154
0.583	195.772
0.587	189.834
0.59	184.039
0.593	177.006
0.597	168.773
0.6	163.941
0.603	162.494
0.607	160.654
0.61	157.56
0.613	154.143
0.617	151.677
0.62	145.504
0.623	142.32
0.627	140.399
0.63	138.016
0.633	148.593
0.637	162.326
0.64	172.413
0.643	179.245
0.647	187.193
0.65	192.619
0.653	198.343
0.657	203.487
0.66	211.666
0.663	210.451
0.667	208.032
0.67	203.15
0.673	201.222
0.677	199.167
0.68	198.437
0.683	197.765
0.687	196.85
0.69	196.195
0.693	195.68
0.697	197.311
0.7	193.159
0.703	185.09
0.707	175.828
0.71	173.985
0.713	166.804
0.717	158.807
0.72	141.602
0.723	139.361
0.727	132.863
0.73	124.691
0.733	121.062
0.737	118.011
0.74	116.548
0.743	117.375
0.747	117.911
0.75	118.421
0.753	119.048
0.757	121.055
0.76	123.069
0.763	122.227
0.767	122.56
0.77	122.516
0.773	121.215
0.777	121.254
0.78	122.111
0.783	122.042
0.787	122.952
0.79	123.328
0.793	124.55
0.797	127.47
0.8	128.845
0.803	132.177
0.807	135.198
0.81	137.396
0.813	139.451
0.817	143.39
0.82	146.633
0.823	148.537
0.827	149.255
0.83	150.062
0.833	151.547
0.837	152.751
0.84	153.201
0.843	152.952
0.847	152.268
0.85	151.639
0.853	149.469
0.857	146.784
0.86	141.061
0.863	138.764
0.867	136.925
0.87	132.244
0.873	123.286
0.877	117.181
0.88	107.836
0.883	103.6
0.887	98.499
0.89	97.03
0.893	95.328
0.897	94.136
0.9	93.86
0.903	93.65
0.907	93.57
0.91	94.155
0.913	95.45
0.917	97.431
0.92	101.196
0.923	106.772
0.927	110.868
0.93	117.227
0.933	122.997
0.937	128.808
0.94	140.328
0.943	142.636
0.947	143.474
0.95	142.57
0.953	141.036
0.957	139.733
0.96	136.539
0.963	128.463
0.967	122.739
0.97	120.424
0.973	114.926
0.977	113.999
0.98	112.027
0.983	113.723
0.987	119.821
0.99	125.122
0.993	132.182
0.997	141.926
1.0	
1.0	
1.0	
1.0	
1.0	
1.0	
1.0	
1.0	
1.0	
1.0	
1.0	157.907
1.0	
1.0	
1.0	
1.0	
1.0	
1.003	0.952
1.007	0.939
1.01	0.847
1.013	0.897
1.017	0.802
1.02	0.976
1.023	0.829
1.027	0.92
1.03	0.862
1.033	0.876
1.037	0.843
1.04	0.866
1.043	0.557
1.047	0.319
1.05	0.5
1.053	0.471
1.057	0.12
1.06	1.96
1.063	2.038
1.067	2.273
1.07	3.061
1.073	3.724
1.077	4.107
1.08	5.379
1.083	6.487
1.087	6.843
1.09	7.206
1.093	7.748
1.097	8.329
1.1	8.449
1.103	9.664
1.107	14.143
1.11	20.458
1.113	27.79
1.117	35.558
1.12	44.895
1.123	50.02
1.127	54.018
1.13	56.476
1.133	57.336
1.137	57.96
1.14	58.07
1.143	57.779
1.147	58.16
1.15	59.001
1.153	60.243
1.157	61.406
1.16	62.062
1.163	62.726
1.167	62.984
1.17	62.888
1.173	62.938
1.177	63.132
1.18	63.477
1.183	63.861
1.187	64.176
1.19	64.706
1.193	65.334
1.197	64.508
1.2	64.12
1.203	65.536
1.207	67.512
1.21	72.015
1.213	78.849
1.217	79.691
1.22	79.251
1.223	78.175
1.227	75.925
1.23	70.344
1.233	64.478
1.237	61.962
1.24	62.993
1.243	65.164
1.247	68.125
1.25	70.983
1.253	76.076
1.257	80.504
1.26	90.817
1.263	96.385
1.267	99.918
1.27	104.625
1.273	122.296
1.277	125.631
1.28	132.416
1.283	143.873
1.287	149.255
1.29	162.961
1.293	171.139
1.297	212.847
1.3	271.913
1.303	394.988
1.307	413.191
1.31	468.045
1.313	482.856
1.317	487.481
1.32	499.578
1.323	507.222
1.327	348.473
1.33	290.595
1.333	266.863
1.337	266.089
1.34	268.704
1.343	266.919
1.347	264.277
1.35	261.855
1.353	259.269
1.357	253.996
1.36	246.394
1.363	240.396
1.367	235.098
1.37	226.254
1.373	220.451
1.377	214.259
1.38	203.857
1.383	198.094
1.387	191.419
1.39	179.059
1.393	165.868
1.397	155.969
1.4	144.246
1.403	135.552
1.407	129.306
1.41	128.934
1.413	134.293
1.417	145.623
1.42	173.147
1.423	201.641
1.427	221.94
1.43	238.703
1.433	249.575
1.437	256.314
1.44	264.802
1.443	273.103
1.447	271.11
1.45	266.493
1.453	258.486
1.457	251.81
1.46	243.129
1.463	241.09
1.467	238.002
1.47	236.443
1.473	236.653
1.477	236.39
1.48	236.169
1.483	235.207
1.487	232.726
1.49	228.565
1.493	221.949
1.497	216.641
1.5	208.171
1.503	76.53
1.507	76.345
1.51	77.872
1.513	78.649
1.517	79.25
1.52	75.605
1.523	70.307
1.527	68.405
1.53	68.398
1.533	68.86
1.537	69.204
1.54	76.567
1.543	78.754
1.547	77.033
1.55	70.113
1.553	70.231
1.557	73.375
1.56	79.055
1.563	79.975
1.567	78.797
1.57	78.173
1.573	77.958
1.577	78.224
