iceDepth	density	weDepth	d18O
0.47	325.5813953488372	0.14	-30.5
0.9	333.3333333333332	0.28	-32.7
1.32	341.4634146341466	0.42	-33.2
1.73	349.9999999999998	0.56	-35.0
2.13	375.0000000000002	0.7	-33.7
2.53	358.9743589743589	0.85	-35.2
2.92	368.4210526315788	0.99	-32.4
3.3	368.4210526315789	1.13	-33.9
3.68	368.4210526315792	1.27	-36.4
4.06	388.8888888888889	1.41	-34.3
4.42	378.378378378378	1.55	-32.5
4.79	400.0000000000007	1.69	-34.6
5.14	388.8888888888883	1.83	-34.5
5.5	400.0000000000001	1.97	-33.6
5.85	441.1764705882341	2.11	-31.4
6.19	411.7647058823535	2.26	-35.9
6.53	411.7647058823535	2.4	-36.2
6.87	424.2424242424245	2.54	-34.3
7.2	424.2424242424232	2.68	-36.7
7.53	424.2424242424245	2.82	-32.1
7.86	437.5000000000012	2.96	-34.2
8.18	437.5	3.1	-34.2
8.5	437.4999999999986	3.24	-33.4
8.82	451.6129032258061	3.38	-33.6
9.13	451.6129032258087	3.52	-34.0
9.44	483.8709677419345	3.66	-36.7
9.75	451.6129032258061	3.81	-35.5
10.06	466.6666666666673	3.95	-32.7
10.36	466.6666666666674	4.09	-31.3
10.66	466.6666666666645	4.23	-33.3
10.96	466.6666666666673	4.37	-33.9
11.26	482.7586206896556	4.51	-34.0
11.55	466.6666666666673	4.65	-35.2
11.85	482.7586206896525	4.79	-36.1
12.14	500.0000000000032	4.93	-35.1
12.42	517.2413793103414	5.07	-33.7
12.71	500.0000000000032	5.22	-35.3
12.99	482.7586206896555	5.36	-33.6
13.28	499.9999999999968	5.5	-34.6
13.56	500.0000000000032	5.64	-33.7
13.84	518.5185185185181	5.78	-29.8
14.11	499.9999999999968	5.92	-34.7
14.39	518.5185185185214	6.06	-34.9
14.66	518.5185185185181	6.2	-34.8
14.93	500.0	6.34	-35.5
15.21	538.4615384615377	6.48	-36.1
15.47	555.5555555555545	6.62	-36.1
15.74	518.518518518518	6.77	-32.2
16.01	538.4615384615413	6.91	-31.1
16.27	518.5185185185214	7.05	-32.6
16.54	538.461538461534	7.19	-35.0
16.8	538.4615384615413	7.33	-36.9
17.06	538.4615384615374	7.47	-36.7
17.32	538.4615384615413	7.61	-37.0
17.58	559.9999999999987	7.75	-35.0
17.83	538.461538461534	7.89	-33.7
18.09	600.0000000000014	8.03	-35.4
18.34	538.4615384615374	8.18	-33.0
18.6	560.0000000000023	8.32	-31.1
18.85	559.9999999999952	8.46	-32.2
19.1	560.0000000000023	8.6	-33.2
19.35	560.0000000000023	8.74	-34.5
19.6	559.9999999999952	8.88	-33.1
19.85	583.3333333333395	9.02	-33.4
20.09	560.0000000000023	9.16	-34.5
20.34	583.3333333333321	9.3	-34.2
20.58	560.0000000000023	9.44	-33.3
20.83	624.9999999999964	9.58	-35.3
21.07	583.3333333333321	9.73	-34.7
21.31	583.3333333333309	9.87	-34.3
21.55	583.3333333333395	10.01	-34.0
21.79	583.3333333333235	10.15	-36.0
22.03	583.3333333333395	10.29	-39.1
22.27	583.3333333333309	10.43	-38.3
22.51	583.3333333333395	10.57	-35.4
22.75	608.6956521739066	10.71	-35.4
22.98	583.3333333333395	10.85	-36.1
23.22	652.1739130434786	10.99	-34.3
23.45	608.6956521739066	11.14	-32.4
23.68	583.3333333333309	11.28	-35.3
23.92	608.6956521739237	11.42	-36.2
24.15	624.9999999999964	11.56	-34.6
24.39	583.3333333333321	11.71	-32.0
24.63	624.9999999999964	11.85	-32.3
24.87	625.0000000000056	12.0	-33.2
25.11	583.3333333333235	12.15	-33.8
25.35	652.1739130434887	12.29	-35.1
25.58	624.9999999999964	12.44	-32.7
25.82	608.6956521739144	12.59	-33.3
26.05	625.0000000000056	12.73	-35.1
26.29	652.1739130434709	12.88	-32.8
26.52	624.9999999999964	13.03	-34.2
26.76	608.6956521739237	13.18	-34.8
26.99	652.1739130434786	13.32	-32.7
27.22	652.1739130434709	13.47	-32.0
27.45	608.6956521739144	13.62	-34.0
27.68	652.1739130434786	13.76	-34.5
27.91	652.1739130434786	13.91	-33.3
28.14	608.6956521739066	14.06	-33.3
28.37	652.1739130434786	14.2	-32.1
28.6	652.1739130434887	14.35	-32.7
28.83	652.1739130434786	14.5	-32.8
29.06	636.3636363636239	14.65	-33.1
29.28	652.1739130434786	14.79	-34.3
29.51	681.818181818187	14.94	-33.9
29.73	608.6956521739144	15.09	-32.3
29.96	681.818181818187	15.23	-34.0
30.18	652.1739130434709	15.38	-36.3
30.41	636.3636363636423	15.53	-35.7
30.63	681.818181818176	15.67	-36.1
30.85	681.818181818187	15.82	-35.5
31.07	652.1739130434786	15.97	-35.7
31.3	636.3636363636423	16.12	-36.3
31.52	681.8181818181789	16.26	-35.1
31.74	681.8181818181679	16.41	-32.8
31.96	636.3636363636423	16.56	-33.4
32.18	681.818181818195	16.7	-33.2
32.4	714.2857142857047	16.85	-34.4
32.61	681.8181818181789	17.0	-32.6
32.83	636.3636363636423	17.15	-32.6
33.05	681.818181818173	17.29	-34.6
33.27	714.2857142857288	17.44	-35.9
33.48	636.3636363636217	17.59	-35.9
33.7	714.2857142857288	17.73	-34.6
33.91	681.818181818173	17.88	-34.0
34.13	636.3636363636423	18.03	-33.7
34.35	714.2857142857047	18.17	-32.9
34.56	714.2857142857047	18.32	-33.8
34.77	681.818181818195	18.47	-34.9
34.99	666.6666666666666	18.62	-35.7
35.2	714.2857142857288	18.76	-34.8
35.41	714.2857142857047	18.91	-34.8
35.62	636.3636363636217	19.06	-37.1
35.84	714.2857142857457	19.2	-37.5
36.05	714.2857142857047	19.35	-35.7
36.26	666.6666666666666	19.5	-33.3
36.47	714.2857142857047	19.64	-34.2
36.68	714.2857142857215	19.79	-32.6
36.89	714.2857142857047	19.94	-33.7
37.1	666.6666666666666	20.09	-34.7
37.31	714.2857142857047	20.23	-34.3
37.52	714.2857142857457	20.38	-35.1
37.73	699.9999999999928	20.53	-36.0
37.93	714.2857142857047	20.67	-35.7
38.14	714.2857142857047	20.82	-35.8
38.35	666.6666666666666	20.97	-36.5
38.56	750.0000000000266	21.11	-35.2
38.76	714.2857142857047	21.26	-37.0
38.97	749.9999999999823	21.41	-36.3
39.17	666.6666666666666	21.56	-35.7
39.38	750.0000000000266	21.7	-34.7
39.58	714.2857142857047	21.85	-35.7
39.79	699.9999999999928	22.0	-35.4
39.99	714.2857142857047	22.14	-33.3
40.2	750.0000000000266	22.29	-33.6
40.4	714.2857142857047	22.44	-34.9
40.61	699.9999999999928	22.59	-33.1
40.81	750.0000000000089	22.73	-32.7
41.01	750.0	22.88	-34.1
41.21	666.6666666666666	23.03	-34.1
41.42	750.0000000000089	23.17	-35.2
41.62	749.9999999999823	23.32	-36.5
41.82	699.9999999999928	23.47	-36.0
42.02	750.0000000000266	23.61	-35.7
42.22	749.9999999999823	23.76	-37.1
