depth	rho_measured	rho__model_hld	rho_model_hls	rho_model_bar	rho_model_gou
0	343.47	350	350	350	350
1.1	344.99	366.02	366.02	366.02	350
1.65	365.87	374.13	374.13	374.13	372.58
2.2	379.15	382.28	382.28	382.28	423.46
2.75	398.13	390.5	390.5	390.5	462.11
3.3	382.95	398.76	398.76	398.76	492.25
3.85	409.51	407.07	407.07	407.07	514.42
4.4	413.31	415.42	415.42	415.42	530.02
4.95	415.21	423.8	423.8	423.8	540.29
5.5	436.08	432.2	432.2	432.2	546.47
6.05	455.06	440.63	440.63	440.63	551.53
6.6	470.24	449.07	449.07	449.07	554.8
7.15	468.34	457.52	457.52	457.52	557.57
7.7	475.93	465.98	465.98	465.98	560.18
8.25	496.8	474.43	474.43	474.43	562.71
8.8	506.29	482.87	482.87	482.87	565.2
9.35	500.6	491.3	491.3	491.3	567.66
9.9	508.19	499.71	499.71	499.71	570.12
10.45	498.7	508.1	508.1	508.1	572.58
11	513.88	516.45	516.45	516.45	575.04
11.55	504.39	524.77	524.77	524.77	577.51
12.1	534.76	533.04	533.04	533.04	579.98
12.65	542.35	541.27	541.27	541.27	582.46
13.2	546.14	549.44	549.44	549.44	584.95
13.75	548.04	553.86	552.32	554.02	587.45
14.3	553.73	557.17	556.52	557.55	589.95
14.85	563.22	560.48	559.76	561.08	592.46
15.4	561.32	563.77	563.03	564.59	594.99
15.95	565.12	567.05	566.3	568.08	597.51
16.5	568.91	570.32	569.56	571.53	600.05
17.05	570.81	573.58	572.81	574.95	602.59
17.6	577.39	576.82	576.05	578.34	605.14
18.16	573.65	580.12	579.34	581.75	607.75
18.7	582.2	583.28	582.49	584.99	610.26
19.25	576.51	586.48	585.7	588.27	612.83
19.8	584.1	589.68	588.89	591.5	615.4
20.35	589.79	592.86	592.06	594.7	617.98
20.9	606.87	596.02	595.23	597.85	620.57
21.45	599.28	599.18	598.38	600.98	623.16
22	606.87	602.31	601.51	604.07	625.75
22.55	606.87	605.43	604.63	607.12	628.35
23.1	608.77	608.54	607.74	610.15	630.95
23.65	614.24	611.63	610.83	613.14	633.55
24.19	605.35	614.66	613.84	616.05	636.11
24.75	616.36	617.77	616.96	619.03	638.77
25.3	620.15	620.82	620	621.94	641.38
25.85	631.54	623.85	623.03	624.82	644
26.4	620.15	626.86	626.04	627.67	646.61
26.95	633.43	629.85	629.03	630.49	649.23
27.5	629.64	632.83	632.01	633.3	651.86
28.05	641.03	635.79	634.97	636.08	654.48
28.6	637.23	638.74	637.92	638.84	657.1
29.15	639.13	641.67	640.84	641.57	659.73
29.7	641.03	644.58	643.75	644.29	662.35
30.25	644.82	647.47	646.65	646.99	664.98
30.8	644.82	650.34	649.52	649.66	667.61
31.35	650.51	653.2	652.37	652.32	670.23
31.9	665.69	656.04	655.21	654.97	672.86
32.45	647.48	658.85	658.03	657.59	675.49
33	665.69	661.66	660.83	660.2	678.11
33.55	660	664.44	663.61	662.8	680.74
34.1	667.59	667.2	666.38	665.37	683.37
34.65	660	669.94	669.12	667.94	685.99
35.2	663.8	672.67	671.85	670.49	688.61
35.75	669.49	675.38	674.55	673.03	691.23
36.3	677.08	678.06	677.24	675.55	693.85
36.85	677.08	680.73	679.91	678.07	696.47
37.4	678.98	683.38	682.56	680.57	699.09
37.95	682.77	686.01	685.19	683.06	701.7
38.5	682.77	688.62	687.8	685.54	704.32
39.05	684.67	691.2	690.39	688.01	706.93
39.6	684.67	693.77	692.96	690.46	709.53
40.15	680.88	696.32	695.51	692.91	712.14
40.7	688.47	698.85	698.04	695.35	714.74
41.25	688.47	701.36	700.55	697.78	717.34
41.8	692.26	703.85	703.04	700.21	719.94
42.35	692.26	706.32	705.52	702.62	722.53
42.9	697.95	708.77	707.97	705.03	725.12
43.45	709.34	711.2	710.4	707.42	727.7
44	699.85	713.61	712.81	709.82	730.28
44.55	718.83	716	715.2	712.2	732.86
45.1	711.24	718.37	717.57	714.58	735.44
45.65	699.85	720.71	719.92	716.95	738.01
46.2	722.62	723.04	722.25	719.31	740.57
46.75	728.32	725.35	724.56	721.67	743.13
47.3	726.42	727.64	726.85	724.02	745.69
47.85	720.73	729.91	729.12	726.37	748.24
48.4	739.7	732.15	731.37	728.71	750.79
48.95	728.32	734.38	733.6	731.05	753.33
49.5	735.91	736.59	735.81	733.38	755.86
50.05	732.11	738.77	738	735.71	758.4
50.6	743.5	740.94	740.17	738.03	760.92
51.15	739.7	743.09	742.32	740.35	763.44
51.7	737.81	745.21	744.45	742.66	765.96
52.25	739.7	747.32	746.56	744.97	768.47
52.8	751.09	749.4	748.65	747.28	770.97
53.35	751.09	751.47	750.72	749.58	773.47
53.9	747.29	753.52	752.77	751.88	775.96
54.45	752.99	755.54	754.8	754.17	778.44
55	754.88	757.55	756.81	756.46	780.92
55.55	758.68	759.54	758.8	758.75	783.39
56.1	760.58	761.51	760.77	761.04	785.86
56.65	758.68	763.45	762.72	763.32	788.32
57.2	760.58	765.38	764.66	765.6	790.77
57.75	766.27	767.29	766.57	767.88	793.21
58.3	770.07	769.18	768.46	770.15	795.65
58.85	770.07	771.05	770.34	772.42	798.08
59.4	773.86	772.9	772.19	774.69	800.51
59.95	773.86	774.73	774.03	776.96	802.92
60.5	785.25	776.55	775.84	779.22	805.33
61.05	777.66	778.34	777.64	781.48	807.73
61.6	782.39	780.12	779.42	783.74	810.13
62.14	788	781.84	781.15	785.96	812.47
62.7	773.86	783.61	782.92	788.25	814.89
63.25	789.04	785.33	784.65	790.5	817.26
63.8	785.25	787.03	786.35	792.75	819.62
64.35	796.63	788.71	788.04	795	821.98
64.9	775.76	790.38	789.71	797.25	824.33
65.45	779.55	792.02	791.36	799.49	826.66
66	783.35	793.65	792.99	801.73	828.9
66.55	794.73	795.26	794.6	803.97	830.55
67.1	793.22	796.85	796.2	806.21	832.17
67.65	792.84	798.43	797.78	808.45	833.78
68.2	800.81	799.98	799.34	810.68	835.36
68.75	808.02	801.52	800.88	812.91	836.92
69.3	804.22	803.04	802.41	815.14	838.45
69.85	802.33	804.55	803.92	817.26	839.97
70.4	798.53	806.04	805.41	819.33	841.46
70.95	806.12	807.51	806.89	821.39	842.92
71.5	815.61	808.96	808.34	823.44	844.37
72.05	815.61	810.4	809.78	825.48	845.78
72.6	817.89	811.82	811.21	827.5	847.18
73.15	821.3	813.22	812.62	829.5	848.55
73.7	819.78	814.61	814.01	831.49	849.9
74.25	817.51	815.98	815.39	833.46	851.22
74.8	819.4	817.34	816.75	835.4	852.52
75.35	830.79	818.67	818.09	837.33	853.79
75.9	831.17	820	819.42	839.24	855.04
76.45	830.79	821.31	820.73	841.13	856.27
77	834.96	822.6	822.03	842.99	857.48
77.55	838.38	823.87	823.31	844.83	858.66
78.1	821.3	825.14	824.57	846.65	859.82
78.65	836.48	826.38	825.82	848.45	860.95
79.2	838.38	827.61	827.06	850.21	862.06
79.75	838.76	828.83	828.28	851.96	863.15
80.3	838.38	830.03	829.48	853.67	864.22
80.85	834.59	831.22	830.68	855.36	865.27
81.4	845.97	832.39	831.85	857.03	866.29
81.95	844.45	833.55	833.01	858.66	867.29
82.5	844.07	834.69	834.16	860.27	868.27
83.05	846.35	835.82	835.3	861.85	869.23
83.6	849.77	836.93	836.42	863.41	870.17
84.15	852.04	838.04	837.52	864.93	871.09
84.7	853.56	839.12	838.61	866.43	871.99
85.25	852.04	840.2	839.69	867.9	872.87
85.8	849.77	841.26	840.76	869.34	873.73
86.35	852.04	842.31	841.81	870.75	874.57
86.9	853.56	843.34	842.85	872.13	875.39
87.45	852.04	844.36	843.87	873.48	876.19
88	849.77	845.37	844.88	874.81	876.98
88.55	855.46	846.36	845.88	876.11	877.74
89.1	857.36	847.35	846.87	877.38	878.49
89.65	857.74	848.32	847.84	878.62	879.23
90.2	858.16	849.27	848.81	879.83	879.94
90.74	857.33	850.2	849.74	881	880.63
91.3	859.63	851.15	850.69	882.18	881.32
91.85	859.25	852.07	851.62	883.31	881.99
92.4	861.15	852.98	852.53	884.41	882.64
92.95	861.15	853.88	853.43	885.49	883.28
93.5	861.53	854.77	854.32	886.54	883.9
94.05	861.53	855.64	855.2	887.56	884.51
94.6	863.43	856.5	856.07	888.56	885.1
95.15	863.05	857.35	856.92	889.53	885.68
95.7	863.43	858.19	857.77	890.47	886.24
96.25	863.05	859.02	858.6	891.39	886.79
96.8	865.33	859.84	859.42	892.29	887.33
97.35	867.22	860.65	860.24	893.16	887.86
97.9	869.12	861.45	861.04	894.01	888.37
98.45	872.54	862.23	861.83	894.83	888.87
99	871.02	863.01	862.61	895.64	889.36
99.55	870.64	863.77	863.38	896.41	889.84
100.1	872.92	864.53	864.14	897.17	890.31
100.65	874.82	865.27	864.89	897.9	890.76
101.2	876.71	866.01	865.62	898.61	891.21
101.75	878.99	866.74	866.35	899.31	891.64
102.3	878.61	867.45	867.07	899.98	892.07
102.85	878.61	868.16	867.78	900.62	892.48
103.4	878.61	868.85	868.48	901.25	892.88
103.95	878.23	869.54	869.18	901.86	893.28
104.5	878.61	870.22	869.86	902.46	893.67
105.05	880.13	870.89	870.53	903.03	894.04
105.6	880.51	871.55	871.19	903.58	894.41
106.15	880.51	872.2	871.85	904.12	894.77
106.7	882.41	872.84	872.49	904.63	895.12
107.25	882.03	873.47	873.13	905.14	895.47
107.8	882.41	874.1	873.76	905.62	895.8
108.35	884.3	874.72	874.38	906.09	896.13
108.9	886.2	875.32	874.99	906.54	896.45
109.45	888.1	875.92	875.59	906.98	896.77
110	890	876.51	876.19	907.4	897.07
110.55	860.23	877.1	876.77	907.8	897.37
111.12	892.07	877.69	877.37	908.21	897.67
111.65	891.73	878.24	877.92	908.58	897.95
112.22	892.07	878.82	878.5	908.95	898.24
112.75	891.89	879.35	879.04	909.29	898.5
113.3	893.79	879.89	879.59	909.63	898.77
113.85	894.04	880.43	880.13	909.96	899.03
114.38	893.56	880.94	880.64	910.26	899.28
114.95	892.95	881.48	881.18	910.57	899.54
115.49	894.6	881.99	881.69	910.86	899.78
116.05	893.79	882.5	882.21	911.14	900.03
116.6	893.41	883	882.71	911.41	900.26
117.15	894.6	883.5	883.21	911.67	900.49
117.71	894.88	883.99	883.71	911.92	900.72
118.25	895.39	884.46	884.18	912.16	900.94
