depth	d18O
1.16	-31.1
1.242	-33.96
1.324	-35.68
1.405	-39.11
1.485	-34.2
1.566	-31.21
1.646	-31.9
1.726	-36.16
1.807	-33.89
1.887	-30.61
1.968	-29.39
2.047	-33.76
2.126	-37.17
2.205	-35.9
2.284	-41.61
2.363	-43.15
2.442	-36.85
2.521	-34.76
2.6	-31.88
2.677	-34.76
2.755	-37.14
2.832	-35.45
2.91	-33.66
2.988	-30.19
3.065	-26.34
3.143	-28.22
3.22	-30.69
3.296	-29.91
3.373	-33
3.449	-38.71
3.525	-39.7
3.601	-35.35
3.677	-30.59
3.754	-26.99
3.83	-27.36
3.905	-31.01
3.98	-34.14
4.054	-37.22
4.129	-37.16
4.204	-37
4.279	-36.98
4.354	-35.09
4.429	-32.11
4.502	-32.76
4.576	-35.41
4.65	-36.62
4.723	-36.75
4.797	-35.85
4.87	-33.33
4.944	-29.26
5.017	-28.45
5.09	-31.58
5.162	-34.29
5.235	-35.74
5.307	-35.85
5.379	-34.65
5.452	-33.54
5.524	-31.27
5.596	-29.65
5.667	-28.97
5.739	-29.67
5.81	-32.53
5.881	-34.81
5.952	-34.97
6.023	-33.74
6.094	-32.13
6.165	-31.29
6.235	-29.43
6.305	-29.17
6.375	-31.87
6.445	-34.67
6.515	-36.29
6.585	-35.98
6.655	-35.69
6.725	-34.49
6.794	-31.88
6.863	-30.07
6.932	-30.39
7.001	-31.61
7.069	-32.89
7.138	-33.87
7.207	-35.94
7.276	-37.57
7.344	-37.47
7.412	-34.91
7.479	-31.22
7.547	-29.89
7.615	-30.68
7.683	-32.89
7.75	-35.4
7.818	-36.41
7.885	-34.95
7.952	-31.5
8.018	-29.58
8.085	-31.27
8.152	-34.69
8.218	-37.65
8.285	-38.63
8.352	-37.6
8.418	-35.71
8.483	-32.82
8.549	-30.89
8.615	-29.86
8.68	-30.64
8.746	-32.59
8.812	-33.77
8.877	-34.06
8.942	-34.56
9.007	-35.13
9.072	-35.27
9.136	-34
9.201	-30.08
9.266	-28.92
9.33	-31.46
9.395	-33.97
9.459	-34.43
9.523	-34.61
9.586	-34.29
9.65	-32.12
9.714	-29.83
9.778	-29.91
9.841	-33.08
9.905	-35.9
9.968	-37.09
10.031	-37.78
10.094	-36.72
10.157	-32.81
10.219	-28.88
10.282	-26.65
10.345	-27.23
10.408	-29.48
10.47	-32.44
10.532	-33.01
10.594	-32.4
10.656	-31.19
10.718	-30.52
10.78	-31.13
10.842	-32.97
10.904	-36.07
10.965	-37.43
11.026	-36.03
11.087	-33.31
11.148	-32.08
11.209	-31.79
11.27	-31.84
11.331	-33.24
11.392	-34.55
11.452	-34.9
11.513	-33.69
11.573	-31.57
11.633	-31.91
11.693	-33.93
11.754	-35.48
11.814	-35.78
11.874	-34.56
11.934	-32.5
11.994	-30.66
12.053	-30.78
12.113	-31.76
12.173	-31.9
12.232	-32.19
12.292	-33.29
12.352	-33.42
12.411	-32.45
12.47	-31.18
12.53	-29.72
12.589	-29.8
12.648	-30.34
12.708	-32.04
12.767	-34
12.826	-34.96
12.886	-33.75
12.945	-32.28
13.004	-31.07
13.063	-30.12
13.122	-30.67
13.181	-31.72
13.24	-33.44
13.299	-34.84
13.358	-35.13
13.417	-33.48
13.476	-31.33
13.535	-30.9
13.594	-32.22
13.652	-34.67
13.711	-35.45
13.77	-35.11
13.829	-33.8
13.887	-32.42
13.946	-31.12
14.005	-30.1
