	B16	B17	B18	B19	B20	B21	B22	B23	B26	B27	B28	B29	B30
Katmai	11.6	9.31	8.48	7.38	7.86	8.62	11.56	9.49	14.27	13.69	14.44	11.41	13.12
Tambora	24.49	20.27	18.91	16.77	17.27	19.46	26.17	21.54	31.5	31.13	31.91	25.97	29.91
Laki	29.36	24.19	22.45	19.94	20.32	23.1	31.25	25.93	37.77	37.19	38.0	31.28	35.8
Tarumai	35.52	–	26.9	24.1	24.62	–	–	–	–	–		–	43.07
Hekla	–	34.47	31.84	28.54	29.16	32.87	44.06	–	–	–		44.22	50.45
Unknown	46.22	–	34.75	31.2	32.1	35.93	48.13	–	–	–		48.5	–
Komagatake	49.9	–	37.48	33.69	34.8	–	–	–	–	–		52.36	–
Huaynaputina		44.97	41.62	–	38.7	42.95	–	48.31	69.22	68.39		58.25	65.94
Mt. St. Helens		58.84	54.42	–	51.31	56.04	75.09	–		89.42		76.81	86.6
Samalas			76.6	68.03	72.86			89.35		126.1			122.1
Katla			–	–	80.04			98.6					
Eldgja			109.2	99.2									
