Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180720_072323	1001	1	550.025	-17.2887	-32.4015	-250.8903
HKDS2004_Fast_IsoWater_20180720_072323	1001	2	550.050	-17.5105	-32.8231	-254.4972
HKDS2004_Fast_IsoWater_20180720_072323	1001	3	550.075	-17.7012	-33.2580	-258.5444
HKDS2004_Fast_IsoWater_20180720_072323	1001	4	550.100	-17.9265	-33.6219	-261.4618
HKDS2004_Fast_IsoWater_20180720_072323	1001	5	550.125	-18.0129	-33.8572	-263.4991
HKDS2004_Fast_IsoWater_20180720_072323	1001	6	550.150	-18.1187	-34.0757	-265.2249
HKDS2004_Fast_IsoWater_20180720_072323	1001	7	550.175	-18.2605	-34.3571	-266.1658
HKDS2004_Fast_IsoWater_20180720_072323	1001	8	550.200	-18.3783	-34.4777	-266.6523
HKDS2004_Fast_IsoWater_20180720_072323	1001	9	550.225	-18.4594	-34.6305	-268.0275
HKDS2004_Fast_IsoWater_20180720_072323	1001	10	550.250	-18.6162	-34.9596	-269.4820
HKDS2004_Fast_IsoWater_20180720_072323	1001	11	550.275	-18.8035	-35.4144	-273.2316
HKDS2004_Fast_IsoWater_20180720_072323	1001	12	550.300	-18.9926	-35.6978	-276.8041
HKDS2004_Fast_IsoWater_20180720_072323	1001	13	550.325	-18.9993	-35.8006	-278.3307
HKDS2004_Fast_IsoWater_20180720_072323	1001	14	550.350	-19.1387	-35.9015	-277.9445
HKDS2004_Fast_IsoWater_20180720_072323	1001	15	550.375	-18.9910	-35.7294	-276.6323
HKDS2004_Fast_IsoWater_20180720_072323	1001	16	550.400	-18.8915	-35.5634	-275.3494
HKDS2004_Fast_IsoWater_20180720_072323	1001	17	550.425	-18.7498	-35.2355	-272.9284
HKDS2004_Fast_IsoWater_20180720_072323	1001	18	550.450	-18.5916	-34.9419	-270.3639
HKDS2004_Fast_IsoWater_20180720_072323	1001	19	550.475	-18.4403	-34.6582	-268.7023
HKDS2004_Fast_IsoWater_20180720_072323	1001	20	550.500	-18.4409	-34.6257	-268.3106
HKDS2004_Fast_IsoWater_20180720_072323	1001	21	550.525	-18.4740	-34.6769	-268.3927
HKDS2004_Fast_IsoWater_20180720_072323	1001	22	550.550	-18.5286	-34.8413	-270.2503
HKDS2004_Fast_IsoWater_20180720_072323	1002	1	550.575	-18.7806	-35.2259	-273.3086
HKDS2004_Fast_IsoWater_20180720_072323	1002	2	550.600	-18.8080	-35.4112	-275.1703
HKDS2004_Fast_IsoWater_20180720_072323	1002	3	550.625	-18.9389	-35.5601	-276.6870
HKDS2004_Fast_IsoWater_20180720_072323	1002	4	550.650	-18.9881	-35.7426	-278.2964
HKDS2004_Fast_IsoWater_20180720_072323	1002	5	550.675	-19.0908	-35.8380	-279.4084
HKDS2004_Fast_IsoWater_20180720_072323	1002	6	550.700	-19.0765	-35.8261	-279.1656
HKDS2004_Fast_IsoWater_20180720_072323	1002	7	550.725	-18.9548	-35.6307	-277.4106
HKDS2004_Fast_IsoWater_20180720_072323	1002	8	550.750	-18.8512	-35.4293	-275.3714
HKDS2004_Fast_IsoWater_20180720_072323	1002	9	550.775	-18.7444	-35.2043	-272.8323
HKDS2004_Fast_IsoWater_20180720_072323	1002	10	550.800	-18.5858	-34.9661	-270.9280
HKDS2004_Fast_IsoWater_20180720_072323	1002	11	550.825	-18.5722	-34.7759	-269.4103
HKDS2004_Fast_IsoWater_20180720_072323	1002	12	550.850	-18.3977	-34.5928	-267.8916
HKDS2004_Fast_IsoWater_20180720_072323	1002	13	550.875	-18.3574	-34.5209	-267.3720
HKDS2004_Fast_IsoWater_20180720_072323	1002	14	550.900	-18.3701	-34.5309	-267.6068
HKDS2004_Fast_IsoWater_20180720_072323	1002	15	550.925	-18.4768	-34.7156	-268.1996
HKDS2004_Fast_IsoWater_20180720_072323	1002	16	550.950	-18.6548	-35.0067	-270.6941
HKDS2004_Fast_IsoWater_20180720_072323	1002	17	550.975	-18.6024	-34.9947	-270.6550
HKDS2004_Fast_IsoWater_20180720_072323	1002	18	551.000	-18.8731	-35.4953	-274.9049
HKDS2004_Fast_IsoWater_20180720_072323	1002	19	551.025	-19.0746	-35.8973	-278.4214
HKDS2004_Fast_IsoWater_20180720_072323	1002	20	551.050	-19.2242	-36.2171	-281.4728
HKDS2004_Fast_IsoWater_20180720_072323	1002	21	551.075	-19.5042	-36.5926	-284.8808
HKDS2004_Fast_IsoWater_20180720_072323	1002	22	551.100	-19.5922	-36.7786	-286.8535
HKDS2004_Fast_IsoWater_20180720_072323	1003	1	551.125	-19.6357	-36.9050	-287.3079
HKDS2004_Fast_IsoWater_20180720_072323	1003	2	551.150	-19.6205	-36.9656	-286.7240
HKDS2004_Fast_IsoWater_20180720_072323	1003	3	551.175	-19.4918	-36.6203	-284.8916
HKDS2004_Fast_IsoWater_20180720_072323	1003	4	551.200	-19.4025	-36.3586	-282.6233
HKDS2004_Fast_IsoWater_20180720_072323	1003	5	551.225	-19.2322	-36.1255	-281.0219
HKDS2004_Fast_IsoWater_20180720_072323	1003	6	551.250	-19.0631	-35.8074	-278.0180
HKDS2004_Fast_IsoWater_20180720_072323	1003	7	551.275	-19.0135	-35.6875	-276.5607
HKDS2004_Fast_IsoWater_20180720_072323	1003	8	551.300	-18.8048	-35.3935	-274.7235
HKDS2004_Fast_IsoWater_20180720_072323	1003	9	551.325	-18.7660	-35.3100	-274.1534
HKDS2004_Fast_IsoWater_20180723_101806	1003	10	551.350	-18.7892	-35.3332	-274.8014
HKDS2004_Fast_IsoWater_20180723_101806	1003	11	551.375	-18.9159	-35.5814	-276.5393
HKDS2004_Fast_IsoWater_20180723_101806	1003	12	551.400	-19.0486	-35.8559	-278.9047
HKDS2004_Fast_IsoWater_20180723_101806	1003	13	551.425	-19.3030	-36.2441	-282.1946
HKDS2004_Fast_IsoWater_20180723_101806	1003	14	551.450	-19.3427	-36.4469	-283.8123
HKDS2004_Fast_IsoWater_20180723_101806	1003	15	551.475	-19.3900	-36.4977	-283.9229
HKDS2004_Fast_IsoWater_20180723_101806	1003	16	551.500	-19.4424	-36.4617	-283.2941
HKDS2004_Fast_IsoWater_20180723_101806	1003	17	551.525	-19.3249	-36.3317	-282.1512
HKDS2004_Fast_IsoWater_20180723_101806	1003	18	551.550	-19.1937	-36.0886	-280.5794
HKDS2004_Fast_IsoWater_20180723_101806	1003	19	551.575	-19.1042	-35.9692	-279.0761
HKDS2004_Fast_IsoWater_20180723_101806	1003	20	551.600	-19.2071	-36.0404	-278.3556
HKDS2004_Fast_IsoWater_20180723_101806	1003	21	551.625	-19.0807	-35.8865	-277.8683
HKDS2004_Fast_IsoWater_20180723_101806	1003	22	551.650	-19.0798	-35.8627	-277.7284
HKDS2004_Fast_IsoWater_20180723_101806	1004	1	551.675	-19.0201	-35.7613	-277.2557
HKDS2004_Fast_IsoWater_20180723_101806	1004	2	551.700	-18.8988	-35.5659	-275.7378
