depth,ECM
1.11,.99
1.12,1.13
1.13,1.16
1.14,1.18
1.15,1.06
1.16,.88
1.17,.88
1.18,.99
1.19,1.01
1.2,1.23
1.21,1.13
1.22,.7
1.23,.59
1.24,.79
1.25,.67
1.26,.51
1.27,.4
1.28,.4
1.29,.44
1.3,.74
1.31,1.2
1.32,1.88
1.33,3.07
1.34,2.05
1.35,1.45
1.36,1.29
1.37,.94
1.38,.72
1.39,.6
1.4,.55
1.41,.5
1.42,.72
1.43,.86
1.44,.62
1.45,.44
1.46,.53
1.47,.69
1.48,.64
1.49,.5
1.5,.39
1.51,.26
1.52,.21
1.53,.34
1.54,.55
1.55,.78
1.56,1.04
1.57,1.08
1.58,.86
1.59,.62
1.6,.5
1.61,.38
1.62,.23
1.63,.2
1.64,.15
1.65,.17
1.66,.26
1.67,.37
1.68,.43
1.69,.34
1.7,.36
1.71,.38
1.72,.46
1.73,.56
1.74,.64
1.75,.77
1.76,.55
1.77,.49
1.78,.62
1.79,.89
1.8,.99
1.81,.58
1.82,.28
1.83,.35
1.84,.47
1.85,.5
1.86,.45
1.87,.49
1.88,.55
1.89,.54
1.9,.7
1.91,.62
1.92,.54
1.93,.7
1.94,.94
1.95,.91
1.96,1.14
1.97,1
1.98,.67
1.99,.52
2,.68
2.01,.96
2.02,1.36
2.03,1.76
2.04,2.16
2.05,2.26
2.06,2.46
2.07,2.37
2.08,1.83
2.09,1.18
2.1,.73
2.11,.43
2.12,.26
2.13,.32
2.14,.45
2.15,.53
2.16,.51
2.17,.44
2.18,.33
2.19,.24
2.2,.19
2.21,.27
2.22,.53
2.23,.85
2.24,1.49
2.25,1.94
2.26,2.02
2.27,2.21
2.28,1.72
2.29,1.08
2.3,.85
2.31,.76
2.32,.64
2.33,.62
2.34,.54
2.35,.55
2.36,.6
2.37,.78
2.38,1.15
2.39,1.27
2.4,1.14
2.41,.92
2.42,.81
2.43,.79
2.44,.79
2.45,.6
2.46,.69
2.47,.67
2.48,.51
2.49,.48
2.5,.37
2.51,.33
2.52,.35
2.53,.44
2.54,.41
2.55,.68
2.56,.89
2.57,.89
2.58,.78
2.59,.95
2.6,.97
2.61,.77
2.62,.67
2.63,.63
2.64,.51
2.65,.56
2.66,.69
2.67,.85
2.68,1
2.69,.94
2.7,.85
2.71,.72
2.72,.99
2.73,1
2.74,1.27
2.75,1.46
2.76,1.45
2.77,1.21
2.78,1.44
2.79,1.35
2.8,1.38
2.81,1.5
2.82,1.44
2.83,1.53
2.84,1.46
2.85,1.17
2.86,1.1
2.87,1.12
2.88,.92
2.89,1.16
2.9,1.05
2.91,1.08
2.92,1.18
2.93,1.15
2.94,1.11
2.95,1.19
2.96,1.28
2.97,1.32
2.98,1.13
2.99,1.01
3,.75
3.01,.57
3.02,.44
3.03,.44
3.04,.44
3.05,.37
3.06,.27
3.07,.24
3.08,.24
3.09,.29
3.1,.35
3.11,.39
3.12,.41
3.13,.43
3.14,.49
3.15,.56
3.16,.59
3.17,.68
3.18,.8
3.19,.92
3.2,.92
3.21,.83
3.22,.7
3.23,.93
3.24,1.34
3.25,1.69
3.26,1.91
3.27,1.12
3.28,.74
3.29,1
3.3,1.5
3.31,1.36
3.32,1.3
3.33,1.18
3.34,.96
3.35,.81
3.36,.75
3.37,.82
3.38,.76
3.39,.86
3.4,1.04
3.41,1.28
3.42,1.36
3.43,1.02
3.44,.76
3.45,.77
3.46,.86
3.47,.67
3.48,.64
3.49,.74
3.5,.64
3.51,.64
3.52,.63
3.53,.52
3.54,.5
3.55,.46
3.56,.46
3.57,.45
3.58,.55
3.59,.65
3.6,.58
3.61,.61
3.62,.8
3.63,.9
3.64,.74
3.65,.63
3.66,.59
3.67,.8
3.68,1.16
3.69,1.65
3.7,2.01
3.71,2.53
3.72,1.64
3.73,1.28
3.74,.78
3.75,.53
3.76,.45
3.77,.68
3.78,.59
3.79,.62
3.8,.5
3.81,.45
3.82,.56
3.83,.59
3.84,.42
3.85,.54
3.86,.47
3.87,.32
3.88,.24
3.89,.27
3.9,.28
3.91,.35
3.92,.46
3.93,.54
3.94,.65
3.95,.73
3.96,.8
3.97,1.52
3.98,1.94
3.99,1.91
4,1.57
4.01,1.13
4.02,.95
4.03,1.09
4.04,1.02
4.05,.99
4.06,1.08
4.07,1.25
4.08,1.04
4.09,.89
4.1,.77
4.11,.74
4.12,.8
4.13,.93
4.14,1.11
4.15,1.09
4.16,.99
4.17,1.07
4.18,1.18
4.19,1.13
4.2,.94
4.21,.99
4.22,1.03
4.23,.88
4.24,.8
4.25,.7
4.26,.59
4.27,.61
4.28,.53
4.29,.45
4.3,.41
4.31,.41
4.32,.51
4.33,.61
4.34,.73
4.35,.92
4.36,1.33
4.37,2.01
4.38,2.35
4.39,2.51
4.4,2.36
4.41,1.52
4.42,1.3
4.43,1.05
4.44,.88
4.45,.82
4.46,.74
4.47,.66
4.48,.56
4.49,.54
4.5,.57
4.51,.55
4.52,.55
4.53,.58
4.54,.69
4.55,.83
4.56,.98
4.57,1.13
4.58,1.33
4.59,1.42
4.6,1.32
4.61,1.46
4.62,1.22
4.63,.86
4.64,.95
4.65,1.21
4.66,1.58
4.67,1.89
4.68,1.87
4.69,1.14
4.7,.98
4.71,.86
4.72,.73
4.73,.52
4.74,.49
4.75,.34
4.76,.43
4.77,.53
4.78,.61
4.79,.59
4.8,.64
4.81,.51
4.82,.44
4.83,.34
4.84,.32
4.85,.32
4.86,.42
4.87,.56
4.88,.64
4.89,.73
4.9,.68
4.91,.64
4.92,.55
4.93,.59
4.94,.68
4.95,.81
4.96,.83
4.97,.65
4.98,.83
4.99,.77
5,.55
5.01,.4
5.02,.62
5.03,.73
5.04,.48
5.05,.39
5.06,.41
5.07,.38
5.08,.29
5.09,.24
5.1,.26
5.11,.3
5.12,.32
5.13,.42
5.14,.53
5.15,.46
5.16,.49
5.17,.44
5.18,.49
5.19,.54
5.2,.53
5.21,.53
5.22,.59
5.23,.63
5.24,.7
5.25,.7
5.26,.69
5.27,.79
5.28,.8
5.29,.9
5.3,.97
5.31,1.02
5.32,.96
5.33,.77
5.34,.55
5.35,.49
5.36,.42
5.37,.38
5.38,.46
5.39,.57
5.4,.53
5.41,.54
5.42,.5
5.43,.55
5.44,.79
5.45,1.18
5.46,1.26
5.47,1.11
5.48,.93
5.49,.81
5.5,.7
5.51,.65
5.52,.68
5.53,.76
5.54,.9
5.55,.99
5.56,.93
5.57,.98
5.58,1.06
5.59,1.13
5.6,1.16
5.61,1.09
5.62,1
5.63,.87
5.64,.99
5.65,1.33
5.66,1.34
5.67,1
5.68,1.05
5.69,1.15
5.7,1.14
5.71,1.08
5.72,1.18
5.73,1.32
5.74,1.42
5.75,1.38
5.76,1.47
5.77,1.66
5.78,1.85
5.79,1.63
5.8,1.34
5.81,1.34
5.82,1.61
5.83,2.26
5.84,3.01
5.85,3.43
5.86,3.3
5.87,2.47
5.88,2.12
5.89,1.87
5.9,1.63
5.91,1.36
5.92,1.17
5.93,1.12
5.94,1.46
5.95,2.09
5.96,2.75
5.97,3.21
5.98,3.03
5.99,2.15
6,1.7
6.01,1.65
6.02,1.74
6.03,1.93
6.04,2.1
6.05,1.83
6.06,1.78
6.07,1.69
6.08,1.64
6.09,1.71
6.1,1.64
6.11,1.59
6.12,1.54
6.13,1.29
6.14,.88
6.15,.73
6.16,.81
6.17,.98
6.18,1.19
6.19,1.37
6.2,1.51
6.21,1.66
6.22,1.77
6.23,1.86
6.24,1.65
6.25,1.47
6.26,1.41
6.27,1.43
6.28,1.25
6.29,1.25
6.3,1.22
6.31,1.03
6.32,.96
6.33,.8
6.34,1
6.35,1.35
6.36,1.78
6.37,2.32
6.38,2.27
6.39,2.07
6.4,2.21
6.41,1.66
6.42,1.37
6.43,1.23
6.44,.82
6.45,1.03
6.46,1.38
6.47,1.4
6.48,1.11
6.49,1
6.5,.97
6.51,.76
6.52,.78
6.53,.95
6.54,.85
6.55,.8
6.56,.87
6.57,.94
6.58,1.03
6.59,1.09
6.6,1.11
6.61,1.02
6.62,1.09
6.63,1.13
6.64,.91
6.65,.7
6.66,.68
6.67,.79
6.68,.9
6.69,.98
6.7,1.05
6.71,.86
6.72,.76
6.73,.8
6.74,.73
6.75,.75
6.76,.81
6.77,.97
6.78,1.09
6.79,1.37
6.8,1.41
6.81,1.33
6.82,1.1
6.83,1.01
6.84,1.01
6.85,1.07
6.86,1.08
6.87,1.04
6.88,1.04
6.89,1.11
6.9,1.28
6.91,1.25
6.92,1.08
6.93,1
6.94,.91
6.95,.74
6.96,.58
6.97,.55
6.98,.6
6.99,.55
7,.58
7.01,.74
7.02,.85
7.03,.78
7.04,.72
7.05,.79
7.06,.91
7.07,.77
7.08,.76
7.09,.74
7.1,.64
7.11,.57
7.12,.62
7.13,.65
7.14,.73
7.15,.81
7.16,.92
7.17,1.03
7.18,1.01
7.19,1.08
7.2,.94
7.21,.88
7.22,1
7.23,1.09
7.24,1.06
7.25,1.08
7.26,1.16
7.27,1.09
7.28,1.25
7.29,1.38
7.3,1.27
7.31,1.06
7.32,.88
7.33,.83
7.34,.83
7.35,.86
7.36,1
7.37,1.01
7.38,1.06
7.39,1.09
7.4,1.17
7.41,1.47
7.42,1.59
7.43,1.82
7.44,1.59
7.45,1.37
7.46,1.48
7.47,1.94
7.48,2.21
7.49,2.18
7.5,1.98
7.51,1.9
7.52,1.8
7.53,1.62
7.54,1.66
7.55,1.52
7.56,1.44
7.57,1.57
7.58,1.47
7.59,1.32
7.6,1.2
7.61,1.17
7.62,1.2
7.63,1.17
7.64,1.42
7.65,1.59
7.66,1.35
7.67,1.41
7.68,1.42
7.69,1.39
7.7,1.42
7.71,1.8
7.72,1.61
7.73,1.83
7.74,1.68
7.75,1.48
7.76,1.31
7.77,1.14
7.78,.96
7.79,1.01
7.8,1.11
7.81,1.17
7.82,1.25
7.83,1.36
7.84,1.29
7.85,1.19
7.86,1.19
7.87,1.12
7.88,.89
7.89,.74
7.9,.72
7.91,.65
7.92,.69
7.93,.71
7.94,.66
7.95,.69
7.96,.71
7.97,.81
7.98,.9
7.99,1.02
8,1.12
8.01,1.3
8.02,1.51
8.03,1.36
8.04,1.19
8.05,1.03
8.06,.93
8.07,.86
8.08,.96
8.09,1.11
8.1,1.06
8.11,.91
8.12,.91
8.13,1.18
8.14,1.46
8.15,1.48
8.16,1.46
8.17,1.69
8.18,1.74
8.19,1.63
8.2,1.77
8.21,2.03
8.22,2.29
8.23,2.48
8.24,2.45
8.25,2.35
8.26,2.21
8.27,2.06
8.28,1.83
8.29,1.7
8.3,2.04
8.31,2.25
8.32,2.26
8.33,1.85
8.34,1.35
8.35,1.08
8.36,.97
8.37,1
8.38,1.08
8.39,1.08
8.4,1.08
8.41,.94
8.42,.87
8.43,.9
8.44,.96
8.45,.86
8.46,.84
8.47,.95
8.48,1
8.49,1.14
8.5,1.24
8.51,1.42
8.52,1.64
8.53,1.75
8.54,1.69
8.55,1.56
8.56,1.66
8.57,1.62
8.58,1.66
8.59,1.7
8.6,1.71
8.61,1.64
8.62,1.63
8.63,1.48
8.64,1.24
8.65,1.32
8.66,1.29
8.67,1.23
8.68,1.21
8.69,1.33
8.7,1.24
8.71,1.3
8.72,1.61
8.73,2.14
8.74,2.52
8.75,2.44
8.76,2.24
8.77,2.26
8.78,2.59
8.79,2.77
8.8,3.03
8.81,3.3
8.82,3.07
8.83,2.79
8.84,2.58
8.85,2.64
8.86,2.47
8.87,2.56
8.88,2.31
8.89,2.29
8.9,2.16
8.91,2.28
8.92,2.27
8.93,2.1
8.94,2.08
8.95,1.96
8.96,1.68
8.97,1.63
8.98,1.53
8.99,1.36
9,1.52
9.01,1.36
9.02,1.15
9.03,1.03
9.04,.97
9.05,.97
9.06,.99
9.07,1.15
9.08,1.24
9.09,1.28
9.1,1.27
9.11,1.35
9.12,1.46
9.13,1.58
9.14,1.77
9.15,1.7
9.16,1.62
9.17,1.75
9.18,1.93
9.19,2.11
9.2,2.28
9.21,2.26
9.22,2
9.23,1.74
9.24,1.8
9.25,2.11
9.26,2.39
9.27,2.69
9.28,2.64
9.29,2.86
9.3,3.26
9.31,3.42
9.32,3.67
9.33,3.95
9.34,3.8
9.35,3.51
9.36,2.98
9.37,2.86
9.38,2.98
9.39,3.09
9.4,2.96
9.41,2.46
9.42,2.08
9.43,2.11
9.44,2.07
9.45,1.82
9.46,1.63
9.47,1.49
9.48,1.31
9.49,1.21
9.5,1.31
