depth	lamda	sigma18_hld	sigma18_hls	sigma18_bar	sigma18_gou	attenuation_hld	attenuation_hls	attenuation_bar	attenuation_gou
0	0.668	0	0	0	0	1	1	1	1
1.1	0.668	0.0351	0.0351	0.0351	0.0356	0.947	0.947	0.947	0.9455
1.65	0.663	0.0426	0.0426	0.0426	0.0417	0.9217	0.9217	0.9217	0.9249
2.2	0.657	0.0485	0.0485	0.0485	0.0435	0.898	0.898	0.898	0.9171
2.75	0.652	0.0534	0.0534	0.0534	0.0453	0.876	0.876	0.876	0.9091
3.3	0.647	0.0575	0.0575	0.0575	0.0471	0.8556	0.8556	0.8556	0.9007
3.85	0.642	0.061	0.061	0.061	0.0489	0.8368	0.8368	0.8368	0.8918
4.4	0.637	0.0641	0.0641	0.0641	0.0508	0.8188	0.8188	0.8188	0.882
4.95	0.632	0.0668	0.0668	0.0668	0.0528	0.8021	0.8021	0.8021	0.8713
5.5	0.627	0.0692	0.0692	0.0692	0.0549	0.7863	0.7863	0.7863	0.8596
6.05	0.622	0.0714	0.0714	0.0714	0.057	0.771	0.771	0.771	0.8472
6.6	0.617	0.0733	0.0733	0.0733	0.059	0.7568	0.7568	0.7568	0.8349
7.15	0.612	0.075	0.075	0.075	0.061	0.7435	0.7435	0.7435	0.8219
7.7	0.607	0.0766	0.0766	0.0766	0.0628	0.7303	0.7303	0.7303	0.8095
8.25	0.6028	0.0779	0.0779	0.0779	0.0646	0.7192	0.7192	0.7192	0.7972
8.8	0.598	0.0792	0.0792	0.0792	0.0663	0.7073	0.7073	0.7073	0.7846
9.35	0.593	0.0803	0.0803	0.0803	0.0678	0.6963	0.6963	0.6963	0.7726
9.9	0.589	0.0812	0.0812	0.0812	0.0694	0.6872	0.6872	0.6872	0.7603
10.45	0.584	0.0821	0.0821	0.0821	0.0708	0.677	0.677	0.677	0.7482
11	0.58	0.0829	0.0829	0.0829	0.0722	0.6681	0.6681	0.6681	0.7365
11.55	0.575	0.0835	0.0835	0.0835	0.0735	0.6595	0.6595	0.6595	0.7243
