Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181031_090617	2201	1	1210.025	-19.2498	-36.2222	-284.6305
HKDS2004_Fast_IsoWater_20181031_090618	2201	2	1210.050	-19.6444	-37.0061	-291.5667
HKDS2004_Fast_IsoWater_20181031_090619	2201	3	1210.075	-19.6602	-37.0148	-291.0650
HKDS2004_Fast_IsoWater_20181031_090620	2201	4	1210.100	-19.6602	-36.9566	-288.5766
HKDS2004_Fast_IsoWater_20181031_090621	2201	5	1210.125	-19.6387	-37.0157	-289.2801
HKDS2004_Fast_IsoWater_20181031_090622	2201	6	1210.150	-19.6893	-37.0666	-289.7786
HKDS2004_Fast_IsoWater_20181031_090623	2201	7	1210.175	-19.6511	-36.9803	-289.0599
HKDS2004_Fast_IsoWater_20181031_090624	2201	8	1210.200	-19.5214	-36.7316	-286.7026
HKDS2004_Fast_IsoWater_20181031_090625	2201	9	1210.225	-19.4775	-36.5255	-284.1952
HKDS2004_Fast_IsoWater_20181031_090626	2201	10	1210.250	-19.2985	-36.3801	-283.7769
HKDS2004_Fast_IsoWater_20181031_090627	2201	11	1210.275	-19.3336	-36.3938	-284.3900
HKDS2004_Fast_IsoWater_20181031_090628	2201	12	1210.300	-19.2349	-36.2129	-282.6502
HKDS2004_Fast_IsoWater_20181031_090629	2201	13	1210.325	-19.0885	-35.9537	-280.9948
HKDS2004_Fast_IsoWater_20181031_090630	2201	14	1210.350	-19.0496	-35.9166	-280.5359
HKDS2004_Fast_IsoWater_20181031_090631	2201	15	1210.375	-18.9566	-35.6696	-278.3633
HKDS2004_Fast_IsoWater_20181031_090632	2201	16	1210.400	-18.7093	-35.1755	-273.8727
HKDS2004_Fast_IsoWater_20181031_090633	2201	17	1210.425	-18.5955	-34.9741	-272.0351
HKDS2004_Fast_IsoWater_20181031_090634	2201	18	1210.450	-18.7713	-35.2736	-275.6065
HKDS2004_Fast_IsoWater_20181031_090635	2201	19	1210.475	-18.9272	-35.7233	-279.9971
