depth	d17O	d18O	dD
538.01	-19.72	-37.10	-287.2
539.01	-19.10	-35.98	-279.5
540.01	-19.32	-36.50	-283.6
541.01	-19.82	-37.24	-289.5
542.01	-19.51	-36.72	-286.4
543.01	-19.12	-36.02	-278.7
544.01	-18.91	-35.67	-276.5
545.01	-19.10	-36.10	-281.0
546.01	-19.23	-36.32	-283.2
547.01	-19.59	-36.93	-286.1
548.01	-19.11	-36.02	-279.8
549.01	-19.92	-37.48	-289.9
550.01	-19.68	-37.06	-287.0
551.01	-19.32	-36.43	-282.6
552.01	-19.37	-36.49	-281.3
553.01	-19.53	-36.79	-284.4
554.01	-20.21	-38.11	-294.6
555.01	-19.83	-37.33	-288.9
556.01	-19.96	-37.62	-291.2
557.01	-19.83	-37.25	-288.1
558.01	-19.65	-36.98	-286.2
559.01	-19.59	-36.92	-286.9
560.01	-19.65	-37.02	-287.1
561.01	-19.56	-36.85	-285.4
562.01	-19.87	-37.43	-289.9
563.01	-19.50	-36.60	-283.6
564.01	-19.57	-36.88	-286.4
565.01	-19.78	-37.23	-289.1
566.01	-19.23	-36.28	-281.0
567.01	-19.36	-36.42	-283.4
568.01	-19.71	-37.08	-287.4
569.01	-19.49	-36.73	-285.2
570.01	-18.99	-35.75	-277.3
571.01	-19.37	-36.57	-283.2
572.01	-19.70	-37.10	-289.7
573.01	-20.03	-37.79	-293.5
574.01	-19.45	-36.74	-286.4
575.01	-19.35	-36.55	-283.3
576.01	-19.21	-36.16	-280.7
577.01	-19.38	-36.61	-284.7
578.01	-19.56	-36.89	-286.5
579.01	-19.37	-36.55	-283.9
580.01	-19.56	-36.84	-286.0
581.01	-20.03	-37.79	-294.5
582.01	-19.70	-37.17	-288.3
583.01	-19.36	-36.56	-283.0
584.01	-20.05	-37.83	-293.8
585.01	-19.59	-36.81	-286.2
586.01	-19.72	-37.24	-289.0
587.01	-19.62	-36.95	-286.7
588.01	-19.92	-37.46	-291.0
589.01	-19.98	-37.75	-292.3
590.01	-19.16	-36.11	-279.5

