fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.290137614678898537e+00,1.796235933474940483e+00,1.774557102182852786e+00,7.751111111111114171e-01,5.567197389629279236e-01,5.635208913649026874e-01,6.317839138129807131e-01,1.013856598423455296e-01,3.878000000000000114e+00
1.828333416024828129e+00,1.868791413137200097e+00,1.841796843241505721e+00,5.469461922181595437e-01,5.351051984561872032e-01,5.429480475382023608e-01,5.416664794041831099e-01,4.918271781792686245e-03,7.890000000000000568e+00
1.781955606582532381e+00,1.825161652829671244e+00,1.814844048985901237e+00,5.611812080536723313e-01,5.478966744943564171e-01,5.510115321251873866e-01,5.533631382244054153e-01,5.672580036547575713e-03,1.188000000000000078e+01
1.895493076789195541e+00,1.867435710193632081e+00,1.873741516891614722e+00,5.275672131147611799e-01,5.354936689607971978e-01,5.336915422885644134e-01,5.322508081213742637e-01,3.392537081612271351e-03,1.588899999999999935e+01
2.011666362855317303e+00,2.059304837878312533e+00,2.047472722064715978e+00,4.971003236245501444e-01,4.856007627458852061e-01,4.884069952304802009e-01,4.903693605336384986e-01,4.895449130761480271e-03,1.989300000000000068e+01
2.587025911268807654e+00,2.536359705873127091e+00,2.546016253494401305e+00,3.865442536327553524e-01,3.942658439512449764e-01,3.927704697986520443e-01,3.911935224608840689e-01,3.343731592220301838e-03,2.387349999999999994e+01
2.538540596094482016e+00,2.555567486309460179e+00,2.555669749914282640e+00,3.939271255060838861e-01,3.913025210084032923e-01,3.912868632707884320e-01,3.921721699284252405e-01,1.240957453166248881e-03,2.789999999999999858e+01
2.367288378766196466e+00,2.455854762167531735e+00,2.456958393113400696e+00,4.224242424242324323e-01,4.071902033479383176e-01,4.070072992700634051e-01,4.122072483474113480e-01,7.224891669304257628e-03,3.188400000000000034e+01
2.239641657334784153e+00,2.568071048516048283e+00,2.564995006204364270e+00,4.465000000000084457e-01,3.893973262841955996e-01,3.898643067846681021e-01,4.085872110229573639e-01,2.680906803938745697e-02,3.589700000000000557e+01
2.153888199659332425e+00,2.590581594202999938e+00,2.587710204537713832e+00,4.642766510156673965e-01,3.860137052767306787e-01,3.864420359924525816e-01,4.122441307616168671e-01,3.679296345581711120e-02,3.988750000000000284e+01
2.736354077048034128e+00,2.779816677313864393e+00,2.768218462224721677e+00,3.654497816593952342e-01,3.597359524320501434e-01,3.612431654676324100e-01,3.621429665196926329e-01,2.417876831682735060e-03,4.387699999999999534e+01
2.825015446931646412e+00,2.856305664103377939e+00,2.865029830032661096e+00,3.539803653414132500e-01,3.501025862068966044e-01,3.490365054902762054e-01,3.510398190128620199e-01,2.124341710798046366e-03,4.789700000000000557e+01
2.806006717219975410e+00,2.836515913874880557e+00,2.838121243311190867e+00,3.563783343294133488e-01,3.525451752653591120e-01,3.523457647754737465e-01,3.537564247900821246e-01,1.855756514236418277e-03,5.189050000000000296e+01
3.155647836738882717e+00,3.104541694486256720e+00,3.108991753131184144e+00,3.168921412452102016e-01,3.221087356552578829e-01,3.216476849746744415e-01,3.202161872917141383e-01,2.357979858830525424e-03,5.589050000000000296e+01
3.036345247240332945e+00,3.008645997422312757e+00,3.010971888628296789e+00,3.293433119665419850e-01,3.323754276364716542e-01,3.321186769550240614e-01,3.312791388526792336e-01,1.372843649248966114e-03,5.988750000000000284e+01
3.154205607476410655e+00,3.146262955897590530e+00,3.154205607476410655e+00,3.170370370370596547e-01,3.178373880433373322e-01,3.170370370370596547e-01,3.173038207058189175e-01,3.772890825789485610e-04,6.388649999999999807e+01
3.165688939761516441e+00,3.131242639532450411e+00,3.134389755328846228e+00,3.158870056498140344e-01,3.193620281529244709e-01,3.190413694722800675e-01,3.180968010916728761e-01,1.568035377686183068e-03,6.789050000000000296e+01
3.321885788263158723e+00,3.174914514301216517e+00,3.160061852705007723e+00,3.010338294992520036e-01,3.149691103478718945e-01,3.164495021336375391e-01,3.108174806602537754e-01,6.944434821734097631e-03,7.189199999999999591e+01
3.264448301803584584e+00,3.298997415445700909e+00,3.304916669181314770e+00,3.063304753356048127e-01,3.031223957066659369e-01,3.025794899233321122e-01,3.040107869885342873e-01,1.655174148550622682e-03,7.588200000000000500e+01
3.309170120843746954e+00,3.260876484555529142e+00,3.256261877632582458e+00,3.021905684755269439e-01,3.066660159427363475e-01,3.071006072543021048e-01,3.053190638908551136e-01,2.219283679451432029e-03,7.989099999999999113e+01
3.118572726838005682e+00,3.173952177826480980e+00,3.156837422872827759e+00,3.206595092024432381e-01,3.150646084040241712e-01,3.167727272727166588e-01,3.174989482930613560e-01,2.341121734529617512e-03,8.388450000000000273e+01
3.160942264843669580e+00,3.190664011008311096e+00,3.199373173838729212e+00,3.163613619654191411e-01,3.134143853912028654e-01,3.125612254853540883e-01,3.141123242806587168e-01,1.628004573466432930e-03,8.789300000000000068e+01
3.268666121669611790e+00,3.307257581753064279e+00,3.292594863409506800e+00,3.059351927596713483e-01,3.023653208982695073e-01,3.037118265332202083e-01,3.040041133970536880e-01,1.471975992735472536e-03,9.189500000000001023e+01
3.398336679094100976e+00,3.372082220884813353e+00,3.393557021317596956e+00,2.942616033754993365e-01,2.965526741330780092e-01,2.946760563380000919e-01,2.951634446155258495e-01,9.967988108139458434e-04,9.588200000000000500e+01
3.834242159490679924e+00,3.376655365679855691e+00,3.862963074543044772e+00,2.608077315943014285e-01,2.961510405130314827e-01,2.588686406530798512e-01,2.719424709201376245e-01,1.713633857664411536e-02,9.989499999999999602e+01
4.065997013153276107e+00,3.317993723759181890e+00,4.040424704894450159e+00,2.459421383648475734e-01,3.013869474313024543e-01,2.474987341772833527e-01,2.649426066578111083e-01,2.577787460131388333e-02,1.038864999999999981e+02
4.316763691338763032e+00,3.502062319728956208e+00,4.342428160371692769e+00,2.316550248062962114e-01,2.855460322240626070e-01,2.302859052743441159e-01,2.491623207682343022e-01,2.573324006739042061e-02,1.078979999999999961e+02
4.196249025320931914e+00,3.420142529392152575e+00,4.247547913161040967e+00,2.383080684596690091e-01,2.923854755777460790e-01,2.354299516908324452e-01,2.553744985760825204e-01,2.619707621086771535e-02,1.118950000000000102e+02
