lens,lMeans,lStds
1.000000000000000000e+00,3.193480738376682782e-01,8.074978924564936780e-03
1.242424242424242431e+00,3.034228428980079162e-01,2.134336716833446987e-02
1.484848484848484862e+00,2.691369752469130461e-01,2.744916952734722734e-02
1.727272727272727293e+00,3.053081970822206781e-01,2.912676539284932142e-02
1.969696969696969724e+00,2.974713098545310186e-01,2.011361587544251497e-02
2.212121212121211933e+00,3.098268565225551496e-01,1.493310088102937742e-02
2.454545454545454586e+00,2.820814135859728289e-01,3.192281147773749078e-02
2.696969696969697239e+00,2.992370658069031797e-01,1.389872565362722419e-02
2.939393939393939448e+00,3.054153178240390787e-01,1.321531383778375493e-02
3.181818181818181657e+00,3.026890175205786959e-01,1.108767596846561149e-02
3.424242424242424310e+00,3.038884980808926883e-01,1.133949475085300161e-02
3.666666666666666963e+00,3.084883720453416300e-01,1.267703738344912699e-02
3.909090909090909172e+00,3.118721046029212518e-01,1.134421595385169505e-02
4.151515151515151381e+00,3.065472753720995813e-01,1.189654449893684691e-02
4.393939393939394478e+00,3.154528213772144762e-01,9.335095874614240258e-03
4.636363636363636687e+00,3.160771559732868941e-01,9.424257876597450997e-03
4.878787878787878896e+00,3.158572639141464800e-01,6.791865879385229794e-03
5.121212121212121104e+00,3.158681756408863728e-01,6.713464961494541687e-03
5.363636363636363313e+00,3.172708094290364045e-01,5.851922835275969771e-03
5.606060606060606410e+00,3.137417518102056935e-01,8.255921317849431937e-03
5.848484848484848619e+00,3.153960336898810612e-01,7.234037998084514795e-03
6.090909090909090828e+00,3.154107554711223504e-01,7.516037981837210211e-03
6.333333333333333925e+00,3.148211325572005115e-01,7.430195156420038062e-03
6.575757575757576134e+00,3.118110210260806037e-01,9.360447956758324514e-03
6.818181818181818343e+00,3.129745779397951067e-01,7.190678474661814021e-03
7.060606060606060552e+00,3.132329759268490110e-01,7.076250879103271156e-03
7.303030303030302761e+00,3.135005746885401456e-01,6.426519919356224290e-03
7.545454545454545858e+00,3.124300270335519936e-01,7.664178757527352268e-03
7.787878787878788067e+00,3.112946473885319643e-01,8.199666090274171371e-03
8.030303030303031164e+00,3.123758248682590999e-01,8.003824847163899456e-03
8.272727272727273373e+00,3.116665645207747914e-01,7.788849820294280017e-03
8.515151515151515582e+00,3.127557761263134450e-01,6.664979198746322914e-03
8.757575757575757791e+00,3.134767160940336028e-01,6.687413836739613919e-03
9.000000000000000000e+00,3.139851097961720017e-01,6.278134924011121408e-03
9.242424242424242209e+00,3.133234562648447574e-01,6.925314160727398527e-03
9.484848484848484418e+00,3.144825782606217035e-01,4.793299960583350706e-03
9.727272727272726627e+00,3.134389769779487023e-01,6.310607394804602401e-03
9.969696969696970612e+00,3.148104025582106336e-01,4.059538744584680926e-03
1.021212121212121282e+01,3.143420600894405448e-01,5.069259801024139818e-03
1.045454545454545503e+01,3.148212634124020193e-01,4.050328072796427481e-03
1.069696969696969724e+01,3.154080406495861078e-01,3.158741498860968226e-03
1.093939393939393945e+01,3.151215368493168745e-01,4.120190595309391329e-03
1.118181818181818166e+01,3.157053546757060958e-01,3.360835034536822571e-03
1.142424242424242387e+01,3.156492359434849848e-01,3.309276762834960448e-03
1.166666666666666785e+01,3.156766569624994689e-01,2.180282543971371386e-03
1.190909090909091006e+01,3.155056222428873069e-01,1.982255126118743094e-03
1.215151515151515227e+01,3.152381257645557877e-01,3.467292928309706306e-03
1.239393939393939448e+01,3.148116984241234317e-01,3.323955488188195129e-03
1.263636363636363669e+01,3.146374538162793333e-01,4.011848475169907911e-03
1.287878787878787890e+01,3.157562456491155856e-01,1.815367208802297957e-03
1.312121212121212110e+01,3.142169489151769302e-01,5.514092510578771054e-03
1.336363636363636331e+01,3.155664862362151379e-01,1.827749519914287010e-03
1.360606060606060552e+01,3.150711767900060134e-01,3.190910782489520155e-03
1.384848484848484951e+01,3.153440346813590200e-01,1.737938209476961454e-03
1.409090909090909172e+01,3.122184028762958752e-01,6.609942625556142204e-03
1.433333333333333393e+01,3.147921873450149066e-01,2.883377243837578503e-03
1.457575757575757613e+01,3.131454831238695835e-01,5.246492470072802901e-03
1.481818181818181834e+01,3.143810402087252043e-01,3.705263291439341716e-03
1.506060606060606055e+01,3.144299915618303243e-01,3.734794308331971114e-03
1.530303030303030276e+01,3.142889994204633997e-01,3.698453267088634613e-03
1.554545454545454675e+01,3.149595021725628552e-01,2.967316011366695570e-03
1.578787878787878896e+01,3.140985510023249216e-01,3.827338331041557889e-03
1.603030303030303116e+01,3.141639393366728594e-01,3.880658852506190144e-03
1.627272727272727337e+01,3.139209139759657763e-01,3.775682176781028441e-03
1.651515151515151558e+01,3.135940003112245855e-01,4.282845058737292342e-03
1.675757575757575779e+01,3.143272700426938404e-01,3.785156445671620292e-03
1.700000000000000000e+01,3.136103639962628531e-01,4.777379263591492384e-03
1.724242424242424221e+01,3.146164617935839902e-01,2.967418917805653405e-03
1.748484848484848442e+01,3.134903421887966224e-01,4.843105283621013286e-03
1.772727272727272663e+01,3.130288888170017492e-01,5.178495359828052744e-03
1.796969696969696884e+01,3.121176176228392385e-01,6.137222881775224355e-03
1.821212121212121104e+01,3.128961769513121660e-01,5.282457189763505208e-03
1.845454545454545325e+01,3.113717435705101733e-01,6.512905670474443583e-03
1.869696969696969902e+01,3.112680420828514150e-01,6.451449770362504416e-03
1.893939393939394122e+01,3.121539261961353007e-01,5.903546797172705418e-03
1.918181818181818343e+01,3.118864403377854533e-01,5.804261685953745857e-03
1.942424242424242564e+01,3.114478330777632475e-01,6.109200188883052822e-03
1.966666666666666785e+01,3.106879530538900758e-01,6.524829997969976841e-03
1.990909090909091006e+01,3.111065828526004551e-01,6.204452355658009177e-03
2.015151515151515227e+01,3.109747604599705229e-01,6.126137424993840716e-03
2.039393939393939448e+01,3.108650838642872949e-01,6.224666628960693650e-03
2.063636363636363669e+01,3.116225607800370834e-01,5.787384589952912495e-03
2.087878787878787890e+01,3.123378731752747273e-01,5.320852889443218776e-03
2.112121212121212110e+01,3.115171611565228926e-01,5.891991125186084657e-03
2.136363636363636331e+01,3.104257069527044388e-01,6.178218413270228880e-03
2.160606060606060552e+01,3.107836374059330664e-01,5.927728359308252586e-03
2.184848484848484773e+01,3.102216305925178941e-01,6.141748357260052964e-03
2.209090909090908994e+01,3.095087928037488223e-01,7.058809449591146520e-03
2.233333333333333570e+01,3.086556438451217854e-01,6.598715884804428299e-03
2.257575757575757791e+01,3.087054927766428869e-01,6.677486051414553876e-03
2.281818181818182012e+01,3.100334394328242427e-01,6.318782652242151132e-03
2.306060606060606233e+01,3.100299796414839326e-01,6.433054198441097438e-03
2.330303030303030454e+01,3.099707530366247465e-01,6.313559979739597448e-03
2.354545454545454675e+01,3.099421508869947828e-01,6.314087055180254808e-03
2.378787878787878896e+01,3.099729139120450672e-01,6.259263806764556355e-03
2.403030303030303116e+01,3.085341518951608686e-01,6.351651118585584753e-03
2.427272727272727337e+01,3.092538627233729631e-01,6.184419629566679198e-03
2.451515151515151558e+01,3.086950152522551227e-01,6.527909585688848257e-03
2.475757575757575779e+01,3.094641637789046218e-01,6.196235196546219862e-03
2.500000000000000000e+01,3.093942785165936793e-01,6.314397941827610931e-03
