shifts,lMeans,lStds
1.000000000000000056e-01,3.072573881964225095e-01,1.074867214116823413e-02
1.710144927536231818e-01,3.116340457183283119e-01,1.157873313160805509e-02
2.420289855072463858e-01,3.075677742699837736e-01,1.064449831727776533e-02
3.130434782608695343e-01,3.090358869540840714e-01,1.084748290241316880e-02
3.840579710144927938e-01,3.152221274082665503e-01,9.738802424325222057e-03
4.550724637681159424e-01,3.135082318690834424e-01,9.817563588675455241e-03
5.260869565217390909e-01,3.149015784771492799e-01,8.833483976979354668e-03
5.971014492753623504e-01,3.153953951885438700e-01,8.622292692637074582e-03
6.681159420289854989e-01,3.170471825421946055e-01,6.697952879759683578e-03
7.391304347826086474e-01,3.116187714469799697e-01,1.209131913144593888e-02
8.101449275362319069e-01,3.105850785634817757e-01,9.367137419677526444e-03
8.811594202898550554e-01,3.160058463523581218e-01,8.542486065349019775e-03
9.521739130434782039e-01,3.177311551327500205e-01,6.374874692634796731e-03
1.023188405797101463e+00,3.155821665057239045e-01,8.758196234726059112e-03
1.094202898550724612e+00,3.176010280772726957e-01,7.151846488290718520e-03
1.165217391304347982e+00,3.152291675511909030e-01,1.035034246713228447e-02
1.236231884057971131e+00,3.059969660938310909e-01,9.858407678172325175e-03
1.307246376811594279e+00,3.119010392193790060e-01,8.930834114073527008e-03
1.378260869565217428e+00,3.109504755803246812e-01,1.068920236812184385e-02
1.449275362318840799e+00,3.150236452004318566e-01,8.532317429752750079e-03
1.520289855072463947e+00,2.890456191301915556e-01,5.025089294747906582e-02
1.591304347826087096e+00,3.184359092938315317e-01,6.827896030831083311e-03
1.662318840579710244e+00,3.174919546646697843e-01,6.463943369834214241e-03
1.733333333333333393e+00,3.162465741998524704e-01,4.536528509556363858e-03
1.804347826086956541e+00,3.104434623084466049e-01,9.624110609416756598e-03
1.875362318840579912e+00,3.174656000753664498e-01,6.472391884240238404e-03
1.946376811594203060e+00,3.154572929226659439e-01,5.694856946589876671e-03
2.017391304347825987e+00,3.121672538149066201e-01,8.904810716874003718e-03
2.088405797101449135e+00,3.138347936807948657e-01,8.097541548614903273e-03
2.159420289855072728e+00,3.141160355424734152e-01,7.703108867154187175e-03
2.230434782608695876e+00,3.133176505796343436e-01,8.899762900876627067e-03
2.301449275362319025e+00,3.157903946189545286e-01,5.674536824816840686e-03
2.372463768115942173e+00,3.141955590889187189e-01,9.639898609353089731e-03
2.443478260869565322e+00,3.065362191554953375e-01,1.010609546845282064e-02
2.514492753623188470e+00,3.133530907757519635e-01,8.515164432066709213e-03
2.585507246376811619e+00,3.172978235182771223e-01,6.450650859581972055e-03
2.656521739130434767e+00,3.111618802652553750e-01,9.373304524278338462e-03
2.727536231884057916e+00,3.159802899884894267e-01,6.781541604748329843e-03
2.798550724637681508e+00,3.161460285830446360e-01,4.499362173086848479e-03
2.869565217391304657e+00,3.105923677907780900e-01,1.176543995569558423e-02
2.940579710144927805e+00,3.109807460085705078e-01,1.092343780863568904e-02
3.011594202898550954e+00,2.950882179542593797e-01,1.932610608335482219e-02
3.082608695652174102e+00,3.100290648784568837e-01,9.541841132287617183e-03
3.153623188405797251e+00,3.030712706473127627e-01,7.353755707236845490e-03
3.224637681159420399e+00,3.129912593696358436e-01,9.962312489630090889e-03
3.295652173913043548e+00,3.115853336984759081e-01,6.963510241836321814e-03
3.366666666666666696e+00,3.169706212176086058e-01,5.925475866915890996e-03
3.437681159420289845e+00,3.177565502089428340e-01,5.569466219530183441e-03
3.508695652173912993e+00,3.183558294259890564e-01,4.650251340425621931e-03
3.579710144927536586e+00,3.075284233703168835e-01,9.988561677374717049e-03
3.650724637681159734e+00,3.150508527970921069e-01,2.459224581467502058e-03
3.721739130434782883e+00,3.183788951527188882e-01,3.990885569179774932e-03
3.792753623188406031e+00,3.162862494810511627e-01,8.176297291326994551e-03
3.863768115942029180e+00,3.139562490983505150e-01,6.770737209197882737e-03
3.934782608695652328e+00,3.143159038964179475e-01,8.753037759852573194e-03
4.005797101449275033e+00,3.150150709829127038e-01,6.212027313041831346e-03
4.076811594202898625e+00,3.178215617853865638e-01,3.798349835051947638e-03
4.147826086956521330e+00,3.176666858971468610e-01,4.872116956064923531e-03
4.218840579710144922e+00,3.072044562056426287e-01,1.069385572552144191e-02
4.289855072463767627e+00,3.161112517468978589e-01,9.194334050544528819e-03
4.360869565217391219e+00,3.203071827179562736e-01,2.042641325906909087e-03
4.431884057971013924e+00,3.185381904739394421e-01,3.596629606733693727e-03
4.502898550724637516e+00,3.070743199007612279e-01,7.062590560012993110e-03
4.573913043478260221e+00,3.094553137024789180e-01,1.193878135274189546e-02
4.644927536231883813e+00,3.122305406095229330e-01,1.254456029819724615e-02
4.715942028985507406e+00,3.197747966046745050e-01,3.273374037000502390e-03
4.786956521739130110e+00,3.113962356252716335e-01,1.024910638057820005e-02
4.857971014492753703e+00,3.071470024420757672e-01,9.071454274522475561e-03
4.928985507246376407e+00,3.181817967777136880e-01,3.440860056073889034e-03
5.000000000000000000e+00,3.240093694562695692e-01,2.956863848799931062e-03
