lens,lMeans,lStds
1.000000000000000000e+00,2.942285800184236133e-01,1.610602959789288885e-02
2.263157894736842035e+00,3.020339863990438856e-01,2.694716082596177592e-02
3.526315789473684070e+00,3.060164735933342817e-01,9.554363631636643775e-03
4.789473684210525661e+00,3.112106156080221564e-01,7.114320287003039756e-03
6.052631578947368141e+00,3.116535931536036919e-01,5.387471459575146615e-03
7.315789473684210620e+00,3.108917763837018011e-01,4.652277537838303209e-03
8.578947368421051323e+00,3.109714522379931623e-01,3.397024364821988815e-03
9.842105263157893802e+00,3.089544393448408477e-01,4.648760028775763067e-03
1.110526315789473628e+01,3.105354335537283128e-01,3.028670148266251940e-03
1.236842105263157876e+01,3.103322770145290344e-01,2.447321471027204352e-03
1.363157894736842124e+01,3.094758435968694155e-01,2.545057842007026911e-03
1.489473684210526194e+01,3.094718425286998031e-01,3.152383383046455587e-03
1.615789473684210265e+01,3.098030910532292848e-01,2.306164359472659842e-03
1.742105263157894512e+01,3.095918389343168542e-01,2.288264862202828154e-03
1.868421052631578760e+01,3.094059880332641899e-01,3.574047907947369099e-03
1.994736842105263008e+01,3.092410674387676139e-01,2.690902354968314081e-03
2.121052631578947256e+01,3.090487669426190687e-01,3.818970759749881153e-03
2.247368421052631504e+01,3.091243889567146796e-01,2.874447303986235082e-03
2.373684210526315752e+01,3.117556455077606925e-01,4.713783168069896577e-03
2.500000000000000000e+01,3.104147159968700942e-01,4.306826249545426567e-03
