fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.661367143845457583e+00,1.592221467391303991e+00,1.609813208450853850e+00,6.019139139139140227e-01,6.280533333333334634e-01,6.211900826446281609e-01,6.170524432972918083e-01,1.106518131866952512e-02,4.656000000000000583e+00
1.687694347185836996e+00,1.604330990965151083e+00,1.633478259348779105e+00,5.925243523316056082e-01,6.233127737552517367e-01,6.121905781584575656e-01,6.093425680817716739e-01,1.272962671585951486e-02,6.163500000000000867e+00
1.710109447004606320e+00,1.682237840736599876e+00,1.702908986175113215e+00,5.847578947368428093e-01,5.944462642465175861e-01,5.872304439746307558e-01,5.888115343193304208e-01,4.110232024884220674e-03,7.676000000000000156e+00
1.709527363746717432e+00,1.743459177727027187e+00,1.752878112772268127e+00,5.849570011025336802e-01,5.735723627918345446e-01,5.704903225806430278e-01,5.763398954916704175e-01,6.221769565936939930e-03,9.157500000000000639e+00
1.788122178577704169e+00,2.187650638708123374e+00,1.821344120693355606e+00,5.592459016393460658e-01,4.571113788948181766e-01,5.490450643776841888e-01,5.218007816372828289e-01,4.593149529892185529e-02,1.066450000000000031e+01
2.167582467631600007e+00,2.103512021333484139e+00,2.103119048519879630e+00,4.613434620979592338e-01,4.753954291005514365e-01,4.754842578710767320e-01,4.707410496898624674e-01,6.645196864314278050e-03,1.215749999999999886e+01
2.171342000850000176e+00,2.186766279043587335e+00,2.198457703070029190e+00,4.605446767982828149e-01,4.572962412962413015e-01,4.548643344848314340e-01,4.575684175264518316e-01,2.326962558746955515e-03,1.367299999999999827e+01
2.183498327533227368e+00,2.148698899290943043e+00,2.156046220900798005e+00,4.579806576402254970e-01,4.653979207277453289e-01,4.638119490695329916e-01,4.623968424791679577e-01,3.189131848841416858e-03,1.517500000000000071e+01
2.017488210115977232e+00,2.506360510669968900e+00,2.152272682265825132e+00,4.956658457709222643e-01,3.989849009122364842e-01,4.646251417117094329e-01,4.530919627982893938e-01,4.030353116521989687e-02,1.664649999999999963e+01
1.845726065487335754e+00,2.425270131713857413e+00,2.087609882806219286e+00,5.417922077922030510e-01,4.123252032520325350e-01,4.790167014613736507e-01,4.777113708352030419e-01,5.286274196560905581e-02,1.818249999999999744e+01
1.911544601520582143e+00,2.398916184971097376e+00,2.083716055237216480e+00,5.231371526484535073e-01,4.168549140086143523e-01,4.799118370694499536e-01,4.733013012421725674e-01,4.364059998454587058e-02,1.967099999999999937e+01
1.893967763476676724e+00,2.299730312408916788e+00,2.281120291202455075e+00,5.279920911453858112e-01,4.348335953151489797e-01,4.383810901409616045e-01,4.670689255338321133e-01,4.310352082281592584e-02,2.116749999999999687e+01
1.960026314540180614e+00,2.301321813370367675e+00,2.305913311223741768e+00,5.101972318338994228e-01,4.345328820116055035e-01,4.336676470588145538e-01,4.594659203014397897e-01,3.587419346580941054e-02,2.264600000000000080e+01
1.941382765530984988e+00,2.320925666015255295e+00,2.317134268536982233e+00,5.150967741935688071e-01,4.308625711899154997e-01,4.315675675675846867e-01,4.591756376503563497e-01,3.954326229322843028e-02,2.416000000000000014e+01
1.972047960206322115e+00,2.323202560892340784e+00,2.327016593043460091e+00,5.070870588235474319e-01,4.304402968701535048e-01,4.297347956131757907e-01,4.557540504356256128e-01,3.629906101284844505e-02,2.568200000000000216e+01
2.099965771483065957e+00,2.436038191605779168e+00,2.432999990749102448e+00,4.761982378854521247e-01,4.105025953393708904e-01,4.110152091254663520e-01,4.325720141167631039e-01,3.084910850640817243e-02,2.715899999999999892e+01
2.141864862730242347e+00,2.454199362356258796e+00,2.453155417617284062e+00,4.668828633405455175e-01,4.074648601651935098e-01,4.076382575757414584e-01,4.273286603604935507e-01,2.796913473463040131e-02,2.864450000000000074e+01
2.466447501199517944e+00,2.487243269468112139e+00,2.485257396346892911e+00,4.054414292271235065e-01,4.020515452892737263e-01,4.023728091383657057e-01,4.032885945515876647e-01,1.527923530007428829e-03,3.016449999999999676e+01
2.491077159829107934e+00,2.471251695094896839e+00,2.481459101296949576e+00,4.014327681719026542e-01,4.046532378651943596e-01,4.029887091338091865e-01,4.030249050569687519e-01,1.315000347273115626e-03,3.166499999999999915e+01
2.453400265728291174e+00,2.501743128107161152e+00,2.499280782508642940e+00,4.075975754829186948e-01,3.997212938310769070e-01,4.001151079136671118e-01,4.024779924092209415e-01,3.623660259947232912e-03,3.314900000000000091e+01
2.391522054317568813e+00,2.443818931391760874e+00,2.443836599255766018e+00,4.181437499999782759e-01,4.091956188548296347e-01,4.091926605504374037e-01,4.121773431350817529e-01,4.218886926351098077e-03,3.466649999999999920e+01
2.403810337378037065e+00,2.428832869564542918e+00,2.433609639081070419e+00,4.160061983470595970e-01,4.117203832881620174e-01,4.109122448979120046e-01,4.128796088443778545e-01,2.235314049995157717e-03,3.614150000000000063e+01
2.410827699504325849e+00,2.375906491654476760e+00,2.373431199512014533e+00,4.147953004711217306e-01,4.208919852328211753e-01,4.213309407096373360e-01,4.190060754711934510e-01,2.982855461195780752e-03,3.764900000000000091e+01
2.338036873004370353e+00,2.388512564955268314e+00,2.384385621588157367e+00,4.277092511013322884e-01,4.186706047404560316e-01,4.193952483801400843e-01,4.219250347406428570e-01,4.100743532709207918e-03,3.916450000000000387e+01
2.338517405804458882e+00,2.375740932078958423e+00,2.374693365673257173e+00,4.276213627993058486e-01,4.209213161659516866e-01,4.211070003627548908e-01,4.232165597760040865e-01,3.115588431399062171e-03,4.063899999999999579e+01
2.368611843830200403e+00,2.773733571645577545e+00,2.781108320466565864e+00,4.221882123087481453e-01,3.605248933143669898e-01,3.595688785801185450e-01,3.807606614010778934e-01,2.929630206128107719e-02,4.217000000000000171e+01
2.531205619873044821e+00,2.703953497502995962e+00,2.696677693082313976e+00,3.950686550902000604e-01,3.698288454011742776e-01,3.708266666666403810e-01,3.785747223860049249e-01,1.167008351462099115e-02,4.366049999999999898e+01
2.510169283152086539e+00,2.604582064194984170e+00,2.598953405707304931e+00,3.983795063989761243e-01,3.839387569111118448e-01,3.847702686027378305e-01,3.890295106376086554e-01,6.620154503560606897e-03,4.516050000000000608e+01
2.586519200443230471e+00,2.602600937612445708e+00,2.586519200443230471e+00,3.866199794026807246e-01,3.842310150388912326e-01,3.866199794026807246e-01,3.858236579480842643e-01,1.126168601099037389e-03,4.666700000000000159e+01
2.505844213126502407e+00,2.517171440430303608e+00,2.505844213126502407e+00,3.990671067106425496e-01,3.972713117343539824e-01,3.990671067106425496e-01,3.984685083852130272e-01,8.465458702362541315e-04,4.815999999999999659e+01
