fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.703437759376146721e+00,1.587019194852430148e+00,1.627836650130935370e+00,5.870481586402264140e-01,6.301121015067404629e-01,6.143122529644265972e-01,6.104908377037978617e-01,1.778722771631789656e-02,3.626999999999998892e+00
1.632065672158573122e+00,1.679133642373392243e+00,1.678953746717825046e+00,6.127204419889538123e-01,5.955452113904035061e-01,5.956090225563944740e-01,6.012915586452506345e-01,8.081482901432091373e-03,7.492499999999999716e+00
2.051695903676914678e+00,2.103542271275354647e+00,2.105373994180089969e+00,4.874016652311220499e-01,4.753885926873772649e-01,4.749749938796203330e-01,4.792550839327065493e-01,5.762977016103995598e-03,1.097949999999999982e+01
2.025717056759567480e+00,2.026910213839027364e+00,2.007056408334965791e+00,4.936523571557654422e-01,4.933617647058823885e-01,4.982421001458499643e-01,4.950854073358326168e-01,2.235269277677562599e-03,1.412299999999999933e+01
1.933130754245112382e+00,1.951859601814075029e+00,1.922520815967148078e+00,5.172955827245633298e-01,5.123319315951779807e-01,5.201504148588047549e-01,5.165926430595153551e-01,3.230352226969097299e-03,1.707199999999999918e+01
1.864607554951130286e+00,1.862690137160369908e+00,1.853639275216123705e+00,5.363058823529270880e-01,5.368579454253609162e-01,5.394792899408142883e-01,5.375477059063674679e-01,1.384306341477870147e-03,1.994650000000000034e+01
1.998562831222442604e+00,1.978606160192483587e+00,1.960388035569879062e+00,5.003595505618100292e-01,5.054062906095053709e-01,5.101030927835177309e-01,5.052896446516110807e-01,3.978639505004189468e-03,2.275300000000000011e+01
2.020202020201987025e+00,2.017782776656706911e+00,2.017927017926984590e+00,4.950000000000081557e-01,4.955934858641792284e-01,4.955580608793768715e-01,4.953838489145214186e-01,2.718071917945015536e-04,2.552050000000000196e+01
2.471396094215869699e+00,2.452229900683508212e+00,2.450432319618374155e+00,4.046295947219590849e-01,4.077921077959577589e-01,4.080912547528503520e-01,4.068376524235890468e-01,1.566101600737774061e-03,2.820100000000000051e+01
2.484540902146100017e+00,2.503397467992275249e+00,2.498999918065475612e+00,4.024888457808115105e-01,3.994571428571428440e-01,4.001600771456285122e-01,4.007020219278609185e-01,1.295655243390260577e-03,3.082549999999999812e+01
2.477134146341482435e+00,2.504006410256410131e+00,2.501563477173252448e+00,4.036923076923045750e-01,3.993599999999999928e-01,3.997499999999969411e-01,4.009341025641005030e-01,1.956833606780408741e-03,3.339699999999999847e+01
