lens,lMeans,lStds
1.000000000000000000e+00,2.942285800184236133e-01,1.610602959789288885e-02
1.242424242424242431e+00,3.203855180762161803e-01,3.644218445484994490e-02
1.484848484848484862e+00,2.916701926870035044e-01,1.291165660028081690e-02
1.727272727272727293e+00,3.010660139193432894e-01,1.414654813823190867e-02
1.969696969696969724e+00,3.007860446856385206e-01,1.340333303710185622e-02
2.212121212121211933e+00,3.049921106927231951e-01,1.226942590983657461e-02
2.454545454545454586e+00,3.060215303758389571e-01,1.110459080904744114e-02
2.696969696969697239e+00,3.026627455579286030e-01,1.208706512607444529e-02
2.939393939393939448e+00,3.083554166830755339e-01,9.122040303099389000e-03
3.181818181818181657e+00,3.100202439750928685e-01,9.056443267356112034e-03
3.424242424242424310e+00,3.094076076953992116e-01,8.569809965955082695e-03
3.666666666666666963e+00,3.092127070659700383e-01,7.828094893259246803e-03
3.909090909090909172e+00,3.110714610619968457e-01,7.430561912131927738e-03
4.151515151515151381e+00,3.094746892787973991e-01,8.897768287573293647e-03
4.393939393939394478e+00,3.129100510472759278e-01,6.945638418445507917e-03
4.636363636363636687e+00,3.120099056347694910e-01,7.562754243895319396e-03
4.878787878787878896e+00,3.120559479036549289e-01,6.356715473229078948e-03
5.121212121212121104e+00,3.098628911453292778e-01,1.124885053088066876e-02
5.363636363636363313e+00,3.125892287208956732e-01,6.600509173723047296e-03
5.606060606060606410e+00,3.107290466190058553e-01,5.210043531769553010e-03
5.848484848484848619e+00,3.111338142564246123e-01,5.695118807823165014e-03
6.090909090909090828e+00,3.113175483590948089e-01,5.280624437262379338e-03
6.333333333333333925e+00,3.114508906333898763e-01,5.121187010088634924e-03
6.575757575757576134e+00,3.105592590713130430e-01,4.887252731951969437e-03
6.818181818181818343e+00,3.106373429502104488e-01,5.412278149486251903e-03
7.060606060606060552e+00,3.113636066370032429e-01,4.748151687648731294e-03
7.303030303030302761e+00,3.108372306790137540e-01,4.468531625717080125e-03
7.545454545454545858e+00,3.105698309278859259e-01,3.772378763468337871e-03
7.787878787878788067e+00,3.110451307446543412e-01,4.319077112244833379e-03
8.030303030303031164e+00,3.112257762903153924e-01,4.263225770731784645e-03
8.272727272727273373e+00,3.107671076391289589e-01,3.440762861868733920e-03
8.515151515151515582e+00,3.109783573135349033e-01,3.584527429768820904e-03
8.757575757575757791e+00,3.107954733166737871e-01,3.591315031622239421e-03
9.000000000000000000e+00,3.109307709985091317e-01,3.762002960962196503e-03
9.242424242424242209e+00,3.107323412705739196e-01,3.507571660540761537e-03
9.484848484848484418e+00,3.105447860451724384e-01,3.153680832985245736e-03
9.727272727272726627e+00,3.104500875309139096e-01,2.952328951984511344e-03
9.969696969696970612e+00,3.107496491344583500e-01,3.235751687076922952e-03
1.021212121212121282e+01,3.105577881374148030e-01,3.162432321755648777e-03
1.045454545454545503e+01,3.105897575282920986e-01,2.981820050443621545e-03
1.069696969696969724e+01,3.105738166824095758e-01,3.061859542920502501e-03
1.093939393939393945e+01,3.109317864294992018e-01,2.869233713656306473e-03
1.118181818181818166e+01,3.105858198314496721e-01,2.738964409896209838e-03
1.142424242424242387e+01,3.101732069214141463e-01,2.382728937475514942e-03
1.166666666666666785e+01,3.099496187183083395e-01,2.637938366560114989e-03
1.190909090909091006e+01,3.104750257254752510e-01,2.246905006967818245e-03
1.215151515151515227e+01,3.105959504558823414e-01,1.937842391910738404e-03
1.239393939393939448e+01,3.103337796590414643e-01,2.301063028848807351e-03
1.263636363636363669e+01,3.098759517204045522e-01,2.563387226881697761e-03
1.287878787878787890e+01,3.102125160139257432e-01,2.345407875883471095e-03
1.312121212121212110e+01,3.106204810277013451e-01,1.638595073934875869e-03
1.336363636363636331e+01,3.107468009693200028e-01,1.741265637115325211e-03
1.360606060606060552e+01,3.095343715426064901e-01,2.589907785829009736e-03
1.384848484848484951e+01,3.094931446204206016e-01,2.513098028332797981e-03
1.409090909090909172e+01,3.101002342745020623e-01,2.147803257145826112e-03
1.433333333333333393e+01,3.098699926736839805e-01,1.977835890656786440e-03
1.457575757575757613e+01,3.097481933289489842e-01,2.436606476976485667e-03
1.481818181818181834e+01,3.094201048573585466e-01,2.778957630844407830e-03
1.506060606060606055e+01,3.098536763819612627e-01,2.298975105629823875e-03
1.530303030303030276e+01,3.092258773135290739e-01,3.181573270589821423e-03
1.554545454545454675e+01,3.094326238632098547e-01,2.666138835347863553e-03
1.578787878787878896e+01,3.095055109648355840e-01,2.407795822452971513e-03
1.603030303030303116e+01,3.095100370666506451e-01,2.801312118980563495e-03
1.627272727272727337e+01,3.093633561024395351e-01,2.946891367798401204e-03
1.651515151515151558e+01,3.094697644324346797e-01,2.715711267870036909e-03
1.675757575757575779e+01,3.096841735798749884e-01,2.320009344549791956e-03
1.700000000000000000e+01,3.096903390222830454e-01,2.184364214589705651e-03
1.724242424242424221e+01,3.090943277541053358e-01,3.247612072095685306e-03
1.748484848484848442e+01,3.098145477965225658e-01,1.932862188083843457e-03
1.772727272727272663e+01,3.097269502185060475e-01,1.812758416767463457e-03
1.796969696969696884e+01,3.102113452487768042e-01,2.804617679618363457e-03
1.821212121212121104e+01,3.092616425840735705e-01,2.963811107319577060e-03
1.845454545454545325e+01,3.097480790777576432e-01,3.328467532575540410e-03
1.869696969696969902e+01,3.094415104494731006e-01,3.594360362665193018e-03
1.893939393939394122e+01,3.094818856419220277e-01,2.499121367964704694e-03
1.918181818181818343e+01,3.090669690137864412e-01,3.037267452129930895e-03
1.942424242424242564e+01,3.092213335141349440e-01,2.478747812384196701e-03
1.966666666666666785e+01,3.093623181058833826e-01,2.271519336500699322e-03
1.990909090909091006e+01,3.094649004343314469e-01,2.508178636808830290e-03
2.015151515151515227e+01,3.096442926356922087e-01,3.421296741456323742e-03
2.039393939393939448e+01,3.095744727215768433e-01,3.240718801201287677e-03
2.063636363636363669e+01,3.092784137430634184e-01,2.667291370553198388e-03
2.087878787878787890e+01,3.091723581956044575e-01,2.699778748039278423e-03
2.112121212121212110e+01,3.094379209075940884e-01,3.552100971475127215e-03
2.136363636363636331e+01,3.092709329517052685e-01,3.668239785465769037e-03
2.160606060606060552e+01,3.097685732501672118e-01,3.196122194706046016e-03
2.184848484848484773e+01,3.101095354425960626e-01,3.887341029181968360e-03
2.209090909090908994e+01,3.095986941976222040e-01,3.278604213010470007e-03
2.233333333333333570e+01,3.101724548337544962e-01,3.466516815270075623e-03
2.257575757575757791e+01,3.096985106764173490e-01,3.405246758970188140e-03
2.281818181818182012e+01,3.110295486462328340e-01,4.560261951335057955e-03
2.306060606060606233e+01,3.097526740079891150e-01,3.990492923334698627e-03
2.330303030303030454e+01,3.105929381807266965e-01,4.783153398707292066e-03
2.354545454545454675e+01,3.102287613964055391e-01,2.734609753026287417e-03
2.378787878787878896e+01,3.109284602601579128e-01,3.846901992918694974e-03
2.403030303030303116e+01,3.109868866491096728e-01,3.820297692384311185e-03
