shifts,lMeans,lStds
1.000000000000000056e-01,3.103691734016781334e-01,1.287744194355924798e-02
1.710144927536231818e-01,3.089533006857098085e-01,8.339848211220423496e-03
2.420289855072463858e-01,3.110306913664122042e-01,1.003484443368091866e-02
3.130434782608695343e-01,3.094670747530787747e-01,7.150214540375589116e-03
3.840579710144927938e-01,3.090782405038820513e-01,9.399562104790539288e-03
4.550724637681159424e-01,3.116149583120951805e-01,7.203083038752482875e-03
5.260869565217390909e-01,3.099435444651175153e-01,7.579594239360725946e-03
5.971014492753623504e-01,3.124169324945235138e-01,8.452945488736950119e-03
6.681159420289854989e-01,3.121487313600415647e-01,8.153478870915000301e-03
7.391304347826086474e-01,3.110505015433038256e-01,9.551313438095973204e-03
8.101449275362319069e-01,3.111553768619517157e-01,6.072088805800075761e-03
8.811594202898550554e-01,3.097414877994560389e-01,7.855463886751430994e-03
9.521739130434782039e-01,3.124273776340721342e-01,6.624029737754744476e-03
1.023188405797101463e+00,3.146776400439534882e-01,1.571857059536816217e-02
1.094202898550724612e+00,3.134768150235557882e-01,9.000023904690601304e-03
1.165217391304347982e+00,3.082179232446445316e-01,9.597216971875805955e-03
1.236231884057971131e+00,3.121877866009879487e-01,5.852366815226358113e-03
1.307246376811594279e+00,3.084087653274538154e-01,7.689571504852959864e-03
1.378260869565217428e+00,3.090557218444690002e-01,8.519681620097330557e-03
1.449275362318840799e+00,3.123290611797487348e-01,7.338282070613270230e-03
1.520289855072463947e+00,3.108243501333179393e-01,6.885507445403561168e-03
1.591304347826087096e+00,3.107166833560200403e-01,6.653818293130915953e-03
1.662318840579710244e+00,3.109535190172105223e-01,7.249311008379928298e-03
1.733333333333333393e+00,3.119225849514807303e-01,6.451744567773613423e-03
1.804347826086956541e+00,3.084931768279641773e-01,6.691642426281739324e-03
1.875362318840579912e+00,3.139126889440015389e-01,9.689776896191486244e-03
1.946376811594203060e+00,3.113481742704168886e-01,6.261545617259481680e-03
2.017391304347825987e+00,3.107951873927031206e-01,7.144017538074924796e-03
2.088405797101449135e+00,3.095761367950903842e-01,6.727608941575167166e-03
2.159420289855072728e+00,3.109045853041337293e-01,3.417750945112199221e-03
2.230434782608695876e+00,3.108837314434439447e-01,8.096889075050664811e-03
2.301449275362319025e+00,3.124856156674059027e-01,8.389536298410866719e-03
2.372463768115942173e+00,3.131593450535212209e-01,7.669846275503124783e-03
2.443478260869565322e+00,3.047290161067743308e-01,6.962051157838105783e-03
2.514492753623188470e+00,3.098633647260758406e-01,5.166976853826526182e-03
2.585507246376811619e+00,3.112231756309886133e-01,8.218988029598660316e-03
2.656521739130434767e+00,3.111832780108804153e-01,4.525689421207607262e-03
2.727536231884057916e+00,3.116823653022766094e-01,5.577782110675170296e-03
2.798550724637681508e+00,3.101653254478200505e-01,6.198263200419934851e-03
2.869565217391304657e+00,3.102878579794244307e-01,4.124967378951605555e-03
2.940579710144927805e+00,3.135673256388681329e-01,7.381443898307810635e-03
3.011594202898550954e+00,3.131256224052643700e-01,8.137522846548259775e-03
3.082608695652174102e+00,3.130025645340113738e-01,4.064420178218491192e-03
3.153623188405797251e+00,3.053852201256368470e-01,8.414913882249089316e-03
3.224637681159420399e+00,3.115833408472229449e-01,2.953571950316084826e-03
3.295652173913043548e+00,3.072115914425735395e-01,6.743574485277318772e-03
3.366666666666666696e+00,3.089822474921899986e-01,3.991970527617121067e-03
3.437681159420289845e+00,3.086502625296875801e-01,4.303001152059762226e-03
3.508695652173912993e+00,3.116373582709164869e-01,5.199011278043717300e-03
3.579710144927536586e+00,3.101229068162943414e-01,8.622443775507724478e-03
3.650724637681159734e+00,3.077683354489970102e-01,8.199402600402444508e-03
3.721739130434782883e+00,3.102284802053471569e-01,5.782622574884987987e-03
3.792753623188406031e+00,3.112714278056928352e-01,5.090343196900268437e-03
3.863768115942029180e+00,3.068163916232926058e-01,3.258194225099036480e-03
3.934782608695652328e+00,3.113199090127554691e-01,5.299960922151587990e-03
4.005797101449275033e+00,3.048594633213448923e-01,8.434250788092895537e-03
4.076811594202898625e+00,3.071947372173404189e-01,2.142763696547735509e-03
4.147826086956521330e+00,3.086407197811701919e-01,3.726953091824445913e-03
4.218840579710144922e+00,3.154919422087659742e-01,6.752855042008863717e-03
4.289855072463767627e+00,3.093881044683768899e-01,2.784203011824208564e-03
4.360869565217391219e+00,3.082529050093539280e-01,5.486041773484958035e-03
4.431884057971013924e+00,3.133299362372330976e-01,6.963209549196905553e-03
4.502898550724637516e+00,3.102157569546661886e-01,7.990130928754259065e-03
4.573913043478260221e+00,3.073763204838161345e-01,3.222647178528034295e-03
4.644927536231883813e+00,3.067331868984011223e-01,6.004141790122471956e-03
4.715942028985507406e+00,3.040479430344487644e-01,8.487728573398509169e-03
4.786956521739130110e+00,3.119785226602035944e-01,6.793235819414318415e-03
4.857971014492753703e+00,3.087649024469309444e-01,3.559974792034740782e-03
4.928985507246376407e+00,3.115178115379136359e-01,6.201564425591257236e-03
5.000000000000000000e+00,3.132920104882646051e-01,7.085814089596105883e-03
