fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.500053216965568259e+00,1.437211546756383296e+00,1.505042307487626685e+00,6.666430155210644193e-01,6.957917936694023586e-01,6.644331491712708315e-01,6.756226527872458698e-01,1.429024283125132112e-02,4.656000000000000583e+00
1.803835640693639553e+00,1.631475135873112992e+00,1.661815861211624945e+00,5.543742331288366021e-01,6.129422251138582078e-01,6.017513873473941954e-01,5.896892818633631128e-01,2.538599630794256476e-02,8.637499999999999289e+00
1.952161762288337599e+00,1.955850057115880336e+00,1.937777412460949922e+00,5.122526315789491802e-01,5.112866379310343490e-01,5.160551431601291261e-01,5.131981375567042925e-01,2.058340220574810669e-03,1.267699999999999960e+01
1.833496708451105572e+00,1.879770383002476786e+00,1.839915016648717483e+00,5.454059423126951245e-01,5.319798678829820160e-01,5.435033634441623906e-01,5.402963912132798807e-01,5.931743521949673324e-03,1.664649999999999963e+01
2.028186641982761440e+00,1.816306936428587093e+00,1.804779474075372869e+00,4.930512701840876755e-01,5.505677371723882718e-01,5.540843157651277329e-01,5.325677743738679304e-01,2.797924419738575391e-02,2.067050000000000054e+01
1.855680038146965583e+00,1.925401920794121757e+00,1.925833795686668015e+00,5.388860037523356405e-01,5.193720797720796645e-01,5.192556087860342728e-01,5.258378974368165260e-01,9.226526980703156355e-03,2.464300000000000068e+01
1.995511840656484015e+00,2.022927435573265598e+00,2.025711670608211890e+00,5.011245634458474374e-01,4.943331047940510148e-01,4.936536697247511096e-01,4.963704459882165021e-01,3.373092804737904196e-03,2.864450000000000074e+01
2.468601126028485471e+00,2.495815506911088111e+00,2.499879697800775791e+00,4.050877192982617614e-01,4.006706414119672877e-01,4.000192492781680653e-01,4.019258699961323344e-01,2.251524844044728180e-03,3.267350000000000421e+01
2.331521577712594606e+00,2.525304312556680753e+00,2.536952884453725687e+00,4.289044585986969138e-01,3.959918790886533535e-01,3.941736585365585022e-01,4.063566654079696083e-01,1.596096728110741464e-02,3.665399999999999636e+01
2.240325514732006695e+00,2.467507749197888067e+00,2.472885256745709803e+00,4.463637062668647237e-01,4.052672176308543261e-01,4.043859282480373185e-01,4.186722840485854746e-01,1.958409756404967325e-02,4.063899999999999579e+01
2.452977931188638827e+00,2.397151971928477732e+00,2.399710223670969977e+00,4.076677524430194488e-01,4.171617034340601160e-01,4.167169811320987072e-01,4.138488123363927573e-01,4.374438671461478891e-03,4.465449999999999875e+01
2.740536713789571088e+00,2.376759165187518175e+00,2.369969690936087225e+00,3.648920282542815197e-01,4.207409882528436174e-01,4.219463243873897151e-01,4.025264469648382470e-01,2.661610180023162367e-02,4.865399999999999636e+01
2.649083059602608259e+00,2.626400459638033702e+00,2.618506025336471144e+00,3.774891075518074235e-01,3.807492480175008742e-01,3.818971544552786090e-01,3.800451700081956541e-01,1.867175006650581342e-03,5.264399999999999835e+01
2.723518739767403218e+00,2.718804091266721290e+00,2.706208239302779983e+00,3.671720650930432317e-01,3.678087741636760777e-01,3.695207136970498629e-01,3.681671843179230574e-01,9.917596971296632844e-04,5.666949999999999932e+01
2.743744607420612880e+00,2.760548790253832152e+00,2.775381075640347195e+00,3.644654088049752438e-01,3.622468124926891964e-01,3.603108808289600118e-01,3.623410340422081322e-01,1.697387001868581749e-03,6.067199999999999704e+01
2.974059755632010305e+00,2.953702029032108989e+00,2.944229667812230833e+00,3.362407221664893697e-01,3.385581856839118831e-01,3.396474164133636009e-01,3.381487747545883216e-01,1.420587766784980194e-03,6.465500000000000114e+01
3.017982518985829810e+00,3.044383382173363906e+00,3.035893394469424855e+00,3.313471810088689518e-01,3.284737414661970112e-01,3.293923303834479510e-01,3.297377509528379713e-01,1.198234876437274813e-03,6.866550000000000864e+01
3.047608840069683911e+00,3.022574867716433911e+00,3.035539102089209962e+00,3.281260990098502361e-01,3.308437487126674736e-01,3.294307753478615819e-01,3.294668743567930602e-01,1.109769444716644186e-03,7.266700000000000159e+01
3.050228767157043386e+00,2.995895083192690489e+00,3.009600720053517087e+00,3.278442622951350249e-01,3.337900601426641578e-01,3.322699896158377575e-01,3.313014373512123134e-01,2.522128483100973505e-03,7.666499999999999204e+01
3.160299773006142843e+00,3.125379333525233783e+00,3.144545536849582046e+00,3.164256785199776045e-01,3.199611609615598540e-01,3.180109775105586234e-01,3.181326056640320643e-01,1.445914723043768921e-03,8.066300000000001091e+01
3.167984757132647822e+00,3.131298236834134219e+00,3.138621355676217473e+00,3.156580844489614845e-01,3.193563577677734355e-01,3.186112266111658653e-01,3.178752229426335951e-01,1.596993516002034397e-03,8.466599999999999682e+01
3.052283826487394158e+00,3.091071401994290646e+00,3.091457522656216206e+00,3.276235294116839336e-01,3.235124233477176259e-01,3.234720168953796327e-01,3.248693232182603974e-01,1.947587736537528423e-03,8.867799999999999727e+01
3.116230503165645427e+00,3.112637656366945116e+00,3.109704365986241115e+00,3.209005235601611328e-01,3.212709317303559797e-01,3.215739769149568161e-01,3.212484774018246614e-01,2.753942663694302424e-04,9.264750000000000796e+01
3.011184399197881056e+00,3.021269705797203553e+00,3.011184399197881056e+00,3.320952380951428529e-01,3.309866702999745280e-01,3.320952380951428529e-01,3.317257154967533928e-01,5.225838702456947005e-04,9.665200000000000102e+01
3.049520504343267380e+00,3.076745123418938910e+00,3.085474122293724086e+00,3.279204053803717600e-01,3.250187974260216328e-01,3.240992989617445530e-01,3.256795005893793338e-01,1.628416422616698082e-03,1.006580000000000013e+02
