fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.500762445229409714e+00,1.439769991206328426e+00,1.458940555008654494e+00,6.663279742765271241e-01,6.945553846153843525e-01,6.854288864388089486e-01,6.821040817769068454e-01,1.176116258820843544e-02,3.626999999999998892e+00
1.686167296650017633e+00,1.699058637050962162e+00,1.678953746717825046e+00,5.930609625668483709e-01,5.885612057131173191e-01,5.956090225563944740e-01,5.924103969454533880e-01,2.913801329866888296e-03,7.492499999999999716e+00
2.000005890599783065e+00,1.915798095432160952e+00,1.938375490392433953e+00,4.999985273543915976e-01,5.219756728980474714e-01,5.158959164292491462e-01,5.126233722272294235e-01,9.265739428215754789e-03,1.097949999999999982e+01
1.866064842460195328e+00,1.919230608728829113e+00,1.907532950070421895e+00,5.358870588235364885e-01,5.210421277421860564e-01,5.242373401534595745e-01,5.270555089063940768e-01,6.379631705280128760e-03,1.412299999999999933e+01
1.835519322087840077e+00,1.822024151582540163e+00,1.807933482565132532e+00,5.448049431931527575e-01,5.488401452480410336e-01,5.531176946737994538e-01,5.489209277049977853e-01,3.394147281106348838e-03,1.707199999999999918e+01
2.077392181810259419e+00,2.064481568686076685e+00,2.073004869916256876e+00,4.813727560717930842e-01,4.843831086544609921e-01,4.823915343915217147e-01,4.827157997059252637e-01,1.250177764316675157e-03,1.994650000000000034e+01
1.922213239917315741e+00,1.969519564738097861e+00,1.973861492859019240e+00,5.202336448598258167e-01,5.077380382017061544e-01,5.066211604095687271e-01,5.115309478237002327e-01,6.170605360772107514e-03,2.275300000000000011e+01
1.865501865501834722e+00,1.946377221775019706e+00,1.954226954226921942e+00,5.360487804878136808e-01,5.137750220319775574e-01,5.117112922002412523e-01,5.205116982400107561e-01,1.101863387738674996e-02,2.552050000000000196e+01
2.045132677400125942e+00,2.076960839847437068e+00,2.084730918306506808e+00,4.889658314350781021e-01,4.814727272727274410e-01,4.796782122905011714e-01,4.833722569994355900e-01,4.022530483055317824e-03,2.820100000000000051e+01
1.925458953263563311e+00,1.988205525304010068e+00,1.985704852927629771e+00,5.193566958698582203e-01,5.029661105318039560e-01,5.035995145631271264e-01,5.086407736549297676e-01,7.581712289187358955e-03,3.082549999999999812e+01
2.403846153846172395e+00,2.466818196242700711e+00,2.479577079424659214e+00,4.159999999999968168e-01,4.053805025125629125e-01,4.032945812807851027e-01,4.082250279311149810e-01,5.563296975128766489e-03,3.339699999999999847e+01
2.397908425750510997e+00,2.381143152012276776e+00,2.380221008489969758e+00,4.170301039277654054e-01,4.199663506811471825e-01,4.201290537446384366e-01,4.190418361178503415e-01,1.424059426471922102e-03,3.591799999999999926e+01
2.313539465039068155e+00,2.299035744231545664e+00,2.288059955512206312e+00,4.322381420811912678e-01,4.349649641198817807e-01,4.370514844206254690e-01,4.347515302072328391e-01,1.970825824444996915e-03,3.837000000000000455e+01
2.245084728387365391e+00,2.208177927753109948e+00,2.221616943770075903e+00,4.454174879708417967e-01,4.528620576411300780e-01,4.501226022803929694e-01,4.494673826307882814e-01,3.074344264594225124e-03,4.080199999999999960e+01
2.409415498545120382e+00,2.350421699138972365e+00,2.356519439301539176e+00,4.150384193194702198e-01,4.254555684055882359e-01,4.243546576880329324e-01,4.216162151376971479e-01,4.672868460358484133e-03,4.319350000000000023e+01
2.464828079865272858e+00,2.407581692007429996e+00,2.424901059133113712e+00,4.057078090633647327e-01,4.153545457334844593e-01,4.123879595967900880e-01,4.111501047978797785e-01,4.034360376651805954e-03,4.554649999999999466e+01
2.288578901481910677e+00,2.324660100379360994e+00,2.343068875326717926e+00,4.369523809524223368e-01,4.301704149509040787e-01,4.267906976744590408e-01,4.313044978592617817e-01,4.225285772795459201e-03,4.784100000000000819e+01
