lens,lMeans,lStds
1.000000000000000000e+00,3.129360071353068928e-01,1.940233538452924844e-02
1.242424242424242431e+00,3.013110875712981529e-01,1.753117566714687894e-02
1.484848484848484862e+00,2.895058256153157372e-01,2.788462747891168325e-02
1.727272727272727293e+00,3.221799522051513875e-01,4.628040066553036624e-02
1.969696969696969724e+00,3.101869930560873789e-01,1.828089222176668832e-02
2.212121212121211933e+00,2.944044879272454951e-01,2.831714307843331488e-02
2.454545454545454586e+00,3.081425185897418428e-01,2.189115667892523390e-02
2.696969696969697239e+00,2.920589104726674101e-01,3.294116142993025464e-02
2.939393939393939448e+00,3.143956220264678136e-01,2.337572298816075964e-02
3.181818181818181657e+00,3.107369308376408124e-01,2.675451565514190555e-02
3.424242424242424310e+00,3.308984392459940471e-01,2.798790864323283389e-02
3.666666666666666963e+00,3.102397353939650992e-01,2.430438950379253116e-02
3.909090909090909172e+00,3.216040627344027847e-01,1.035177732942078876e-02
4.151515151515151381e+00,3.265759548062407980e-01,1.369321124646390685e-02
4.393939393939394478e+00,3.265043731872709354e-01,1.373591732845273576e-02
4.636363636363636687e+00,3.245628783910481374e-01,8.390546730220924121e-03
4.878787878787878896e+00,3.247247429486874171e-01,8.319075639208863351e-03
5.121212121212121104e+00,3.233145200908925099e-01,8.265210513622731417e-03
5.363636363636363313e+00,3.235196722193842134e-01,7.905287232703473235e-03
5.606060606060606410e+00,3.243821294122629095e-01,7.462182387898768157e-03
5.848484848484848619e+00,3.243505464912694314e-01,6.751497749542092856e-03
6.090909090909090828e+00,3.249579688665301669e-01,7.618650834065178283e-03
6.333333333333333925e+00,3.241133345286325018e-01,6.777441743837261251e-03
6.575757575757576134e+00,3.243325076259848672e-01,6.698929498035767309e-03
6.818181818181818343e+00,3.238393115210904116e-01,6.297100838505014474e-03
7.060606060606060552e+00,3.242170107136788104e-01,6.486008037775763992e-03
7.303030303030302761e+00,3.245354115962125752e-01,5.973239765994235902e-03
7.545454545454545858e+00,3.243302767774132178e-01,6.174388543247632914e-03
7.787878787878788067e+00,3.246460186105159518e-01,6.050186558691413377e-03
8.030303030303031164e+00,3.245697201954328981e-01,5.449559377641083856e-03
8.272727272727273373e+00,3.244764867252024065e-01,5.321429888874867724e-03
8.515151515151515582e+00,3.242232688086711945e-01,5.444610520480611636e-03
8.757575757575757791e+00,3.237816571803189825e-01,5.942839086814644123e-03
9.000000000000000000e+00,3.234190555145824431e-01,6.544403095864158477e-03
9.242424242424242209e+00,3.235326583998553440e-01,5.799140342116261906e-03
9.484848484848484418e+00,3.235059859017864747e-01,5.719179195840625417e-03
9.727272727272726627e+00,3.230544864344230827e-01,6.973131557903312558e-03
9.969696969696970612e+00,3.249716452887406182e-01,5.337994845710071837e-03
1.021212121212121282e+01,3.232055149076757394e-01,6.486380442031997734e-03
1.045454545454545503e+01,3.232153090990433353e-01,6.303298343934694674e-03
1.069696969696969724e+01,3.234636772063140819e-01,6.267089614797313746e-03
1.093939393939393945e+01,3.244821354992470930e-01,5.125960718967466877e-03
1.118181818181818166e+01,3.246946767798600808e-01,5.030129166078479465e-03
1.142424242424242387e+01,3.248516007676622297e-01,4.206271058284739156e-03
1.166666666666666785e+01,3.237412079727975400e-01,5.822641602224979014e-03
1.190909090909091006e+01,3.247656399316465325e-01,5.299197765794608564e-03
1.215151515151515227e+01,3.246861626363488074e-01,4.899476741714889859e-03
1.239393939393939448e+01,3.243622910817149929e-01,4.965954105895674028e-03
1.263636363636363669e+01,3.245642666584522829e-01,5.022186448436307717e-03
1.287878787878787890e+01,3.243774100420781514e-01,4.810259422849802805e-03
1.312121212121212110e+01,3.250258430763531270e-01,4.436929116800284768e-03
1.336363636363636331e+01,3.244088856611949123e-01,4.588197007840849086e-03
1.360606060606060552e+01,3.244210680277131442e-01,4.533092042030055502e-03
1.384848484848484951e+01,3.246788722051298093e-01,4.900998193906037220e-03
1.409090909090909172e+01,3.239396895889145034e-01,5.574797572582862459e-03
1.433333333333333393e+01,3.245624716419291955e-01,4.549191942726898454e-03
1.457575757575757613e+01,3.238970096128181431e-01,5.397504986104036118e-03
1.481818181818181834e+01,3.241657698979410474e-01,4.762154901141954673e-03
1.506060606060606055e+01,3.232758842640737207e-01,5.510422451235443171e-03
1.530303030303030276e+01,3.248920244288405201e-01,3.963087354306817078e-03
1.554545454545454675e+01,3.233982661189740426e-01,5.181045740184816659e-03
1.578787878787878896e+01,3.252151121424106672e-01,4.767243148951591514e-03
1.603030303030303116e+01,3.248271476420560577e-01,4.796225732309701908e-03
1.627272727272727337e+01,3.245965091608676856e-01,4.585041403142563372e-03
1.651515151515151558e+01,3.242365371524825179e-01,5.662830598902598295e-03
1.675757575757575779e+01,3.245052421603072390e-01,5.191491920810353648e-03
1.700000000000000000e+01,3.240523755111713866e-01,5.242266113458176648e-03
1.724242424242424221e+01,3.254062159113110253e-01,4.763331639410567885e-03
1.748484848484848442e+01,3.245219231383437153e-01,5.203847682552150376e-03
1.772727272727272663e+01,3.254632421192171776e-01,5.518396254382204602e-03
1.796969696969696884e+01,3.248384280260879220e-01,5.140029580614125307e-03
1.821212121212121104e+01,3.245552072908907681e-01,5.058781569040009599e-03
1.845454545454545325e+01,3.247528622561287048e-01,5.104490796601223075e-03
1.869696969696969902e+01,3.244313274156138682e-01,5.159045961597144916e-03
1.893939393939394122e+01,3.248780875275409374e-01,4.834546365606943487e-03
1.918181818181818343e+01,3.247057289776122402e-01,4.966125898499490141e-03
1.942424242424242564e+01,3.251111085071804463e-01,5.244212304788619522e-03
1.966666666666666785e+01,3.240799287818407759e-01,5.031789071229214420e-03
1.990909090909091006e+01,3.244961149624531749e-01,5.001575083840085340e-03
2.015151515151515227e+01,3.248041908122293320e-01,5.522194053873695670e-03
2.039393939393939448e+01,3.260819507195484857e-01,5.118267436011454501e-03
2.063636363636363669e+01,3.256313917387337886e-01,5.255076845078886227e-03
2.087878787878787890e+01,3.250062324573740891e-01,5.588165256579315926e-03
2.112121212121212110e+01,3.264510434873379441e-01,5.209664972634403708e-03
2.136363636363636331e+01,3.265552249513942185e-01,5.074991919956965691e-03
2.160606060606060552e+01,3.262286720885974600e-01,5.145786020683894985e-03
2.184848484848484773e+01,3.276349819864224910e-01,4.376332124482139145e-03
2.209090909090908994e+01,3.278782591007066705e-01,4.095242890815492358e-03
2.233333333333333570e+01,3.278377598018563654e-01,4.385746398344709043e-03
2.257575757575757791e+01,3.269810790440488280e-01,5.012737545674422930e-03
2.281818181818182012e+01,3.269763796297917580e-01,4.655624883822936412e-03
2.306060606060606233e+01,3.285645992590253694e-01,3.875234466668237877e-03
2.330303030303030454e+01,3.283094668352147250e-01,4.561021464991319926e-03
2.354545454545454675e+01,3.271318685880027499e-01,5.339190503989777598e-03
2.378787878787878896e+01,3.288239531014137129e-01,4.366355752993256005e-03
2.403030303030303116e+01,3.283347665283833927e-01,4.798703392426836335e-03
2.427272727272727337e+01,3.279607879719650954e-01,4.838048644102953440e-03
