shifts,lMeans,lStds
1.000000000000000056e-01,3.255281635065438439e-01,9.034616446662958877e-03
1.710144927536231818e-01,3.222834361775019918e-01,1.143406927871242970e-02
2.420289855072463858e-01,3.248679128636640656e-01,7.986492628954681289e-03
3.130434782608695343e-01,3.238824698367752664e-01,8.990778063685039498e-03
3.840579710144927938e-01,3.247995737825942753e-01,7.409827104993601393e-03
4.550724637681159424e-01,3.247205645070510571e-01,7.703853075813323591e-03
5.260869565217390909e-01,3.247665868156150437e-01,7.063582037135487934e-03
5.971014492753623504e-01,3.249259139140333041e-01,8.304628753401153626e-03
6.681159420289854989e-01,3.101490252501900580e-01,2.904509181946939370e-02
7.391304347826086474e-01,3.256412371239805204e-01,7.890073716200802709e-03
8.101449275362319069e-01,3.248320023028849479e-01,7.408443239904775532e-03
8.811594202898550554e-01,3.266680256555704043e-01,1.058685654806172834e-02
9.521739130434782039e-01,3.230503455818555802e-01,8.465729719074730278e-03
1.023188405797101463e+00,3.249753836157789344e-01,8.319598077479317330e-03
1.094202898550724612e+00,3.258830560520810105e-01,6.352625540163137075e-03
1.165217391304347982e+00,3.267604070671449867e-01,7.031840576525781247e-03
1.236231884057971131e+00,3.268646755330926190e-01,6.830224198403444906e-03
1.307246376811594279e+00,3.245337406941151692e-01,8.998034916598552507e-03
1.378260869565217428e+00,3.241445058686616143e-01,8.491817098932987265e-03
1.449275362318840799e+00,3.217327899271139047e-01,7.879489330039221584e-03
1.520289855072463947e+00,3.252628233784319867e-01,7.343022434721971359e-03
1.591304347826087096e+00,3.252842217946118608e-01,8.268795114607053673e-03
1.662318840579710244e+00,3.249013715190425255e-01,7.929068592861259271e-03
1.733333333333333393e+00,3.258366615735829308e-01,6.288602270592341843e-03
1.804347826086956541e+00,3.241955765253450306e-01,8.342023632524920088e-03
1.875362318840579912e+00,3.266946022910091063e-01,7.753020412332526853e-03
1.946376811594203060e+00,3.236701047599321313e-01,7.596722432967139768e-03
2.017391304347825987e+00,3.253467073233078377e-01,8.374763821547861337e-03
2.088405797101449135e+00,3.234966088491309510e-01,7.007935126096383194e-03
2.159420289855072728e+00,3.250614865716804358e-01,7.108527026497489867e-03
2.230434782608695876e+00,3.261656324182140021e-01,7.831703199207368238e-03
2.301449275362319025e+00,3.248975631642657680e-01,7.176405647986733131e-03
2.372463768115942173e+00,3.275145088792132397e-01,8.414208718981124047e-03
2.443478260869565322e+00,3.255714290870718730e-01,6.363361271784996956e-03
2.514492753623188470e+00,3.270319643094607431e-01,7.792278283991539191e-03
2.585507246376811619e+00,3.239928140960295355e-01,6.683959624075049184e-03
2.656521739130434767e+00,3.217632627978003756e-01,1.023556727121448240e-02
2.727536231884057916e+00,3.260207108912039353e-01,8.144607525232480660e-03
2.798550724637681508e+00,3.241895932658170332e-01,7.362079548649334837e-03
2.869565217391304657e+00,3.238913986237459408e-01,9.413074180889163464e-03
2.940579710144927805e+00,3.277759745271655589e-01,7.942942615697754644e-03
3.011594202898550954e+00,3.236424392437065034e-01,5.842031955333304785e-03
3.082608695652174102e+00,3.264767430237214274e-01,7.592025999261971421e-03
3.153623188405797251e+00,3.249580438535823457e-01,7.459293861001759993e-03
3.224637681159420399e+00,3.249548841102813945e-01,8.030020739040195921e-03
3.295652173913043548e+00,3.263619183835035908e-01,8.171871192830531747e-03
3.366666666666666696e+00,3.249815049097624642e-01,8.986053124216920526e-03
3.437681159420289845e+00,3.256184741129505844e-01,6.176803312075044433e-03
3.508695652173912993e+00,3.242866681646494609e-01,9.010040729888485131e-03
3.579710144927536586e+00,3.223230345558309451e-01,9.702218523629230554e-03
3.650724637681159734e+00,3.333656962378756528e-01,1.271733070892215600e-02
3.721739130434782883e+00,3.246287124913363464e-01,4.007480984456819779e-03
3.792753623188406031e+00,3.229292271295153838e-01,7.757392702124694429e-03
3.863768115942029180e+00,3.240252937305546643e-01,7.682473891751162055e-03
3.934782608695652328e+00,3.239726874318989980e-01,4.852408618401090647e-03
4.005797101449275033e+00,3.272052462716065202e-01,7.093667695355024110e-03
4.076811594202898625e+00,3.231176985123532797e-01,1.107368344656260543e-02
4.147826086956521330e+00,3.235094268309162135e-01,4.032033080232971280e-03
4.218840579710144922e+00,3.288215958137527539e-01,8.828841864940007236e-03
4.289855072463767627e+00,3.257071949351905138e-01,1.062140461478950151e-02
4.360869565217391219e+00,3.240782596229975221e-01,5.251185332521175753e-03
4.431884057971013924e+00,3.237375931383407179e-01,6.841987034217498521e-03
4.502898550724637516e+00,3.283957553056947032e-01,5.537061844540357158e-03
4.573913043478260221e+00,3.272677583280411140e-01,1.081203470955991244e-02
4.644927536231883813e+00,3.245623138352169978e-01,2.327088879332572195e-03
4.715942028985507406e+00,3.266780477873971189e-01,5.457169735214027241e-03
4.786956521739130110e+00,3.266580308413180034e-01,4.576028902003639529e-03
4.857971014492753703e+00,3.269471035627671829e-01,1.045209458007248515e-02
4.928985507246376407e+00,3.255557042165913573e-01,7.078358718126077573e-03
5.000000000000000000e+00,3.208607964711888694e-01,4.889394955322468733e-03
