fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.358190086375170136e+00,1.332427591879641771e+00,1.359836377388958351e+00,7.362739649122810315e-01,7.505098258955372748e-01,7.353825920734041732e-01,7.407221276270741228e-01,6.930508130978023720e-03,4.730000000000000426e+00
1.414206554768520752e+00,1.424396465009340140e+00,1.415958979247787797e+00,7.071102850061965484e-01,7.020517282689568983e-01,7.062351485148522512e-01,7.051323872633351586e-01,2.207458697137759229e-03,6.234500000000000597e+00
1.461038961038972017e+00,1.491421683729375669e+00,1.471861471861482862e+00,6.844444444444393039e-01,6.705011807924431411e-01,6.794117647058772747e-01,6.781191299809199435e-01,5.765230768228538603e-03,7.744000000000000661e+00
1.581312661183266854e+00,1.610137017425171013e+00,1.594665120324741947e+00,6.323860072376317198e-01,6.210651572989338565e-01,6.270909090909051464e-01,6.268473578758235742e-01,4.624925133044832312e-03,9.259000000000000341e+00
1.440044094072523650e+00,1.658718347054545905e+00,1.647705439174625974e+00,6.944231805929950152e-01,6.028751064192067188e-01,6.069045936395787155e-01,6.347342935505934092e-01,4.223846287516637432e-02,1.075750000000000028e+01
1.653629586972557686e+00,1.696408181907154367e+00,1.683622868477501200e+00,6.047303506650399951e-01,5.894807692307691971e-01,5.939572446555677621e-01,5.960561215171256144e-01,6.400072736050295939e-03,1.221900000000000119e+01
1.701857083377388724e+00,1.701513213080469766e+00,1.712209012108394823e+00,5.875934059136556087e-01,5.877121566335476999e-01,5.840408460230046561e-01,5.864488028567359512e-01,1.703372638464405999e-03,1.376149999999999984e+01
1.693882421122639315e+00,1.699411597069719448e+00,1.698143760546847014e+00,5.903597484276618124e-01,5.884389642416770760e-01,5.888782936009926416e-01,5.892256687567771767e-01,8.217278934961820590e-04,1.523400000000000176e+01
1.705491555374352819e+00,1.695022934404132320e+00,1.688500356815206160e+00,5.863412204233995340e-01,5.899625189151435078e-01,5.922415094339494868e-01,5.895150829241642132e-01,2.429472072491179087e-03,1.676099999999999923e+01
1.585268646217470767e+00,1.641568292490448888e+00,1.638608775632594217e+00,6.308079090481284457e-01,6.091735595616825094e-01,6.102737974254680564e-01,6.167517553450929668e-01,9.949345825454876391e-03,1.823850000000000193e+01
1.534275630661133372e+00,1.587450994454006725e+00,1.575566334602438667e+00,6.517733711048325773e-01,6.299407058823528471e-01,6.346924137931198029e-01,6.388021635934351128e-01,9.374925786199146682e-03,1.975399999999999778e+01
1.659311959654244495e+00,1.614974528580180868e+00,1.616534582132628906e+00,6.026594301220927763e-01,6.192048123998332709e-01,6.186072423398083497e-01,6.134904949539115027e-01,7.662603845406349562e-03,2.122299999999999898e+01
1.829651580459849214e+00,1.839971487124654637e+00,1.836386494252952861e+00,5.465521472392401714e-01,5.434866828087167034e-01,5.445476772615901462e-01,5.448621691031823033e-01,1.271074842412824469e-03,2.275499999999999901e+01
1.995976472286276504e+00,1.795013868274316193e+00,1.792995814087672057e+00,5.010079096045443325e-01,5.570987598894577841e-01,5.577257861635492864e-01,5.386108185525171343e-01,2.659050408822981673e-02,2.424099999999999966e+01
1.796498916065879747e+00,1.736819590630071186e+00,1.733830349226372247e+00,5.566382428940629401e-01,5.757650393828336322e-01,5.767576974564989634e-01,5.697203265777984749e-01,9.259302624712029139e-03,2.573550000000000182e+01
1.683556641654326835e+00,1.738011965514246748e+00,1.741851539218534972e+00,5.939806094182622509e-01,5.753700318766895583e-01,5.741017402944916803e-01,5.811507938631478298e-01,9.086813386002834739e-03,2.723850000000000193e+01
1.649158632956273296e+00,1.812431815795422230e+00,1.815480029177715782e+00,6.063698058005524416e-01,5.517448939512960004e-01,5.508185074626953392e-01,5.696444024048479271e-01,2.597153555869045546e-02,2.874849999999999994e+01
1.819452872437414825e+00,1.828559119751529183e+00,1.826692074847643177e+00,5.496157746918491904e-01,5.468786812514343509e-01,5.474376408423438090e-01,5.479773655952090428e-01,1.180789914148469176e-03,3.024099999999999966e+01
1.638445186072079895e+00,2.132451170112937611e+00,2.140158430919595567e+00,6.103347298406399668e-01,4.689439148785004008e-01,4.672551272619168694e-01,5.155112573270189680e-01,6.705386494234588657e-02,3.174150000000000205e+01
1.606973851014181331e+00,2.193064873308888885e+00,2.196600346724647768e+00,6.222876616000238004e-01,4.559828631476839922e-01,4.552489493553529831e-01,5.111731580343535919e-01,7.857039024275258576e-02,3.324949999999999761e+01
2.234352112118442424e+00,2.280040749664460797e+00,2.283839423571785598e+00,4.475570321151737252e-01,4.385886524822697474e-01,4.378591549295794971e-01,4.413349465090076751e-01,4.409747055307481137e-03,3.474000000000000199e+01
2.211388901312310917e+00,2.251351473141356418e+00,2.258598327295382902e+00,4.522044943820451857e-01,4.441776470400153332e-01,4.427524752475469616e-01,4.463782055565357898e-01,4.160689828077654591e-03,3.623950000000000671e+01
2.170555410963365350e+00,2.196680486763781470e+00,2.205483888840936491e+00,4.607115740741059562e-01,4.552323408094872126e-01,4.534152369281360118e-01,4.564530506039097268e-01,3.101261381928811615e-03,3.774549999999999983e+01
