fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.358353307533771037e+00,1.316918312503176036e+00,8.253490370389500175e-01,7.361854934601675948e-01,7.593485415957326179e-01,1.211608610567516564e+00,9.023808818744721849e-01,2.188614064413472449e-01,3.738500000000000156e+00
1.519193540305818990e+00,1.488323892695476935e+00,1.483193693379140754e+00,6.582439784457591037e-01,6.718967591045775789e-01,6.742207740391028548e-01,6.681205038631464754e-01,7.047911137076893692e-03,7.560500000000000220e+00
1.712795828319258362e+00,1.704199334043734249e+00,1.720818291215367113e+00,5.838407494145320120e-01,5.867858178463162266e-01,5.811188811188933157e-01,5.839151494599138514e-01,2.314115308740151335e-03,1.104199999999999982e+01
1.645201552017799385e+00,1.698560533327128752e+00,1.676321379609561069e+00,6.078282619983700341e-01,5.887338015803339486e-01,5.965443214909745828e-01,5.977021283565595589e-01,7.838154213736948234e-03,1.418149999999999977e+01
1.654360933794507327e+00,1.641576773996205274e+00,1.673474218010361669e+00,6.044630162454094346e-01,6.091704121553997986e-01,5.975592508314390150e-01,6.037308930774161198e-01,4.768421826460347325e-03,1.712899999999999778e+01
1.746855221692695359e+00,1.719247344794151866e+00,1.707353470448388144e+00,5.724572864321315624e-01,5.816498731424427637e-01,5.857017994858312315e-01,5.799363196868018155e-01,5.541147931094507657e-03,2.000249999999999773e+01
2.064049173471038223e+00,1.906930750764032512e+00,1.934477804651820954e+00,4.844845814978019360e-01,5.244028917145203694e-01,5.169353701527663603e-01,5.086076144550295552e-01,1.732784866162815143e-02,2.283350000000000080e+01
2.040442151759227496e+00,1.815810188118934798e+00,1.835707820861176565e+00,4.900898558372853153e-01,5.507183551139434030e-01,5.447490001599900600e-01,5.285190703704062409e-01,2.728261591644084993e-02,2.557349999999999923e+01
1.859533019527385145e+00,1.810985741733836196e+00,1.736030199934714080e+00,5.377694235589093319e-01,5.521854628422423472e-01,5.760268456375968738e-01,5.553272440129162213e-01,1.577573406047006258e-02,2.825300000000000011e+01
1.801582529183286541e+00,1.843819892307050345e+00,1.849306569691453017e+00,5.550675496688631805e-01,5.423523220311751158e-01,5.407432258064408526e-01,5.460543658354930496e-01,6.407048710896826038e-03,3.087650000000000006e+01
1.602120229619127256e+00,1.748546598146788034e+00,1.750236121417505730e+00,6.241728813559331845e-01,5.719035460992909492e-01,5.713514809590982679e-01,5.891426361381074672e-01,2.477114926677814397e-02,3.344700000000000273e+01
2.225170204245261907e+00,2.280406390581318554e+00,2.267721265518793494e+00,4.494038245219008632e-01,4.385183290707588277e-01,4.409713024282228000e-01,4.429644853402941451e-01,4.662123006738343178e-03,3.596699999999999875e+01
2.191067961165166444e+00,2.186666666666666536e+00,2.168349514563223668e+00,4.563984402693834763e-01,4.573170731707317249e-01,4.611802632756982767e-01,4.582985922386044741e-01,2.071873962765552295e-03,3.844200000000000017e+01
2.047324759432917141e+00,2.095696835830427762e+00,2.070797272598390304e+00,4.884422929936075297e-01,4.771682539682540747e-01,4.829057934508587668e-01,4.828387801375734756e-01,4.602851078365543906e-03,4.084950000000000614e+01
