lens,lMeans,lStds
1.000000000000000000e+00,3.174305296546265365e-01,3.496492739835195540e-02
1.242424242424242431e+00,3.376735359464949071e-01,3.274069970981141608e-02
1.484848484848484862e+00,2.923803074483086739e-01,3.731411945791549001e-02
1.727272727272727293e+00,3.007326392628246192e-01,3.983968826600241958e-02
1.969696969696969724e+00,3.249397489225443469e-01,3.167087187583841196e-02
2.212121212121211933e+00,3.416845117020490541e-01,4.155171581121444579e-02
2.454545454545454586e+00,3.053629441702073732e-01,4.008142102574069332e-02
2.696969696969697239e+00,2.981644992890286061e-01,3.198370607633014423e-02
2.939393939393939448e+00,3.289767311914588710e-01,4.424056467689049810e-02
3.181818181818181657e+00,3.557118593629249315e-01,1.838246181711975999e-02
3.424242424242424310e+00,3.367233562896945753e-01,5.324736871182692705e-02
3.666666666666666963e+00,3.624802535384026303e-01,2.067576630631594650e-02
3.909090909090909172e+00,3.577788564970257323e-01,1.767754187870176560e-02
4.151515151515151381e+00,3.384394485993462709e-01,3.260941017514480678e-02
4.393939393939394478e+00,3.573781684919542512e-01,1.694809176210401724e-02
4.636363636363636687e+00,3.594236021888835286e-01,1.790034701075134821e-02
4.878787878787878896e+00,3.594314313434264774e-01,1.757222672265400590e-02
5.121212121212121104e+00,3.624399016907099980e-01,1.632624925069073654e-02
5.363636363636363313e+00,3.639429358300975692e-01,1.457558584153788132e-02
5.606060606060606410e+00,3.662421535471154788e-01,1.456588113125034667e-02
5.848484848484848619e+00,3.645357351916405642e-01,1.435913354964268342e-02
6.090909090909090828e+00,3.657614815941696573e-01,1.521235305644457261e-02
6.333333333333333925e+00,3.687952939875647207e-01,1.658839005120854235e-02
6.575757575757576134e+00,3.715943123596737174e-01,1.405820677270232417e-02
6.818181818181818343e+00,3.718526642785328629e-01,1.366757415220622163e-02
7.060606060606060552e+00,3.638106653446470662e-01,1.799307133830747515e-02
7.303030303030302761e+00,3.734709476594407773e-01,1.161895768458333193e-02
7.545454545454545858e+00,3.730679493356113818e-01,1.169854279337703175e-02
7.787878787878788067e+00,3.725727164420239990e-01,1.123085577729009132e-02
8.030303030303031164e+00,3.726989762768020409e-01,1.089252271410333893e-02
8.272727272727273373e+00,3.722258527637573589e-01,1.227511762026608534e-02
8.515151515151515582e+00,3.735161630061978877e-01,1.041340714136802098e-02
8.757575757575757791e+00,3.703355274637826211e-01,1.368516938390751045e-02
9.000000000000000000e+00,3.723101706218508444e-01,1.361074887927240379e-02
9.242424242424242209e+00,3.750820312449797966e-01,1.026133311545754725e-02
9.484848484848484418e+00,3.751293940576886365e-01,1.022518603320602716e-02
9.727272727272726627e+00,3.756603962019942622e-01,8.079664082567493064e-03
9.969696969696970612e+00,3.753038954488134293e-01,1.028102420358312924e-02
1.021212121212121282e+01,3.757039156957601156e-01,6.578270559355756802e-03
1.045454545454545503e+01,3.758374847018062237e-01,4.247381505830284502e-03
1.069696969696969724e+01,3.745915302907550370e-01,9.196955722572463382e-03
1.093939393939393945e+01,3.765905827958007657e-01,3.912212371570107129e-03
1.118181818181818166e+01,3.748288318345008308e-01,9.109619565015061871e-03
1.142424242424242387e+01,3.747564731746958477e-01,9.139260272028741292e-03
1.166666666666666785e+01,3.766860729151621512e-01,2.844407160172832648e-03
1.190909090909091006e+01,3.750266670622655618e-01,7.160079244974241162e-03
1.215151515151515227e+01,3.769064444926906732e-01,2.752904082154010185e-03
1.239393939393939448e+01,3.767869915143124970e-01,2.441328104796462294e-03
1.263636363636363669e+01,3.770128757202188541e-01,2.669966979771954720e-03
1.287878787878787890e+01,3.768872041732305167e-01,2.834135016093375977e-03
1.312121212121212110e+01,3.769876208874026746e-01,2.503873355611892573e-03
1.336363636363636331e+01,3.776665248091909399e-01,2.283261417293799746e-03
1.360606060606060552e+01,3.773417879260096419e-01,2.496842039890784671e-03
1.384848484848484951e+01,3.773361329000547437e-01,2.177228331842015908e-03
1.409090909090909172e+01,3.771835903362927844e-01,2.126450319636628578e-03
1.433333333333333393e+01,3.771630517939001948e-01,2.212121680019590170e-03
1.457575757575757613e+01,3.774785789271695724e-01,2.241795053740672054e-03
1.481818181818181834e+01,3.775510864624899710e-01,1.900845424766917785e-03
1.506060606060606055e+01,3.776476963573413004e-01,1.877792729689662082e-03
1.530303030303030276e+01,3.778772123262055804e-01,2.297972840950633470e-03
1.554545454545454675e+01,3.777467504241944218e-01,1.817484909685944915e-03
1.578787878787878896e+01,3.780432116747321492e-01,1.507372812656430526e-03
1.603030303030303116e+01,3.775475850879516648e-01,1.671108346287138429e-03
1.627272727272727337e+01,3.774090141162679823e-01,1.802718609662317187e-03
1.651515151515151558e+01,3.775910924538191660e-01,1.648399573846825788e-03
1.675757575757575779e+01,3.777516697653920397e-01,1.807441206447750297e-03
1.700000000000000000e+01,3.774374403321105187e-01,1.780151166320513784e-03
1.724242424242424221e+01,3.782220700969786131e-01,1.556562337048785199e-03
1.748484848484848442e+01,3.775786243146251331e-01,1.736142910422287236e-03
1.772727272727272663e+01,3.776064844372959417e-01,1.528887700771865490e-03
1.796969696969696884e+01,3.778123993496755872e-01,1.464984277237405029e-03
1.821212121212121104e+01,3.778953227134232429e-01,1.512973911246292755e-03
1.845454545454545325e+01,3.778494732296747149e-01,1.399181452124863799e-03
1.869696969696969902e+01,3.780485841094768373e-01,1.469589855564680612e-03
1.893939393939394122e+01,3.783618194790438483e-01,1.520752101531375969e-03
1.918181818181818343e+01,3.780361398949056984e-01,1.316129652282259539e-03
1.942424242424242564e+01,3.776682822878004719e-01,1.504145582538712498e-03
1.966666666666666785e+01,3.783694331490450868e-01,1.323333081637449509e-03
1.990909090909091006e+01,3.781805377415517477e-01,1.568393319507582675e-03
2.015151515151515227e+01,3.778832603438260773e-01,1.598980026763266796e-03
2.039393939393939448e+01,3.782182710936987102e-01,1.423505881679332881e-03
2.063636363636363669e+01,3.784397503536495733e-01,1.419027064380744014e-03
2.087878787878787890e+01,3.782165548309750491e-01,1.757927855825437702e-03
2.112121212121212110e+01,3.784038097674121137e-01,1.553053171517890805e-03
2.136363636363636331e+01,3.783264718348788302e-01,1.608898878183746741e-03
2.160606060606060552e+01,3.781831031506137086e-01,1.579550320376950324e-03
2.184848484848484773e+01,3.785945362852174978e-01,1.545491779842235892e-03
2.209090909090908994e+01,3.784535768847606119e-01,1.702705960119120163e-03
2.233333333333333570e+01,3.786993171040413664e-01,1.239921802355321021e-03
2.257575757575757791e+01,3.788719031376944213e-01,1.425870784697876861e-03
2.281818181818182012e+01,3.788704886268492444e-01,1.607604606863636708e-03
2.306060606060606233e+01,3.788652956958808993e-01,1.638692027991527902e-03
2.330303030303030454e+01,3.789967356007669097e-01,1.390129845143084353e-03
2.354545454545454675e+01,3.787864226462839823e-01,1.609496789818509613e-03
2.378787878787878896e+01,3.793346592163701625e-01,1.466062583280679146e-03
2.403030303030303116e+01,3.786799837734491359e-01,1.406829139770648246e-03
2.427272727272727337e+01,3.793250600667377181e-01,1.466470518835851335e-03
2.451515151515151558e+01,3.792368894728356810e-01,1.412773294158643821e-03
2.475757575757575779e+01,3.790615424591009530e-01,1.499230938357632532e-03
2.500000000000000000e+01,3.793024806481561928e-01,1.416608346737864305e-03
