shifts,lMeans,lStds
1.000000000000000056e-01,3.621098099181874197e-01,1.682103063379520452e-02
1.710144927536231818e-01,3.625463253607844050e-01,1.614482109293443463e-02
2.420289855072463858e-01,3.604386044004020961e-01,1.653268135937306649e-02
3.130434782608695343e-01,3.631080686004964919e-01,1.531419894677189288e-02
3.840579710144927938e-01,3.635166452289431693e-01,1.536009577173816365e-02
4.550724637681159424e-01,3.646524343668807733e-01,1.573459218253221714e-02
5.260869565217390909e-01,3.371531431022725123e-01,6.256167964874057019e-02
5.971014492753623504e-01,3.224715937798677823e-01,5.304499277786821343e-02
6.681159420289854989e-01,3.616591223781715492e-01,1.567438273174487015e-02
7.391304347826086474e-01,3.613608387985224879e-01,1.404146512021443513e-02
8.101449275362319069e-01,3.621376560458051119e-01,1.484133360343149223e-02
8.811594202898550554e-01,3.584029379434857665e-01,1.510625253138055818e-02
9.521739130434782039e-01,3.613586096265890002e-01,1.406233895257837790e-02
1.023188405797101463e+00,3.631351272592959201e-01,1.346655198192754470e-02
1.094202898550724612e+00,3.602150835319671285e-01,1.535796242453418316e-02
1.165217391304347982e+00,3.023616813138794712e-01,6.721067302558073053e-02
1.236231884057971131e+00,3.638515222003143590e-01,1.198168754236095951e-02
1.307246376811594279e+00,3.602112435820093439e-01,1.431825789664423719e-02
1.378260869565217428e+00,3.595096107574687894e-01,1.622720552512956632e-02
1.449275362318840799e+00,3.607407273634554712e-01,1.367626372209053941e-02
1.520289855072463947e+00,3.568574637012094652e-01,1.466647333374470827e-02
1.591304347826087096e+00,3.673670351169593395e-01,1.520326178763109319e-02
1.662318840579710244e+00,3.575612695764302518e-01,1.341812956622052272e-02
1.733333333333333393e+00,3.684984724554687396e-01,1.262014063230024186e-02
1.804347826086956541e+00,3.667274967301581423e-01,1.317824806994642370e-02
1.875362318840579912e+00,3.618739808204475272e-01,1.896159030056101744e-02
1.946376811594203060e+00,3.624298155298180113e-01,1.503967702290220400e-02
2.017391304347825987e+00,3.614438526925584649e-01,1.407997744207270009e-02
2.088405797101449135e+00,3.548090194966426747e-01,1.392997287416795557e-02
2.159420289855072728e+00,3.592936972952667229e-01,1.108425807017590289e-02
2.230434782608695876e+00,3.613696679613462304e-01,1.436017525180442039e-02
2.301449275362319025e+00,3.553247838845571271e-01,1.346282325411902667e-02
2.372463768115942173e+00,3.640742553217649058e-01,1.072267728060290887e-02
2.443478260869565322e+00,3.637774737211423859e-01,9.817487443220539872e-03
2.514492753623188470e+00,3.589550599855666491e-01,1.805836981560407853e-02
2.585507246376811619e+00,3.620648402613300676e-01,1.013000756703878562e-02
2.656521739130434767e+00,3.674566836415218418e-01,1.486024510561004611e-02
2.727536231884057916e+00,3.602852634331148995e-01,1.924327083678121358e-02
2.798550724637681508e+00,3.232450923438662804e-01,4.912436753788991528e-02
2.869565217391304657e+00,3.155376987311708792e-01,4.025540355640761653e-02
2.940579710144927805e+00,3.603380814248659525e-01,1.790786526719586116e-02
3.011594202898550954e+00,3.669184834239438975e-01,9.422364900373231614e-03
3.082608695652174102e+00,3.174504906240078750e-01,4.410591267465609200e-02
3.153623188405797251e+00,3.745553194653948315e-01,5.885738686698361970e-03
3.224637681159420399e+00,3.486257878015535661e-01,7.846119979364737235e-03
3.295652173913043548e+00,3.691437218973385170e-01,1.332175884668969877e-02
3.366666666666666696e+00,3.475358823220981441e-01,8.479326227637293267e-03
3.437681159420289845e+00,3.629244254061227970e-01,1.679381191722355282e-02
3.508695652173912993e+00,3.547483544903887731e-01,1.461429872930352855e-02
3.579710144927536586e+00,3.611849674749726957e-01,1.752911113496024784e-02
3.650724637681159734e+00,3.548036412942458528e-01,1.359149626849671423e-02
3.721739130434782883e+00,3.668087271180907050e-01,1.596399346846249373e-02
3.792753623188406031e+00,3.681978479356930456e-01,1.233047840230663134e-02
3.863768115942029180e+00,3.623544616936930640e-01,1.881952013488974798e-02
3.934782608695652328e+00,3.677475342600204922e-01,8.821903075240718900e-03
4.005797101449275033e+00,3.537437683329964222e-01,1.672311336921971855e-02
4.076811594202898625e+00,3.661392991805049180e-01,2.271709888564105856e-02
4.147826086956521330e+00,3.687165533226375302e-01,1.204116822881125086e-02
4.218840579710144922e+00,3.475208131471256845e-01,1.493227561757159982e-02
4.289855072463767627e+00,3.815321475267781093e-01,8.516176143077777358e-03
4.360869565217391219e+00,3.665383652922120650e-01,7.241043316209535945e-03
4.431884057971013924e+00,3.516989534985650590e-01,1.573533131335536420e-02
4.502898550724637516e+00,3.513546217774757841e-01,1.567418891091015148e-02
4.573913043478260221e+00,3.711856256164361434e-01,1.423633222776388325e-02
4.644927536231883813e+00,3.711449660034814024e-01,8.474946452904896441e-03
4.715942028985507406e+00,3.474471860187372529e-01,1.686773741575480628e-02
4.786956521739130110e+00,3.787643479782976663e-01,8.145935575605568399e-03
4.857971014492753703e+00,3.675436656906181376e-01,1.245739048314234085e-02
4.928985507246376407e+00,3.643493524905447312e-01,1.506853148802823374e-02
5.000000000000000000e+00,3.447847135454832346e-01,1.615455261798908262e-02
