fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
2.268002584351285211e+00,2.311381554445107511e+00,2.294783426675728322e+00,4.409166051660514674e-01,4.326416805035331326e-01,4.357709700948211307e-01,4.364430852548018547e-01,3.411490254399636001e-03,4.878499999999999837e+00
2.369288167506407472e+00,2.317780026751781630e+00,2.330933245000784915e+00,4.220676968359086678e-01,4.314473282442748414e-01,4.290127150336573991e-01,4.275092467046135991e-01,3.974056206743141820e-03,6.407499999999999751e+00
2.419381566301020747e+00,2.389045043073478869e+00,2.378874416789131363e+00,4.133287671232837024e-01,4.185772900763359283e-01,4.203668730650114704e-01,4.174243100882104041e-01,2.986721273850802619e-03,7.910499999999998977e+00
2.463072882668178032e+00,2.450435765334033178e+00,2.464970473486874702e+00,4.059969183358991818e-01,4.080906809094357879e-01,4.056843725943010681e-01,4.065906572798786978e-01,1.068324038566963478e-03,9.419000000000000483e+00
2.489024162411256569e+00,2.493894122498176102e+00,2.489024162411256569e+00,4.017638780297111412e-01,4.009793322734499510e-01,4.017638780297111412e-01,4.015023627776240223e-01,3.698384162689438942e-04,1.088400000000000034e+01
2.437527083634214442e+00,2.491694352159468551e+00,2.483669571637166396e+00,4.102518518518599722e-01,4.013333333333333197e-01,4.026300484652745593e-01,4.047384112168226356e-01,3.934368925288372551e-03,1.240350000000000108e+01
2.449349188948989564e+00,2.453823636500383376e+00,2.438979378665547593e+00,4.082717174471549582e-01,4.075272505835786929e-01,4.100075665859608809e-01,4.086021782055648255e-01,1.039196838125455800e-03,1.388149999999999906e+01
2.417115378102928869e+00,2.455913209286625598e+00,2.457330082292032092e+00,4.137162872154035442e-01,4.071805128205129853e-01,4.069457364341005912e-01,4.092808454900057069e-01,3.137795134852319062e-03,1.540800000000000125e+01
2.328308349010033584e+00,2.519449336964980191e+00,2.503353270176548850e+00,4.294963768115966918e-01,3.969121289037850775e-01,3.994641954507184289e-01,4.086242337220333809e-01,1.479556304613869819e-02,1.690350000000000108e+01
2.668273744797760028e+00,2.601271068071620007e+00,2.613685493062944953e+00,3.747741407528613067e-01,3.844274486708231242e-01,3.826015037593955559e-01,3.806010310610266623e-01,4.187123650943495347e-03,1.840850000000000009e+01
2.685960306991762803e+00,2.652159394859796127e+00,2.655487499619085145e+00,3.723063209076182267e-01,3.770512443324938179e-01,3.765786885245908655e-01,3.753120845882342849e-01,2.134133504989590372e-03,1.992150000000000176e+01
2.628968253968383184e+00,2.601556907659268614e+00,2.597402597402725277e+00,3.803773584905473237e-01,3.843852106620810338e-01,3.849999999999810241e-01,3.832541897175364976e-01,2.049651988986381495e-03,2.138799999999999812e+01
2.691097122302106293e+00,2.697005186548436129e+00,2.691097122302106293e+00,3.715956558061893067e-01,3.707816377171215261e-01,3.715956558061893067e-01,3.713243164431667132e-01,3.837318071922284795e-04,2.291799999999999926e+01
3.299338777279799295e+00,3.275477279272346998e+00,3.263206388206235431e+00,3.030910335386863275e-01,3.052990189637803664e-01,3.064470588235437831e-01,3.049457037753368627e-01,1.392683296120433541e-03,2.440249999999999986e+01
3.246255303920956070e+00,3.214744073177598693e+00,3.223017971752588640e+00,3.080472440944987400e-01,3.110667528228941436e-01,3.102682047584821579e-01,3.097940672252916805e-01,1.277487910053416850e-03,2.589450000000000074e+01
3.191045606229250264e+00,3.142084119631725958e+00,3.147015202076486329e+00,3.133769063180723013e-01,3.182600980514827538e-01,3.177614138438774605e-01,3.164661394044774867e-01,2.193884269408058474e-03,2.742099999999999937e+01
3.121990982820925797e+00,3.070809454566190144e+00,3.084461414282131830e+00,3.203084203326025392e-01,3.256470369768575956e-01,3.242057090971056654e-01,3.233870554688552668e-01,2.255046524407709665e-03,2.890400000000000347e+01
3.108360915239727795e+00,3.057101111014241202e+00,3.067587662493527656e+00,3.217129629629500442e-01,3.271072704782846952e-01,3.259890539483840666e-01,3.249364291298729168e-01,2.324600703907113170e-03,3.039450000000000074e+01
3.023344814389431257e+00,3.006834802952206953e+00,3.016169154228697025e+00,3.307594936709035149e-01,3.325756370180922294e-01,3.315463917525947601e-01,3.316271741471968348e-01,7.436345477193712300e-04,3.191799999999999926e+01
3.048735035854257092e+00,3.041760109383885080e+00,2.922014997689165838e+00,3.280048899755565461e-01,3.287570235782177330e-01,3.422295918367413425e-01,3.329971684635051887e-01,6.535526362177249832e-03,3.339950000000000330e+01
2.984333998500676266e+00,2.949681479275580998e+00,2.954390848014047055e+00,3.350831376455846167e-01,3.390196558597887155e-01,3.384792505271277396e-01,3.375273480108336721e-01,1.742341855680712599e-03,3.488850000000000051e+01
2.974440563068298626e+00,2.950017143266534525e+00,2.855858215038997283e+00,3.361976744186291888e-01,3.389810809345693010e-01,3.501574394463923823e-01,3.417787315998636610e-01,6.032627776867855243e-03,3.640950000000000131e+01
3.311445424090717182e+00,3.288607869442178977e+00,3.285755389768834078e+00,3.019829325058521752e-01,3.040800362037758831e-01,3.043440187646938577e-01,3.034689958247739905e-01,1.056317451968820636e-03,3.789050000000000296e+01
3.526031241616564227e+00,3.496756889384005973e+00,3.495078516745021791e+00,2.836049743965213255e-01,2.859792749778957144e-01,2.861166051660846144e-01,2.852336181801671811e-01,1.152988963709339950e-03,3.940350000000000108e+01
3.613088380513671982e+00,3.583567186137749161e+00,3.571942890059423892e+00,2.767715302490968421e-01,2.790515561891186991e-01,2.799596832253283263e-01,2.785942565545145855e-01,1.341124420482102874e-03,4.092300000000000182e+01
3.603518203317559010e+00,3.620367855926689860e+00,3.619106602178341792e+00,2.775065765116311867e-01,2.762150255982853131e-01,2.763112861605401815e-01,2.766776294234855604e-01,5.874699879825013345e-04,4.240399999999999636e+01
3.726108363873359419e+00,3.677586129968014816e+00,3.686100042142435917e+00,2.683765211166540543e-01,2.719174927953889598e-01,2.712894356005540741e-01,2.705278165041990479e-01,1.542653091992316058e-03,4.389249999999999829e+01
3.776949100295889039e+00,3.746069803815897714e+00,3.744827633815697165e+00,2.647639598642351766e-01,2.669464405018186492e-01,2.670349873970234711e-01,2.662484625876924138e-01,1.050324200783298023e-03,4.541199999999999903e+01
3.831717185502166778e+00,3.800812411443354133e+00,3.810235939893184653e+00,2.609795952017645582e-01,2.631016455822010047e-01,2.624509389379267033e-01,2.621773932406307739e-01,8.876541708944467963e-04,4.689400000000000546e+01
3.924542056885752306e+00,3.895889212409815450e+00,-1.000000000000000000e+00,2.548067992405543269e-01,2.566808103307041122e-01,-1.000000000000000000e+00,2.557438047856291918e-01,9.370055450748926429e-04,4.840800000000000125e+01
3.971054260244914147e+00,3.945395205123423121e+00,-1.000000000000000000e+00,2.518222956586659844e-01,2.534600332816892565e-01,-1.000000000000000000e+00,2.526411644701775927e-01,8.188688115116360411e-04,4.990550000000000352e+01
3.931737965678056668e+00,3.964533882511198204e+00,-1.000000000000000000e+00,2.543404491167667869e-01,2.522364619990545287e-01,-1.000000000000000000e+00,2.532884555579106856e-01,1.051993558856129107e-03,5.139100000000001245e+01
3.959031904650964329e+00,3.974428139835994411e+00,-1.000000000000000000e+00,2.525870020964536278e-01,2.516085245011538407e-01,-1.000000000000000000e+00,2.520977632988037342e-01,4.892387976498935309e-04,5.290649999999999409e+01
3.987576950806563048e+00,4.029609461414102256e+00,-1.000000000000000000e+00,2.507788595271449594e-01,2.481630067567570375e-01,-1.000000000000000000e+00,2.494709331419510123e-01,1.307926385193960983e-03,5.440850000000000364e+01
