fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
2.065619523593174467e+00,2.318988558214961415e+00,2.031544103329657958e+00,4.841162608012563040e-01,4.312224812224812465e-01,4.922364217252389595e-01,4.691917212496588552e-01,2.705219208048166568e-02,3.889999999999999680e+00
2.356632131913015904e+00,2.320611140835860287e+00,2.332919889099649868e+00,4.243343653250800651e-01,4.309209683617266085e-01,4.286473807662262714e-01,4.279675714843443335e-01,2.731597870037487906e-03,7.727000000000000313e+00
2.555487198902118173e+00,2.495583030025385174e+00,2.511564762670988049e+00,3.913148148148100636e-01,4.007079660218029193e-01,3.981581581581533080e-01,3.967269796649220415e-01,3.966024567832251990e-03,1.116600000000000037e+01
2.478549626231611569e+00,2.454111109009323943e+00,2.464006585675349026e+00,4.034617622405247683e-01,4.074795131845844742e-01,4.058430711239005562e-01,4.055947821830032662e-01,1.649609289246413944e-03,1.429900000000000126e+01
2.585548393741529338e+00,2.518537134857704807e+00,2.534051994198129432e+00,3.867651452282070412e-01,3.970558885789465253e-01,3.946248941574847513e-01,3.928153093215461245e-01,4.391719301635867850e-03,1.724300000000000210e+01
2.596044875117436757e+00,2.650890939434078941e+00,2.648756446185811075e+00,3.852013536379116920e-01,3.772316639376659397e-01,3.775356550580527548e-01,3.799895575445433882e-01,3.687385391616013110e-03,2.011350000000000193e+01
2.507513618624743756e+00,2.561114389071377673e+00,2.574980352758144964e+00,3.988014232793894442e-01,3.904550317108582136e-01,3.883524776912831711e-01,3.925363108938436096e-01,4.512494377019407588e-03,2.294250000000000256e+01
3.241539990128823323e+00,3.237869947912333846e+00,3.246144450342074439e+00,3.084953457446806269e-01,3.088450172758684387e-01,3.080577636939789699e-01,3.084660422381760303e-01,3.220621805071697250e-04,2.567949999999999733e+01
3.042447862583153473e+00,3.142820516001505471e+00,3.148497555701853301e+00,3.286827072037192266e-01,3.181855263157894464e-01,3.176118076347316799e-01,3.214933470514134140e-01,5.089038077470716195e-03,2.835699999999999932e+01
3.100988455152674295e+00,3.073693913650067167e+00,3.076856249276000099e+00,3.224778210116767130e-01,3.253414387031406951e-01,3.250070588235329794e-01,3.242754395127834255e-01,1.278417428597450290e-03,3.097800000000000153e+01
2.946809277415289863e+00,2.992930133197800657e+00,2.978920359231215009e+00,3.393500922045153967e-01,3.341207296849086350e-01,3.356920895522279014e-01,3.363876371472173665e-01,2.190798626534573232e-03,3.354650000000000176e+01
2.933366733466707288e+00,2.946295877789932849e+00,-1.000000000000000000e+00,3.409052092229127306e-01,3.394092248298284376e-01,-1.000000000000000000e+00,3.401572170263705841e-01,7.479921965421465480e-04,3.606499999999999773e+01
2.740654061710687817e+00,3.261021515625197154e+00,-1.000000000000000000e+00,3.648764044944112217e-01,3.066523772408419335e-01,-1.000000000000000000e+00,3.357643908676265498e-01,2.911201362678464410e-02,3.853799999999999670e+01
3.521181379620336394e+00,3.558724740488688365e+00,3.552205004110383424e+00,2.839955947136761361e-01,2.809995357670396210e-01,2.815152838428143234e-01,2.821701381078433601e-01,1.307852663529093188e-03,4.094350000000000023e+01
3.750701436754320994e+00,3.676636381852945945e+00,3.681881226905617588e+00,2.666167960479820520e-01,2.719877344781159723e-01,2.716002875628976132e-01,2.700682726963318792e-01,2.445682872410917183e-03,4.333250000000001023e+01
3.833405675114943456e+00,3.766040135147457946e+00,-1.000000000000000000e+00,2.608646422400924814e-01,2.655308929576358223e-01,-1.000000000000000000e+00,2.631977675988641519e-01,2.333125358771670488e-03,4.568350000000000222e+01
3.933211975670982241e+00,3.955922416756146198e+00,-1.000000000000000000e+00,2.542451325241391613e-01,2.527855439642315849e-01,-1.000000000000000000e+00,2.535153382441853731e-01,7.297942799537882053e-04,4.797599999999999909e+01
3.960342251799406910e+00,3.965155176077046928e+00,-1.000000000000000000e+00,2.525034293552895770e-01,2.521969394875881454e-01,-1.000000000000000000e+00,2.523501844214388612e-01,1.532449338507158032e-04,5.025750000000000028e+01
3.918031180106096301e+00,3.917369920781343495e+00,-1.000000000000000000e+00,2.552302301925328254e-01,2.552733135298450029e-01,-1.000000000000000000e+00,2.552517718611889141e-01,2.154166865608875270e-05,5.250799999999999557e+01
3.977424973204660041e+00,3.993182052175566543e+00,-1.000000000000000000e+00,2.514189473684245724e-01,2.504268492980878946e-01,-1.000000000000000000e+00,2.509228983332562057e-01,4.960490351683388699e-04,5.470700000000000074e+01
4.152635467980251072e+00,4.164406779661017133e+00,-1.000000000000000000e+00,2.408109278338311787e-01,2.401302401302401190e-01,-1.000000000000000000e+00,2.404705839820356350e-01,3.403438517955298392e-04,5.689999999999999858e+01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,5.904599999999999937e+01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.116800000000000637e+01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.326749999999999829e+01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.536650000000000205e+01
-1.000000000000000000e+00,4.337989324314087014e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.305215447154466413e-01,-1.000000000000000000e+00,2.305215447154466413e-01,0.000000000000000000e+00,6.742449999999999477e+01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.946350000000001046e+01
4.059256015908307091e+00,4.155995463942480761e+00,-1.000000000000000000e+00,2.463505617977727047e-01,2.406162395209582583e-01,-1.000000000000000000e+00,2.434834006593654676e-01,2.867161138407223198e-03,7.148550000000000182e+01
4.080289040546212220e+00,4.057520459480902453e+00,-1.000000000000000000e+00,2.450806768988438855e-01,2.464559353393709629e-01,-1.000000000000000000e+00,2.457683061191074381e-01,6.876292202635386763e-04,7.349099999999999966e+01
