lens,lMeans,lStds
1.000000000000000000e+00,nan,nan
1.242424242424242431e+00,4.549905677790045955e-01,1.573065889057651823e-01
1.484848484848484862e+00,3.390697849899688143e-01,1.413135210732992947e-02
1.727272727272727293e+00,nan,nan
1.969696969696969724e+00,2.412006861063447360e-01,0.000000000000000000e+00
2.212121212121211933e+00,nan,nan
2.454545454545454586e+00,3.110231407188236430e-01,5.815989961210479842e-02
2.696969696969697239e+00,2.669791379713264412e-01,3.215789222707720468e-02
2.939393939393939448e+00,3.188729467068822099e-01,5.861709557207394478e-02
3.181818181818181657e+00,2.820972910823390523e-01,4.535493931435908427e-02
3.424242424242424310e+00,2.980811659087505006e-01,5.413822346637010147e-02
3.666666666666666963e+00,3.142352504343235986e-01,5.913510403288327333e-02
3.909090909090909172e+00,3.022041581703864832e-01,5.723859461814520544e-02
4.151515151515151381e+00,3.050919765124959770e-01,5.541285567929767758e-02
4.393939393939394478e+00,2.484460687763217490e-01,8.294471906814832735e-03
4.636363636363636687e+00,2.486861503870751722e-01,9.365221528048391433e-03
4.878787878787878896e+00,2.508774533483874580e-01,6.332199459534356041e-03
5.121212121212121104e+00,2.488791055814297548e-01,6.167536456793801074e-03
5.363636363636363313e+00,2.509140197276522044e-01,7.058683369579769190e-03
5.606060606060606410e+00,2.440806707341279802e-01,6.637480095155266768e-03
5.848484848484848619e+00,2.431738856249147651e-01,1.051091892795323265e-02
6.090909090909090828e+00,2.460740182746518623e-01,7.128937286449986248e-03
6.333333333333333925e+00,2.488284927650973588e-01,5.981290018872099414e-03
6.575757575757576134e+00,2.456241342435238340e-01,1.108582597519901063e-02
6.818181818181818343e+00,2.414735254320975189e-01,9.201893176640021238e-03
7.060606060606060552e+00,2.433240043572240663e-01,9.462415438191111930e-03
7.303030303030302761e+00,2.453879790234212988e-01,5.947384324842649311e-03
7.545454545454545858e+00,2.439660764693787898e-01,6.931584764204477660e-03
7.787878787878788067e+00,2.450845195544134325e-01,1.010893164598156320e-02
8.030303030303031164e+00,2.487347435133941687e-01,9.669150102331757271e-03
8.272727272727273373e+00,2.465772685113221951e-01,6.953886912102236889e-03
8.515151515151515582e+00,2.456768514350210764e-01,8.051453942510425690e-03
8.757575757575757791e+00,2.452611759139424197e-01,1.159137651848610520e-02
9.000000000000000000e+00,2.452307061894759554e-01,6.879897175490691692e-03
9.242424242424242209e+00,2.450215757323042087e-01,7.850204044802563952e-03
