shifts,lMeans,lStds
1.000000000000000056e-01,2.463921267591847319e-01,7.327288570017505796e-03
1.710144927536231818e-01,2.467549614803420943e-01,7.299723073770266087e-03
2.420289855072463858e-01,2.471996109878393244e-01,6.944939666031159711e-03
3.130434782608695343e-01,2.470515074944800438e-01,7.787133683281488583e-03
3.840579710144927938e-01,2.446958001910432279e-01,6.144050684762598045e-03
4.550724637681159424e-01,2.458760610186252749e-01,6.111340186108980485e-03
5.260869565217390909e-01,2.457385654439342981e-01,5.250425239209618664e-03
5.971014492753623504e-01,2.490809789716189049e-01,7.609421958305231937e-03
6.681159420289854989e-01,2.455949697667541565e-01,6.448607179199859242e-03
7.391304347826086474e-01,2.493835207730053793e-01,4.069372237981261353e-03
8.101449275362319069e-01,3.327499008222594146e-01,8.122678174955828834e-02
8.811594202898550554e-01,2.450879171291949765e-01,7.639367783115966377e-03
9.521739130434782039e-01,2.475643376048597410e-01,7.973463174305268214e-03
1.023188405797101463e+00,2.517683364379565414e-01,3.081265766816766467e-03
1.094202898550724612e+00,2.456206137155816094e-01,8.223045274266210444e-03
1.165217391304347982e+00,2.464231588194245037e-01,6.766807017822003105e-03
1.236231884057971131e+00,2.375419216356192964e-01,6.707135338643905806e-03
1.307246376811594279e+00,2.464012169070306513e-01,9.951006028556332733e-03
1.378260869565217428e+00,2.525929865056665280e-01,3.414332392161576173e-03
1.449275362318840799e+00,2.472751594747233383e-01,8.969573432874241442e-03
1.520289855072463947e+00,2.458707606299592452e-01,6.719248476245437765e-03
1.591304347826087096e+00,2.463643346265630973e-01,5.396535731946731571e-03
1.662318840579710244e+00,2.489941332605548896e-01,7.018362130260520464e-03
1.733333333333333393e+00,2.481765304506043102e-01,3.609625781679561777e-03
1.804347826086956541e+00,2.478353071665107821e-01,4.944200695257816754e-03
1.875362318840579912e+00,2.555939080236616090e-01,5.228731988128064966e-03
1.946376811594203060e+00,2.517541604084884699e-01,7.485795852025187332e-03
2.017391304347825987e+00,2.501833119556131635e-01,8.492993408335626493e-03
2.088405797101449135e+00,2.504817037226692578e-01,7.416411589712349622e-03
2.159420289855072728e+00,3.035193746372222834e-01,5.505274577995580149e-02
2.230434782608695876e+00,2.486211339716506707e-01,9.179780790661840051e-04
2.301449275362319025e+00,2.524122671654779881e-01,9.724587182001255894e-03
2.372463768115942173e+00,2.530628160081951905e-01,7.683311649314491024e-03
2.443478260869565322e+00,2.503496800847634929e-01,2.152263032444978741e-04
2.514492753623188470e+00,3.123619307650954413e-01,5.708012053416700732e-02
2.585507246376811619e+00,2.525821115449834453e-01,6.893050651200743895e-03
2.656521739130434767e+00,2.546037908667607153e-01,6.978562074410610272e-03
2.727536231884057916e+00,2.447149109519918819e-01,7.532671163879428589e-04
2.798550724637681508e+00,2.582470245150057520e-01,6.688322624879283751e-04
2.869565217391304657e+00,2.432325282938272437e-01,5.096525450561897874e-03
2.940579710144927805e+00,2.472032220340452113e-01,6.093272428237344294e-03
3.011594202898550954e+00,2.469179907267241847e-01,5.161700621891164402e-03
3.082608695652174102e+00,nan,nan
3.153623188405797251e+00,2.482372693529973640e-01,1.169180407675360529e-02
3.224637681159420399e+00,2.422683880603362094e-01,3.585221907274167234e-03
3.295652173913043548e+00,2.853490357558055579e-01,6.050679043513222666e-02
3.366666666666666696e+00,2.483823968992557307e-01,2.090015293224625759e-03
3.437681159420289845e+00,2.445733009603134889e-01,1.828347274768313269e-03
3.508695652173912993e+00,2.396473947217121758e-01,1.540588487508820492e-03
3.579710144927536586e+00,2.462316720047995344e-01,8.226774784502160348e-03
3.650724637681159734e+00,2.461803046959570307e-01,2.024501605775261281e-03
3.721739130434782883e+00,3.033132254533569272e-01,5.920297936478455952e-02
3.792753623188406031e+00,nan,nan
3.863768115942029180e+00,2.494883163942959170e-01,9.663919718855891461e-03
3.934782608695652328e+00,2.468362167967295129e-01,5.876464292236781295e-03
4.005797101449275033e+00,2.459199077786749510e-01,1.059542902904081485e-04
4.076811594202898625e+00,3.053852879653274344e-01,6.418522380030518282e-02
4.147826086956521330e+00,3.029518032052264109e-01,4.935770542963674457e-02
4.218840579710144922e+00,2.525594085946936684e-01,9.516590857673899034e-03
4.289855072463767627e+00,2.460665830488986683e-01,2.115470605125915893e-03
4.360869565217391219e+00,2.447612527863567977e-01,6.979751468461775632e-04
4.431884057971013924e+00,nan,nan
4.502898550724637516e+00,3.188672312099533057e-01,5.370532570205569650e-02
4.573913043478260221e+00,2.903271784557857060e-01,5.422913358073235685e-02
4.644927536231883813e+00,2.803829921145500337e-01,4.839814105737070410e-02
4.715942028985507406e+00,2.776516357953132674e-01,4.716266023503270371e-02
4.786956521739130110e+00,2.396121415515539421e-01,0.000000000000000000e+00
4.857971014492753703e+00,2.624142545305983010e-01,3.531990065805899054e-02
4.928985507246376407e+00,nan,nan
5.000000000000000000e+00,2.514720109651781832e-01,1.012065467934752938e-03
