fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.944082273428768604e+00,1.905611089544513082e+00,1.907495609600340147e+00,5.143815226689479880e-01,5.247660477453581773e-01,5.242476024411509838e-01,5.211317242851524201e-01,4.777803733789542755e-03,4.656000000000000583e+00
1.964021504548906671e+00,1.913129212677469937e+00,1.939536819719267724e+00,5.091593944790734350e-01,5.227038473791721929e-01,5.155870153291247648e-01,5.158167523957901679e-01,5.531885479086879817e-03,6.163500000000000867e+00
1.960325460829490662e+00,1.991257618002344687e+00,1.980126728110596757e+00,5.101193755739216185e-01,5.021951910989864709e-01,5.050181818181823656e-01,5.057775828303635590e-01,3.279297924981005013e-03,7.676000000000000156e+00
2.058218171126147134e+00,2.046502687166928514e+00,2.016752237275620363e+00,4.858571428571410444e-01,4.886384983859208830e-01,4.958467289719607485e-01,4.901141234050075401e-01,4.209596939064005720e-03,9.157500000000000639e+00
2.251275136307667069e+00,2.048309833694867077e+00,2.059760411170382888e+00,4.441927083333347404e-01,4.882073910645337023e-01,4.854933586337776275e-01,4.726311526772153937e-01,2.013951887101237542e-02,1.066450000000000031e+01
2.115205939603327145e+00,2.091294139312186218e+00,2.068872857116778263e+00,4.727672049689563005e-01,4.781728123280132303e-01,4.833549807374918350e-01,4.780983326781537701e-01,4.322762183672182457e-03,1.215749999999999886e+01
2.194286056574640043e+00,2.127664487718084807e+00,2.127539712648415016e+00,4.557290955770079699e-01,4.699989146655813577e-01,4.700264789676592558e-01,4.652514964034161760e-01,6.733363600844790610e-03,1.367299999999999827e+01
2.229955738757338768e+00,2.194772364967747080e+00,2.179274926512853927e+00,4.484393939393874207e-01,4.556281170483460485e-01,4.588682170542568994e-01,4.543119093473300674e-01,4.358087495256697703e-03,1.517500000000000071e+01
2.188643095385625514e+00,2.196317644730690688e+00,2.184364223253884241e+00,4.569040983010553836e-01,4.553075473391366423e-01,4.577991112262289053e-01,4.566702522888070326e-01,1.030529190577649445e-03,1.664649999999999963e+01
2.072355948380704138e+00,2.256668464803268659e+00,2.259761428465604904e+00,4.825425867507843747e-01,4.431311092421268971e-01,4.425245901639305313e-01,4.560660953856139344e-01,1.872334394288785106e-02,1.818249999999999744e+01
2.277960772250855470e+00,2.280202312138727816e+00,2.293412056558758572e+00,4.389891222805820670e-01,4.385575765257621605e-01,4.360315439784029912e-01,4.378594142615824247e-01,1.304451420770066233e-03,1.967099999999999937e+01
2.402105456116760518e+00,2.355549009312045694e+00,2.351511659879869320e+00,4.163014564800157635e-01,4.245294816820885941e-01,4.252583634014753811e-01,4.220297671878599499e-01,4.061442667691331221e-03,2.116749999999999687e+01
2.398601983537637317e+00,2.354737406717455794e+00,2.353387997043054014e+00,4.169095193213862571e-01,4.246758034026465456e-01,4.249193083573399310e-01,4.221682103604575964e-01,3.719784693504612962e-03,2.264600000000000080e+01
2.408835528199159803e+00,2.398824454410634299e+00,2.393179215573910223e+00,4.151383472609264658e-01,4.168708544559545093e-01,4.178542056074932010e-01,4.166211357747913735e-01,1.122717300257262702e-03,2.416000000000000014e+01
2.888470247596318874e+00,2.901125100816996483e+00,2.904710642562724043e+00,3.462040160642693154e-01,3.446938567793530472e-01,3.442683706070409633e-01,3.450554144835544790e-01,8.305515493223871760e-04,2.568200000000000216e+01
2.960304171253660854e+00,2.922297032189211219e+00,2.925613106746782321e+00,3.378031249999926544e-01,3.421965628356606337e-01,3.418086956521664277e-01,3.406027944959399423e-01,1.985987949428206882e-03,2.715899999999999892e+01
2.903829803050762770e+00,2.902150313931964210e+00,2.917768186105406336e+00,3.443727999999863232e-01,3.445720902874788716e-01,3.427277070063558528e-01,3.438908657646069789e-01,8.264917331082856106e-04,2.864450000000000074e+01
2.849699114827279001e+00,2.831962259654260183e+00,2.833240456573326238e+00,3.509142403129146826e-01,3.531120503428195057e-01,3.529527462732386378e-01,3.523263456429909790e-01,1.000624986052414721e-03,3.016449999999999676e+01
2.774809886527790148e+00,2.755641771117722350e+00,2.772405371894750559e+00,3.603850501092644154e-01,3.628918716798184008e-01,3.606976130321692398e-01,3.613248449404173890e-01,1.115378410134759040e-03,3.166499999999999915e+01
2.731098130451473871e+00,2.772601143945534474e+00,2.769734355108612434e+00,3.661530828387669079e-01,3.606721443449149023e-01,3.610454548305539468e-01,3.626235606714119375e-01,2.500397998594051756e-03,3.314900000000000091e+01
2.785126725757335553e+00,2.800003067141167534e+00,2.805056076209981875e+00,3.590500894454196068e-01,3.571424659263000567e-01,3.564991119005143094e-01,3.575638890907446577e-01,1.083226575652770311e-03,3.466649999999999920e+01
2.855766413207378562e+00,2.714878381016939013e+00,2.711736454976049870e+00,3.501686956521337102e-01,3.683406251242164475e-01,3.687673992673569101e-01,3.624255733479023189e-01,8.668672415815719193e-03,3.614150000000000063e+01
2.657644599453579559e+00,2.620372754461368192e+00,2.612768799462806157e+00,3.762730352303702563e-01,3.816250944822373037e-01,3.827357400339453375e-01,3.802112899155176140e-01,2.821438269062566395e-03,3.764900000000000091e+01
2.482232979709485754e+00,2.529163733127152369e+00,2.531156658770150170e+00,4.028630705394291578e-01,3.953876085213204883e-01,3.950762970498572502e-01,3.977756587035356506e-01,3.599587763347195796e-03,3.916450000000000387e+01
2.390197348474170536e+00,2.442016966664852351e+00,2.434125299743425952e+00,4.183754954955370975e-01,4.094975643702160051e-01,4.108251946214137029e-01,4.128994181623888982e-01,3.909920522631130102e-03,4.063899999999999579e+01
2.446441367723854121e+00,2.441947259247781332e+00,2.433469780408245242e+00,4.087569860422980428e-01,4.095092538190364118e-01,4.109358612344211625e-01,4.097340336985852427e-01,9.036108201358473676e-04,4.217000000000000171e+01
2.474324594707358216e+00,2.442024538351531326e+00,2.453640585556199571e+00,4.041506931382506940e-01,4.094962946912244495e-01,4.075576536705014519e-01,4.070682138333255318e-01,2.209604415040537090e-03,4.366049999999999898e+01
