fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
1.978497114289575531e+00,1.907695238348385169e+00,1.939892292547339858e+00,5.054341463414632196e-01,5.241927431059504316e-01,5.154925373134326971e-01,5.150398089202821161e-01,7.664853135867686143e-03,3.626999999999998892e+00
1.942248319242854349e+00,1.983442651994459904e+00,1.967495744005528513e+00,5.148672237697338172e-01,5.041738912866703393e-01,5.082603116406996246e-01,5.091004755657012604e-01,4.405772460760295876e-03,7.492499999999999716e+00
1.978137038913304391e+00,2.561799560699064227e+00,2.542751027909664785e+00,5.055261492648421839e-01,3.903506017180828347e-01,3.932748385602172769e-01,4.297171965143807282e-01,5.361831638609138029e-02,1.097949999999999982e+01
2.201956514103030393e+00,2.478742282340644199e+00,2.479792835091548575e+00,4.541415752741834733e-01,4.034304038480809318e-01,4.032594924257381086e-01,4.202771571826675046e-01,2.394586132906641532e-02,1.412299999999999933e+01
2.185647285260665207e+00,2.486348871933893978e+00,2.497579470632818044e+00,4.575303649146379992e-01,4.021961725838559820e-01,4.003876600357494930e-01,4.200380658447477877e-01,2.652133790703541452e-02,1.707199999999999918e+01
2.377923046549441644e+00,2.403757272240286902e+00,2.397665950072453533e+00,4.205350553505424749e-01,4.160153820639328481e-01,4.170722781335663987e-01,4.178742385160139072e-01,1.930322424826947866e-03,1.994650000000000034e+01
2.418485583400641126e+00,2.355699871549489455e+00,2.362346178029224308e+00,4.134818941504280199e-01,4.245022942342133732e-01,4.233079847908849391e-01,4.204307243918421477e-01,4.937696835205601827e-03,2.275300000000000011e+01
2.220402220402183602e+00,2.337956071126207291e+00,2.331877331877293624e+00,4.503688524590238607e-01,4.277240331202177281e-01,4.288390243902509558e-01,4.356439699898308482e-01,1.042200953692787486e-02,2.552050000000000196e+01
2.969868067978542747e+00,2.921906272421735729e+00,2.930269827072162325e+00,3.367152941176459469e-01,3.422423263327948884e-01,3.412655007949114139e-01,3.400743737484507867e-01,2.408472407624264681e-03,2.820100000000000051e+01
2.771311384547056278e+00,3.091151656129592418e+00,3.079770390827076376e+00,3.608400000000145380e-01,3.235040241448691734e-01,3.246995305164450119e-01,3.363478515537762781e-01,1.732544007147773096e-02,3.082549999999999812e+01
2.833802376485325070e+00,3.225457762122365679e+00,3.227114602876822946e+00,3.528827586206869649e-01,3.100335126825519150e-01,3.098743376230104762e-01,3.242635363087497669e-01,2.023695050281303434e-02,3.339699999999999847e+01
2.829986761686588359e+00,3.306155006155786502e+00,3.307547027721200461e+00,3.533585434173655004e-01,3.024661572546002430e-01,3.023388606779597865e-01,3.193878537833085285e-01,2.402096121813441371e-02,3.591799999999999926e+01
2.637129236030215207e+00,3.208910537099102900e+00,3.207870249431923781e+00,3.792002251301658799e-01,3.116322466577747252e-01,3.117333066002554998e-01,3.341885927960653313e-01,3.182805719605660139e-02,3.837000000000000455e+01
2.471939979687830746e+00,3.119281067979422950e+00,-1.000000000000000000e+00,4.045405666064291195e-01,3.205866923200255680e-01,-1.000000000000000000e+00,3.625636294632273438e-01,4.197693714320177572e-02,4.080199999999999960e+01
3.345675747156506397e+00,3.306836325878911076e+00,3.313938111610357673e+00,2.988932806324405833e-01,3.024038390331320603e-01,3.017557861133577934e-01,3.010176352596434790e-01,1.525266115206513331e-03,4.319350000000000023e+01
3.271353898654881132e+00,3.295998124621097425e+00,3.303295515240608271e+00,3.056838333544961706e-01,3.033982308818693463e-01,3.027279864566283507e-01,3.039366835643312892e-01,1.265360604556806405e-03,4.554649999999999466e+01
