lens,lMeans,lStds
1.000000000000000000e+00,4.474253127306536681e-01,1.303096360966733147e-01
1.242424242424242431e+00,4.126513041869741549e-01,1.091840961506108793e-01
1.484848484848484862e+00,2.627663458785218231e-01,9.563945308872235859e-03
1.727272727272727293e+00,2.892185904489320003e-01,5.877810983142733176e-02
1.969696969696969724e+00,2.659684276834551886e-01,4.877035012076030331e-03
2.212121212121211933e+00,2.660606944471352042e-01,3.822159886958268003e-03
2.454545454545454586e+00,2.733360294789260458e-01,1.909965035898300578e-02
2.696969696969697239e+00,2.640538603467789125e-01,9.989291234063413585e-03
2.939393939393939448e+00,2.624416863906712249e-01,7.151543934375195928e-03
3.181818181818181657e+00,2.622176721318234538e-01,8.331888023778325630e-03
3.424242424242424310e+00,2.667290783624340356e-01,1.717762043875353459e-02
3.666666666666666963e+00,2.625583696230550657e-01,6.187706661485499471e-03
3.909090909090909172e+00,2.628919265468863120e-01,5.691648160407593998e-03
4.151515151515151381e+00,2.630855581581215130e-01,5.962551251257352559e-03
4.393939393939394478e+00,2.635994925549356993e-01,6.357692732896532382e-03
4.636363636363636687e+00,2.625868924382179226e-01,4.337919973495905392e-03
4.878787878787878896e+00,2.640222085823716314e-01,4.727701752586821807e-03
5.121212121212121104e+00,2.641727711965429215e-01,4.267502575706682254e-03
5.363636363636363313e+00,2.653169684645048099e-01,4.923053281859453463e-03
5.606060606060606410e+00,2.638970008419235236e-01,4.342474782411617946e-03
5.848484848484848619e+00,2.634178580191114949e-01,3.170909776244298407e-03
6.090909090909090828e+00,2.640908118198639354e-01,3.055371572580295979e-03
6.333333333333333925e+00,2.637204159713616436e-01,3.521001086780556864e-03
6.575757575757576134e+00,2.629381064877132634e-01,3.088144374276444171e-03
6.818181818181818343e+00,2.644324143010013395e-01,4.075502205234132584e-03
7.060606060606060552e+00,2.648093085825835580e-01,3.818606254656106962e-03
7.303030303030302761e+00,2.648823063425106983e-01,3.644244310246601889e-03
7.545454545454545858e+00,2.641746467114723385e-01,3.308868853019959321e-03
7.787878787878788067e+00,2.646566495239792149e-01,3.799567318356525825e-03
8.030303030303031164e+00,2.644272887446448839e-01,3.419936506169696591e-03
8.272727272727273373e+00,2.641813551978163255e-01,3.527049502544430965e-03
8.515151515151515582e+00,2.645356680738930044e-01,3.071904337537378557e-03
8.757575757575757791e+00,2.656200229285128334e-01,3.308373233471874515e-03
9.000000000000000000e+00,2.654619979381103723e-01,2.906134639805872232e-03
9.242424242424242209e+00,2.651373248163138574e-01,2.968990591256289932e-03
9.484848484848484418e+00,2.651202062939337356e-01,3.101576134491118748e-03
9.727272727272726627e+00,2.655715214829977855e-01,2.790799367134993905e-03
9.969696969696970612e+00,2.653437718022121916e-01,2.519664170938567573e-03
1.021212121212121282e+01,2.653878589346351236e-01,2.434051873428945498e-03
