shifts,lMeans,lStds
1.000000000000000056e-01,2.637094011763828072e-01,4.736756270388600351e-03
1.710144927536231818e-01,2.635352852755085684e-01,5.289724205461740492e-03
2.420289855072463858e-01,2.638443980678492617e-01,5.122637198083576648e-03
3.130434782608695343e-01,2.631811342674229559e-01,4.578161050325734761e-03
3.840579710144927938e-01,2.635942948250497020e-01,5.120006891914201212e-03
4.550724637681159424e-01,2.638829267346807783e-01,5.696570706666421319e-03
5.260869565217390909e-01,2.644471268797343733e-01,4.788873199558633421e-03
5.971014492753623504e-01,2.638342715217777412e-01,5.329019407752328373e-03
6.681159420289854989e-01,2.633771305492157988e-01,7.755514948055280793e-03
7.391304347826086474e-01,2.642242447605552824e-01,4.877677797500662264e-03
8.101449275362319069e-01,2.640289650709592428e-01,4.668253681876606206e-03
8.811594202898550554e-01,2.631591551746959023e-01,4.464426138079856214e-03
9.521739130434782039e-01,2.640966777980984781e-01,4.286887291515627252e-03
1.023188405797101463e+00,2.648998478381914268e-01,4.742183464578914043e-03
1.094202898550724612e+00,2.631036807761080731e-01,5.037089340429159491e-03
1.165217391304347982e+00,2.634158433712594505e-01,4.739968331153259114e-03
1.236231884057971131e+00,2.643383868091283562e-01,4.973960853292955751e-03
1.307246376811594279e+00,2.622749391844162448e-01,3.829030468084925615e-03
1.378260869565217428e+00,2.638373540887120616e-01,3.968007735401397722e-03
1.449275362318840799e+00,2.631350012600693344e-01,3.568391760096567035e-03
1.520289855072463947e+00,2.640115583484555772e-01,4.927135274918600059e-03
1.591304347826087096e+00,2.640759202409928008e-01,3.875176991715754363e-03
1.662318840579710244e+00,2.628528602154686089e-01,4.274910918875834617e-03
1.733333333333333393e+00,2.640414642871308226e-01,3.877176582975279569e-03
1.804347826086956541e+00,2.639139313317280799e-01,4.034640518065507088e-03
1.875362318840579912e+00,2.639999326345300323e-01,5.600898263540816761e-03
1.946376811594203060e+00,2.647043087383683102e-01,6.187098594656826635e-03
2.017391304347825987e+00,2.609414151380943236e-01,3.173569101443870881e-03
2.088405797101449135e+00,2.621236851108766919e-01,3.474753500496878447e-03
2.159420289855072728e+00,2.658762536932210430e-01,4.248252801352025640e-03
2.230434782608695876e+00,2.657735408559618318e-01,3.929878904760075384e-03
2.301449275362319025e+00,2.626407167617390570e-01,3.919571914458596686e-03
2.372463768115942173e+00,2.644305106370972158e-01,4.823703329126956089e-03
2.443478260869565322e+00,2.643577011430778279e-01,3.740931621907608168e-03
2.514492753623188470e+00,2.653344380032089389e-01,4.582624124295386903e-03
2.585507246376811619e+00,2.626606763039033288e-01,6.863966978968651794e-03
2.656521739130434767e+00,2.661939167364705261e-01,1.056668117221709613e-02
2.727536231884057916e+00,2.644873723555120071e-01,6.637848172675761722e-03
2.798550724637681508e+00,2.618687805400742863e-01,3.638347524553978488e-03
2.869565217391304657e+00,2.666388917866202579e-01,6.241418438681511568e-03
2.940579710144927805e+00,2.610916269265516343e-01,1.320904828674970138e-03
3.011594202898550954e+00,2.638098525346208034e-01,7.918540634387139995e-03
3.082608695652174102e+00,2.649519418864351161e-01,3.944958461225047015e-03
3.153623188405797251e+00,2.599385422136019086e-01,3.381806113312727912e-03
3.224637681159420399e+00,2.634642059177737528e-01,5.024102892243710247e-03
3.295652173913043548e+00,2.629841902746214433e-01,1.609378690763976034e-03
3.366666666666666696e+00,2.629677302298296659e-01,4.877139916349207405e-03
3.437681159420289845e+00,2.702102206888070679e-01,1.007284921012162847e-02
3.508695652173912993e+00,2.600615048350218839e-01,4.750055374695839015e-03
3.579710144927536586e+00,2.638676238393911078e-01,5.075018695307653184e-03
3.650724637681159734e+00,2.704697271721726026e-01,1.111028549808295261e-02
3.721739130434782883e+00,2.580726365963273428e-01,5.514471033002840000e-03
3.792753623188406031e+00,2.628240778643693432e-01,5.391991502057523651e-03
3.863768115942029180e+00,2.655307269088455491e-01,1.420320206824162920e-03
3.934782608695652328e+00,2.615677000717640532e-01,4.356371143158655444e-03
4.005797101449275033e+00,2.605761587867035378e-01,3.027516561000214660e-03
4.076811594202898625e+00,2.687677130414317661e-01,3.583623468691409658e-03
4.147826086956521330e+00,2.662204039173848846e-01,2.894362663922472705e-03
4.218840579710144922e+00,2.623751993332318344e-01,2.946779456716813305e-03
4.289855072463767627e+00,2.603886031852504224e-01,4.317388014394147461e-03
4.360869565217391219e+00,2.643794572774032514e-01,2.054371365722073000e-03
4.431884057971013924e+00,2.672964926579770029e-01,2.496512332450110186e-03
4.502898550724637516e+00,2.620703788483026431e-01,3.457639019468148646e-03
4.573913043478260221e+00,2.571230308201352122e-01,2.287790604791245779e-03
4.644927536231883813e+00,2.639516040688653087e-01,1.301604068850020779e-03
4.715942028985507406e+00,2.635775772742925960e-01,1.252376550607499188e-03
4.786956521739130110e+00,2.690522887062935520e-01,5.679566219385452988e-03
4.857971014492753703e+00,2.651971101278365883e-01,4.977011656688722432e-03
4.928985507246376407e+00,2.609381348697870640e-01,3.416806978124673801e-03
5.000000000000000000e+00,2.636702947347920323e-01,9.280697608490398121e-04
